"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"세종특별자치시 나성동","BL-HC3","세종 리더스포레 나릿재마을 1단지","99.6172","67,830","15","202009","13","분",""
"세종특별자치시 나성동","BL-HO3","세종 리더스포레 나릿재마을 2단지","84.9676","60,034","20","202010","8","분",""
"세종특별자치시 나성동","BL-HO3","세종 리더스포레 나릿재마을 2단지","114.7408","109,890","16","202010","13","분",""
"세종특별자치시 나성동","BL-HO3","세종 리더스포레 나릿재마을 2단지","99.8149","80,977","4","202101","15","분",""
"세종특별자치시 나성동","BL-HC2","세종 제일풍경채 위너스카이 ","98.8226","75,379","26","202102","9","분",""
"세종특별자치시 나성동","BL-HC1","세종 트리쉐이드 리젠시","95.562","59,029","11","202101","25","분",""
"세종특별자치시 나성동","BL-HC1","세종 트리쉐이드 리젠시","84.619","40,561","36","202101","30","분",""
"세종특별자치시 나성동","BL-HO1","세종 한신더휴 리저브 HO1블록","99.9033","55,840","3","202004","13","분",""
"세종특별자치시 나성동","BL-HO1","세종 한신더휴 리저브 HO1블록","99.9033","55,840","3","202004","13","분","20200512"
"세종특별자치시 보람동","743","스타힐타워Ⅰ","21.6349","8,500","8","202010","19","분",""
"세종특별자치시 어진동","BL-H9","세종 중흥S-클래스1-5 H9센텀뷰","140.8571","74,449","15","202004","4","분",""
"세종특별자치시 어진동","BL-H9","세종 중흥S-클래스1-5 H9센텀뷰","84.9167","47,224","33","202008","17","분",""
"세종특별자치시 어진동","BL-H9","세종 중흥S-클래스1-5 H9센텀뷰","140.3721","99,322","6","202012","14","분",""
"세종특별자치시 어진동","BL-H5","세종 한신더휴 리저브2","84.9478","50,400","10","202005","29","분",""
"세종특별자치시 집현동","BL-M1","세종 어울림 파밀리에센트럴M1","74.93","37,215","10","202006","5","분",""
"세종특별자치시 집현동","BL-M5","세종 하늘채 센트레빌 M5블록","84.47","41,220","12","202005","18","분",""
"세종특별자치시 해밀동","BL-L1","세종 마스터힐스 6-4생활권 L1블록","84.95","43,954","4","202003","7","분",""
"세종특별자치시 해밀동","BL-L1","세종 마스터힐스 6-4생활권 L1블록","59","49,000","12","202007","6","분",""
"세종특별자치시 해밀동","BL-M1","세종 마스터힐스 6-4생활권 M1블록","112.89","84,000","3","202007","9","분",""
"세종특별자치시 해밀동","BL-M1","세종 마스터힐스 6-4생활권 M1블록","84.95","56,672","21","202009","17","분",""
"세종특별자치시 해밀동","6402-1","해밀마을 2단지","112.3","117,000","7","202010","17","분",""
