"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"세종특별자치시 고운동","집합","1***","고운서길","근린상업","제1종근린생활","25m미만","32.01"," ","85,151","1","202003","2"," ","2015",""
"세종특별자치시 고운동","집합","1***","마음안로","제2종일반주거","제2종근린생활","25m미만","33.81"," ","47,000","null","202003","17"," ","2015",""
"세종특별자치시 고운동","집합","1***","마음안로","제2종일반주거","제2종근린생활","25m미만","32.2"," ","43,000","null","202004","4"," ","2015",""
"세종특별자치시 고운동","집합","1***","마음로","제2종일반주거","제1종근린생활","25m미만","32.4"," ","31,000","null","202004","10"," ","2015",""
"세종특별자치시 고운동","집합","1***","마음로","제2종일반주거","제1종근린생활","25m미만","32.4"," ","31,000","null","202004","10"," ","2015",""
"세종특별자치시 고운동","집합","1***","마음로","근린상업","교육연구","25m미만","160.8"," ","28,613","6","202005","19"," ","2016",""
"세종특별자치시 고운동","집합","1***","마음로","근린상업","교육연구","25m미만","157.53"," ","26,750","6","202005","21"," ","2016",""
"세종특별자치시 고운동","집합","1***","마음로","근린상업","교육연구","25m미만","99.77"," ","17,120","6","202005","21"," ","2016",""
"세종특별자치시 고운동","집합","1***","고운서길","근린상업","제1종근린생활","25m미만","82.56"," ","11,000","7","202005","25"," ","2015",""
"세종특별자치시 고운동","집합","1***","고운서길","근린상업","제1종근린생활","25m미만","105.12"," ","20,000","7","202005","25"," ","2015",""
"세종특별자치시 고운동","집합","1***","고운서길","근린상업","제1종근린생활","25m미만","102.24"," ","20,000","7","202005","25"," ","2015",""
"세종특별자치시 고운동","집합","1***","마음로","근린상업","교육연구","25m미만","74.04"," ","11,073","6","202005","26"," ","2016",""
"세종특별자치시 고운동","집합","산1**","고운뜰7길","제1종전용주거","제1종근린생활","-","56.49"," ","22,000","3","202006","1"," ","2019",""
"세종특별자치시 고운동","집합","1***","마음로","근린상업","제1종근린생활","25m미만","74.04"," ","18,818","8","202007","8"," ","2016",""
"세종특별자치시 고운동","집합","1***","마음로","근린상업","제1종근린생활","25m미만","160.8"," ","40,868","8","202007","8"," ","2016",""
"세종특별자치시 고운동","집합","1***","마음로","근린상업","제1종근린생활","25m미만","99.77"," ","24,357","8","202007","8"," ","2016",""
"세종특별자치시 고운동","일반","8**","고운마을3길","제1종전용주거","제1종근린생활","25m미만","3.91","7.77","1,479","null","202007","8"," ","2020",""
"세종특별자치시 고운동","일반","8**","고운마을3길","제1종전용주거","제1종근린생활","25m미만","3.33","6.63","1,295","null","202007","16"," ","2020",""
"세종특별자치시 고운동","집합","1***","마음로","근린상업","교육연구","25m미만","91.68"," ","18,000","6","202007","28"," ","2015",""
"세종특별자치시 고운동","일반","8**","고운마을3길","제1종전용주거","제1종근린생활","25m미만","4.32","8.50","1,711","null","202007","30"," ","2020",""
"세종특별자치시 고운동","집합","1***","마음안로","제2종일반주거","제2종근린생활","25m미만","30.6"," ","24,300","null","202007","31"," ","2015",""
"세종특별자치시 고운동","집합","1***","고운서길","근린상업","제1종근린생활","25m미만","111.73"," ","25,459","6","202008","21"," ","2015",""
"세종특별자치시 고운동","집합","1***","고운서길","근린상업","제1종근린생활","25m미만","62"," ","14,301","6","202008","21"," ","2015",""
"세종특별자치시 고운동","집합","1***","고운서길","근린상업","제1종근린생활","25m미만","76.77"," ","16,653","6","202008","21"," ","2015",""
