"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"세종특별자치시 금남면 도남리","95","0095","0000","금강의휴양림마을(프로방스빌)","월세","52.182","202012","27","3,000","40","2","2015","도남2길 2"
"세종특별자치시 금남면 도남리","97","0097","0000","금강휴양림마을(프로방스빌)","월세","54.169","202008","6","500","30","1","2015","도남2길 12"
"세종특별자치시 금남면 도남리","97","0097","0000","금강휴양림마을(프로방스빌)","전세","56.07","202102","19","9,000","0","1","2015","도남2길 12"
"세종특별자치시 금남면 용포리","53-2","0053","0002","학산빌라","전세","65.4","202009","20","4,000","0","3","1995","용포쑥티2길 5-5"
"세종특별자치시 도담동","674","0674","0000","까사누보","월세","22.686","202004","1","500","40","3","2015","보듬3로 8-23"
"세종특별자치시 도담동","674","0674","0000","까사누보","월세","21.422","202005","6","500","36","4","2015","보듬3로 8-23"
"세종특별자치시 도담동","674","0674","0000","까사누보","월세","22.7964","202006","27","500","43","3","2015","보듬3로 8-23"
"세종특별자치시 도담동","674","0674","0000","까사누보","월세","22.7964","202007","6","500","37","4","2015","보듬3로 8-23"
"세종특별자치시 도담동","674","0674","0000","까사누보","월세","22.686","202008","4","400","45","4","2015","보듬3로 8-23"
"세종특별자치시 도담동","674","0674","0000","까사누보","월세","21.422","202008","13","400","37","5","2015","보듬3로 8-23"
"세종특별자치시 도담동","674","0674","0000","까사누보","전세","22.686","202012","2","10,000","0","6","2015","보듬3로 8-23"
"세종특별자치시 도담동","674","0674","0000","까사누보","전세","22.7964","202012","14","11,000","0","5","2015","보듬3로 8-23"
"세종특별자치시 도담동","674","0674","0000","까사누보","월세","33.418","202101","6","500","41","3","2015","보듬3로 8-23"
"세종특별자치시 도담동","674","0674","0000","까사누보","전세","22.7964","202101","22","11,000","0","4","2015","보듬3로 8-23"
"세종특별자치시 도담동","674","0674","0000","까사누보","전세","27.6012","202101","31","10,000","0","6","2015","보듬3로 8-23"
"세종특별자치시 도담동","674","0674","0000","까사누보","월세","27.6012","202102","24","500","50","3","2015","보듬3로 8-23"
"세종특별자치시 반곡동","가-4121-1002","4121","1002","세종펠리스","전세","22.7198","202005","16","11,000","0","4","2020","한누리대로 1940"
"세종특별자치시 반곡동","가-4121-1002","4121","1002","세종펠리스","전세","25.2389","202005","21","11,500","0","5","2020","한누리대로 1940"
"세종특별자치시 반곡동","가-4121-1002","4121","1002","세종펠리스","전세","22.2721","202005","21","11,000","0","5","2020","한누리대로 1940"
"세종특별자치시 반곡동","가-4121-2002","4121","2002","씨즈파크뷰","월세","25.4351","202003","22","500","45","6","2019","국책연구원3로 6"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202002","29","300","42","8","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","16.9849","202003","6","300","37","7","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202003","13","300","42","5","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202003","13","1,000","37","6","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","전세","21.6349","202003","18","8,600","0","6","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","전세","21.6349","202003","18","8,600","0","6","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202004","4","300","45","8","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","26.5949","202004","18","310","42","5","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","16.9849","202004","28","300","38","7","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202005","18","300","40","8","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202005","21","300","42","8","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","16.9849","202006","15","300","40","7","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202007","10","300","42","8","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","22.0599","202008","1","500","44","8","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","35.7371","202008","24","500","50","6","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","26.5949","202008","29","500","48","6","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","26.5949","202010","12","310","42","5","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202010","31","300","45","5","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202011","3","300","45","6","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202011","4","2,000","40","7","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","전세","21.6349","202011","10","8,500","0","6","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202011","12","300","45","8","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","26.5949","202012","8","300","50","6","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","22.0599","202012","11","500","44","8","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","전세","21.6349","202012","12","8,500","0","8","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202012","29","300","50","8","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202012","31","2,000","37","8","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","16.9849","202101","6","2,000","30","7","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202101","8","300","50","7","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","26.5708","202101","18","500","47","6","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","전세","26.5949","202101","19","12,000","0","5","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","전세","26.5949","202102","5","12,000","0","5","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","전세","26.5949","202102","18","11,700","0","6","2016","한누리대로 2135"
"세종특별자치시 보람동","743","0743","0000","스타힐타워Ⅰ","월세","21.6349","202102","24","1,000","39","6","2016","한누리대로 2135"
"세종특별자치시 보람동","744","0744","0000","스타힐타워Ⅱ","월세","21.6349","202003","1","300","42","7","2016","한누리대로 2129"
"세종특별자치시 보람동","744","0744","0000","스타힐타워Ⅱ","월세","26.5949","202004","1","500","41","6","2016","한누리대로 2129"
"세종특별자치시 보람동","744","0744","0000","스타힐타워Ⅱ","월세","26.5949","202004","6","300","45","5","2016","한누리대로 2129"
"세종특별자치시 보람동","744","0744","0000","스타힐타워Ⅱ","월세","26.6283","202004","28","300","45","5","2016","한누리대로 2129"
"세종특별자치시 보람동","744","0744","0000","스타힐타워Ⅱ","월세","16.6229","202005","12","400","31","8","2016","한누리대로 2129"
"세종특별자치시 보람동","744","0744","0000","스타힐타워Ⅱ","전세","21.6349","202005","18","8,000","0","8","2016","한누리대로 2129"
