"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"세종특별자치시 나성동","null","0","0","더리치세종의아침","25.39","202004","29","12,920","4","2015"," ",""
"세종특별자치시 나성동","null","0","0","더리치세종의아침","26.34","202010","24","8,300","6","2015"," ","20201218"
"세종특별자치시 나성동","756","756","0","리치먼드시티세종","56.07","202007","8","29,765","3","2020","한누리대로 320",""
"세종특별자치시 나성동","756","756","0","리치먼드시티세종","26.18","202012","9","16,410","6","2020","한누리대로 320",""
"세종특별자치시 나성동","756","756","0","리치먼드시티세종","26.18","202012","20","16,410","6","2020","한누리대로 320",""
"세종특별자치시 나성동","756","756","0","리치먼드시티세종","26.18","202012","23","15,340","7","2020","한누리대로 320","20210118"
"세종특별자치시 나성동","756","756","0","리치먼드시티세종","26.18","202101","6","15,400","5","2020","한누리대로 320",""
"세종특별자치시 나성동","756","756","0","리치먼드시티세종","26.18","202101","6","14,464","5","2020","한누리대로 320","20210112"
"세종특별자치시 나성동","756","756","0","리치먼드시티세종","32.5","202101","11","18,290","8","2020","한누리대로 320",""
"세종특별자치시 나성동","756","756","0","리치먼드시티세종","26.18","202101","17","16,484","8","2020","한누리대로 320",""
"세종특별자치시 나성동","756","756","0","리치먼드시티세종","26.18","202101","23","16,558","8","2020","한누리대로 320",""
"세종특별자치시 나성동","756","756","0","리치먼드시티세종","26.18","202101","30","17,000","8","2020","한누리대로 320",""
"세종특별자치시 나성동","713","713","0","세진이너스빌","34.15","202007","9","10,000","6","2013"," ",""
"세종특별자치시 나성동","713","713","0","세진이너스빌","34.15","202007","30","12,000","5","2013"," ",""
"세종특별자치시 나성동","713","713","0","세진이너스빌","34.15","202007","30","12,000","7","2013"," ",""
"세종특별자치시 나성동","713","713","0","세진이너스빌","34.15","202008","21","13,000","8","2013"," ",""
"세종특별자치시 나성동","713","713","0","세진이너스빌","34.15","202008","21","13,000","7","2013"," ",""
"세종특별자치시 나성동","713","713","0","세진이너스빌","34.15","202008","21","13,000","8","2013"," ",""
"세종특별자치시 나성동","713","713","0","세진이너스빌","34.15","202008","21","11,900","7","2013"," ",""
"세종특별자치시 나성동","713","713","0","세진이너스빌","34.15","202012","7","12,000","5","2013"," ",""
"세종특별자치시 나성동","713","713","0","세진이너스빌","39.79","202101","22","11,248","4","2013"," ",""
"세종특별자치시 나성동","713","713","0","세진이너스빌","34.15","202101","27","13,000","8","2013"," ","20210312"
"세종특별자치시 나성동","713","713","0","세진이너스빌","34.15","202101","27","13,000","8","2013"," ",""
