"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"세종특별자치시 나성동","null","0000","0000","더리치세종의아침","월세","27.16","202004","25","500","37","4","2015"," "
"세종특별자치시 나성동","null","0000","0000","더리치세종의아침","월세","27.16","202005","16","300","35","3","2015"," "
"세종특별자치시 나성동","null","0000","0000","더리치세종의아침","전세","26.34","202005","20","7,665","0","8","2015"," "
"세종특별자치시 나성동","null","0000","0000","더리치세종의아침","월세","35.41","202005","21","500","50","7","2015"," "
"세종특별자치시 나성동","null","0000","0000","더리치세종의아침","월세","35.41","202007","18","500","50","8","2015"," "
"세종특별자치시 나성동","null","0000","0000","더리치세종의아침","월세","35.35","202007","23","500","49","8","2015"," "
"세종특별자치시 나성동","null","0000","0000","더리치세종의아침","월세","33.65","202007","30","500","47","7","2015"," "
"세종특별자치시 나성동","null","0000","0000","더리치세종의아침","전세","25.39","202008","11","10,000","0","7","2015"," "
"세종특별자치시 나성동","null","0000","0000","더리치세종의아침","월세","35.41","202008","15","500","55","8","2015"," "
"세종특별자치시 나성동","null","0000","0000","더리치세종의아침","월세","26.14","202008","19","300","42","8","2015"," "
"세종특별자치시 나성동","null","0000","0000","더리치세종의아침","월세","35.38","202009","7","2,500","40","5","2015"," "
"세종특별자치시 나성동","756","0756","0000","리치먼드시티세종","전세","26.18","202010","6","14,000","0","5","2020","한누리대로 320"
"세종특별자치시 나성동","756","0756","0000","리치먼드시티세종","월세","26.18","202011","24","500","60","5","2020","한누리대로 320"
"세종특별자치시 나성동","756","0756","0000","리치먼드시티세종","전세","26.18","202012","1","14,000","0","4","2020","한누리대로 320"
"세종특별자치시 나성동","756","0756","0000","리치먼드시티세종","월세","26.18","202012","4","500","55","4","2020","한누리대로 320"
"세종특별자치시 나성동","756","0756","0000","리치먼드시티세종","전세","26.18","202012","9","14,000","0","6","2020","한누리대로 320"
"세종특별자치시 나성동","756","0756","0000","리치먼드시티세종","월세","32.5","202012","16","1,000","65","4","2020","한누리대로 320"
"세종특별자치시 나성동","756","0756","0000","리치먼드시티세종","전세","26.18","202012","28","16,000","0","8","2020","한누리대로 320"
"세종특별자치시 나성동","756","0756","0000","리치먼드시티세종","전세","26.18","202012","30","15,000","0","8","2020","한누리대로 320"
"세종특별자치시 나성동","756","0756","0000","리치먼드시티세종","월세","26.18","202101","4","500","50","3","2020","한누리대로 320"
"세종특별자치시 나성동","713","0713","0000","세진이너스빌","월세","34.15","202004","1","500","40","6","2013"," "
"세종특별자치시 나성동","713","0713","0000","세진이너스빌","전세","34.15","202009","15","9,450","0","8","2013"," "
"세종특별자치시 나성동","713","0713","0000","세진이너스빌","월세","34.15","202009","22","300","46","5","2013"," "
