"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"세종특별자치시 연동면 응암리","6**","전","계획관리지역","-","202002","29","356","14,000"," ",""
"세종특별자치시 연서면 성제리","8*","답","자연녹지지역","8m미만","202002","29","2565","29,500"," ",""
"세종특별자치시 전의면 신흥리","1**","전","계획관리지역","12m미만","202002","29","856","30,000"," ",""
"세종특별자치시 부강면 행산리","5**","답","농림지역","8m미만","202003","1","1290.1","10,000"," ",""
"세종특별자치시 장군면 은용리","산3*","임야","농림지역","8m미만","202003","2","118","1,004","지분",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","-","202003","2","34","1,170","지분",""
"세종특별자치시 전동면 송곡리","2**","임야","농림지역","8m미만","202003","2","148","1,260","지분",""
"세종특별자치시 전동면 송곡리","2**","임야","생산관리지역","-","202003","2","165","1,416","지분",""
"세종특별자치시 전동면 송곡리","2**","임야","생산관리지역","-","202003","2","165","1,445","지분",""
"세종특별자치시 전동면 송곡리","2**","임야","농림지역","-","202003","2","181","1,558","지분",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","-","202003","2","53","1,923"," ",""
"세종특별자치시 금남면 원봉리","4**","대","계획관리지역","8m미만","202003","2","3","120","지분",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","8m미만","202003","2","3475","126,126"," ",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","8m미만","202003","2","4639","168,376"," ",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","8m미만","202003","2","5","190","지분",""
"세종특별자치시 전동면 송곡리","2**","임야","생산관리지역","-","202003","2","297","2,560","지분",""
"세종특별자치시 전동면 미곡리","산*","임야","보전관리지역","-","202003","2","2316","2,953","지분",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","8m미만","202003","2","618","22,431"," ",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","8m미만","202003","2","683","24,790"," ",""
"세종특별자치시 반곡동","4***","대","용도미지정","-","202003","2","349","28,100"," ",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","8m미만","202003","2","807","29,291"," ",""
"세종특별자치시 전의면 서정리","산1*","임야","계획관리지역","-","202003","2","347","3,045","지분",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","-","202003","2","8","300","지분",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","8m미만","202003","2","900","32,667"," ",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","8m미만","202003","2","900","32,667"," ",""
"세종특별자치시 장군면 산학리","1*","답","계획관리지역","8m미만","202003","2","962","36,375"," ",""
"세종특별자치시 전동면 미곡리","산*","임야","농림지역","8m미만","202003","2","330","422","지분",""
"세종특별자치시 전동면 심중리","산1*","임야","보전관리지역","-","202003","2","331","5,900","지분",""
"세종특별자치시 전동면 송곡리","2**","임야","농림지역","8m미만","202003","2","66","566","지분",""
"세종특별자치시 전동면 심중리","산1*","임야","보전관리지역","-","202003","2","397","6,938","지분",""
"세종특별자치시 전동면 송곡리","2**","임야","농림지역","8m미만","202003","2","83","708","지분",""
"세종특별자치시 전의면 신정리","산3*","임야","농림지역","-","202003","2","165","784","지분",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","8m미만","202003","2","2330","84,569"," ",""
"세종특별자치시 전동면 송곡리","2**","임야","생산관리지역","-","202003","2","99","867","지분",""
"세종특별자치시 장군면 봉안리","2**","답","계획관리지역","8m미만","202003","2","2144","90,700"," ",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","-","202003","2","25","910","지분",""
"세종특별자치시 금남면 원봉리","4**","임야","보전관리지역","-","202003","2","25","910","지분",""
"세종특별자치시 전동면 송성리","산1**","임야","농림지역","8m미만","202003","3","166","1,050","지분",""
"세종특별자치시 전의면 금사리","산4*","임야","농림지역","-","202003","3","363","1,089","지분",""
"세종특별자치시 전의면 읍내리","2**","하천","계획관리지역","-","202003","3","46","1,400","지분",""
"세종특별자치시 전동면 송곡리","2**","임야","보전관리지역","-","202003","3","165","1,416","지분",""
"세종특별자치시 전의면 영당리","산7*","임야","농림지역","12m미만","202003","3","330","1,663","지분",""
"세종특별자치시 전의면 읍내리","2**","하천","제1종일반주거지역","-","202003","3","60","1,800"," ",""
"세종특별자치시 장군면 대교리","9*","도로","생산관리지역","-","202003","3","1","11","지분",""
"세종특별자치시 금남면 발산리","1**","답","개발제한구역","8m미만","202003","3","443","14,619"," ",""
"세종특별자치시 장군면 대교리","7*","임야","보전관리지역","-","202003","3","420","15,100","지분",""
"세종특별자치시 전동면 송성리","산1**","임야","농림지역","8m미만","202003","3","330","2,100","지분",""
"세종특별자치시 장군면 대교리","7*","임야","보전관리지역","-","202003","3","109","2,430","지분",""
"세종특별자치시 장군면 대교리","7*","도로","보전관리지역","-","202003","3","32","281","지분",""
"세종특별자치시 전동면 미곡리","산*","임야","보전관리지역","-","202003","3","661","3,207","지분",""
"세종특별자치시 장군면 대교리","7*","도로","보전관리지역","-","202003","3","3","36","지분",""
"세종특별자치시 전의면 읍내리","1**","잡종지","계획관리지역","12m미만","202003","3","50","4,350","지분",""
"세종특별자치시 금남면 원봉리","4**","대","계획관리지역","8m미만","202003","3","960","46,400"," ",""
"세종특별자치시 소정면 고등리","3**","답","농림지역","-","202003","3","1197","5,800"," ",""
"세종특별자치시 도담동","5**","대","제1종전용주거지역","12m미만","202003","3","329.8","56,000"," ",""
"세종특별자치시 소정면 고등리","4**","답","농림지역","-","202003","3","1332","6,045"," ",""
"세종특별자치시 장군면 대교리","7*","잡종지","보전관리지역","8m미만","202003","3","2","62","지분",""
"세종특별자치시 소정면 고등리","4**","답","농림지역","-","202003","3","1683","8,155"," ",""
"세종특별자치시 전의면 다방리","산2*","임야","농림지역","8m미만","202003","3","661","824","지분",""
"세종특별자치시 연기면 눌왕리","7**","하천","농림지역","-","202003","4","28.23","1,025","지분",""
"세종특별자치시 연서면 월하리","1***","답","농림지역","8m미만","202003","4","3988.6","100,000"," ",""
"세종특별자치시 전동면 송곡리","2**","임야","보전관리지역","-","202003","4","1653","17,150"," ",""
"세종특별자치시 전의면 금사리","산6*","임야","계획관리지역","-","202003","4","529","2,568","지분",""
"세종특별자치시 전동면 송곡리","2**","임야","농림지역","8m미만","202003","4","330","2,890","지분",""
"세종특별자치시 연서면 기룡리","산3*","임야","농림지역","-","202003","4","355","2,993","지분",""
"세종특별자치시 부강면 금호리","산3*","임야","농림지역","12m미만","202003","4","165.29","296","지분",""
"세종특별자치시 전동면 송성리","6**","과수원","생산관리지역","8m미만","202003","4","833","4,130","지분",""
"세종특별자치시 전의면 신방리","산6*","임야","농림지역","-","202003","4","198","413","지분",""
"세종특별자치시 전의면 양곡리","5**","공장용지","일반공업지역","25m미만","202003","4","17055","567,505"," ",""
"세종특별자치시 전동면 송성리","산9*","임야","농림지역","-","202003","4","331","600","지분",""
"세종특별자치시 부강면 금호리","산2*","임야","농림지역","-","202003","4","99","615","지분",""
"세종특별자치시 전의면 신정리","2**","임야","농림지역","-","202003","4","2000","7,260"," ",""
"세종특별자치시 전의면 신정리","2**","임야","농림지역","-","202003","4","2000","7,260"," ",""
"세종특별자치시 전의면 신정리","2**","임야","농림지역","-","202003","4","2000","7,260"," ",""
"세종특별자치시 소정면 운당리","4*","전","계획관리지역","25m미만","202003","4","155","8,000"," ",""
"세종특별자치시 연서면 월하리","9**","답","제2종일반주거지역","-","202003","4","1745","80,000"," ",""
"세종특별자치시 전동면 송성리","산1**","임야","농림지역","8m미만","202003","5","166","1,050","지분",""
"세종특별자치시 부강면 금호리","산3*","임야","농림지역","12m미만","202003","5","165.29","1,245","지분",""
