"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"울산광역시 남구 달동","5**","다가구","8m미만","112.17","99","202012","3","28,000","1984","번영로153번길",""
"울산광역시 남구 달동","5**","다가구","12m미만","231.12","141.8","202003","8","49,500","1997","신정로78번길",""
"울산광역시 남구 달동","5**","다가구","12m미만","171.28","144.4","202011","4","67,000","1990","번영로153번길",""
"울산광역시 남구 달동","5**","다가구","12m미만","165.98","151.5","202011","6","62,000","1985","삼산로155번길",""
"울산광역시 남구 달동","5**","다가구","12m미만","311.88","151.5","202009","11","78,000","2013","신정로58번길","20201111"
"울산광역시 남구 달동","5**","다가구","12m미만","311.88","151.5","202009","11","77,806","2013","신정로58번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","354.59","164","202008","8","83,500","2013","번영로180번길",""
"울산광역시 남구 달동","6**","다가구","8m미만","166.04","165","202010","22","37,000","1985","번영로163번길",""
"울산광역시 남구 달동","5**","다가구","12m미만","336.94","169.4","202101","21","96,000","2017","신정로88번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","339.7","171.1","202010","16","103,000","2017","번영로75번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","339.7","171.1","202010","16","103,000","2017","번영로75번길","20210126"
"울산광역시 남구 달동","1***","다가구","8m미만","324.66","182.3","202009","18","33,000","2001","왕생로77번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","360.76","182.3","202102","3","143,000","2017","신정로20번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","360.6","182.4","202006","16","144,000","2018","삼산로144번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","392.04","182.5","202004","4","64,500","2000","삼산로144번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","317.72","185","202008","12","65,000","2001","삼산로144번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","356.88","185","202007","27","68,500","1999","삼산로144번길",""
"울산광역시 남구 달동","1**","다가구","12m미만","333.12","185.9","202007","8","114,300","2002","삼산로144번길",""
"울산광역시 남구 달동","5**","다가구","8m미만","360.94","190.1","202008","18","121,500","2017","번영로163번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","419.5","191","202007","27","116,513","2016","삼산중로5번길",""
"울산광역시 남구 달동","5**","다가구","12m미만","567.01","192.5","202008","26","154,500","2014","신정로88번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","386.37","193.8","202102","6","162,500","2019","번영로75번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","387.54","194","202101","27","150,000","2020","번영로75번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","395.12","198.3","202011","2","140,500","2002","신정로34번길",""
"울산광역시 남구 달동","1**","다가구","12m미만","347.46","198.4","202004","24","114,500","1996","신정로30번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","429.6","199.8","202006","9","108,502","2010","삼산중로5번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","315.71","200","202011","4","68,000","2002","신정로38번길",""
"울산광역시 남구 달동","6**","다가구","12m미만","298.25","200.1","202008","3","61,000","1997","신정로88번길",""
"울산광역시 남구 달동","6**","다가구","12m미만","298.25","200.1","202006","24","59,900","1997","신정로88번길",""
"울산광역시 남구 달동","8**","다가구","12m미만","454.12","200.6","202011","28","116,000","2014","중앙로166번길",""
"울산광역시 남구 달동","6**","다가구","8m미만","417.32","200.7","202006","16","101,429","2011","중앙로166번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","400.68","201.1","202011","25","70,500","2002","신정로34번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","429.6","203.9","202006","9","109,803","2010","삼산중로5번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","429.6","204.2","202007","15","110,570","2010","삼산중로5번길",""
"울산광역시 남구 달동","1***","다가구","8m미만","328.7","205.3","202101","14","96,800","1994","왕생로20번길",""
