"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"울산광역시 남구 달동","8**","12m미만","10","월세","202102","15","1,500","15","2017","삼산로67번길"
"울산광역시 남구 달동","5**","8m미만","12.6","월세","202102","4","100","29","2016","신정로78번길"
"울산광역시 남구 달동","1***","12m미만","13.22","월세","202007","29","2,500","15","1994","돋질로239번길"
"울산광역시 남구 달동","8**","-","15","월세","202012","19","2,000","20","2017","null"
"울산광역시 남구 달동","8**","12m미만","16","월세","202004","15","2,000","12","2017","삼산로77번길"
"울산광역시 남구 달동","6**","12m미만","18","전세","202004","13","10,000","0","2019","삼산로143번길"
"울산광역시 남구 달동","6**","12m미만","18","전세","202004","15","10,000","0","2019","삼산로143번길"
"울산광역시 남구 달동","8**","12m미만","18.15","전세","202102","20","5,000","0","2017","삼산로67번길"
"울산광역시 남구 달동","6**","12m미만","19.8","월세","202006","2","300","38","2018","삼산로93번길"
"울산광역시 남구 달동","1***","8m미만","19.8","월세","202007","23","300","21","2007","꽃대나리로15번길"
