"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","41,092","12","202003","1","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","37,670","6","202003","5","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","38,320","9","202003","8","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","35,090","3","202003","9","분","20200319"
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","35,090","3","202003","9","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.8233","34,720","14","202003","10","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","36,479","4","202003","10","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","34,419","2","202003","13","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.8996","38,569","15","202003","13","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","37,270","12","202003","14","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","38,572","13","202003","15","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","36,734","2","202003","16","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","35,627","13","202003","19","분","20200320"
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","37,970","8","202003","24","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","38,009","7","202003","24","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","34,400","2","202003","28","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.8233","35,920","5","202003","31","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","31,000","2","202004","1","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","34,730","3","202004","3","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","36,730","9","202004","3","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","38,560","12","202004","4","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","40,242","13","202004","6","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","35,800","4","202004","8","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.8996","37,520","14","202004","8","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","38,719","6","202004","9","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","38,432","6","202004","9","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","38,620","12","202004","10","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","37,719","5","202004","10","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","36,190","4","202004","11","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","40,682","14","202004","11","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.8996","37,932","11","202004","11","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","39,440","10","202004","15","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","37,420","14","202004","15","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","38,569","8","202004","17","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","39,440","15","202004","18","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","35,250","4","202004","19","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","38,720","14","202004","19","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","35,150","4","202004","19","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","35,150","4","202004","19","분","20200507"
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.8996","36,127","3","202004","21","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","37,360","5","202004","21","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","38,140","2","202005","21","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","39,970","15","202005","31","분",""
"울산광역시 남구 두왕동","747-2","대공원 호반베르디움 2차","84.9801","45,244","7","202006","16","분",""
"울산광역시 남구 두왕동","748","대공원호반베르디움","84.9801","37,552","8","202003","12","분",""
"울산광역시 남구 두왕동","748","대공원호반베르디움","84.8996","36,670","12","202003","18","분",""
"울산광역시 남구 두왕동","748","대공원호반베르디움","84.9801","35,490","6","202004","6","분","20200406"
"울산광역시 남구 두왕동","748","대공원호반베르디움","84.9801","37,710","6","202004","8","분",""
"울산광역시 남구 두왕동","BL-2B-2","울산테크노산업단지 2B-2 호반베르디움","84.9801","36,190","4","202004","11","분","20200414"
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","59.7186","39,788","10","202006","23","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","84.8107","58,324","18","202006","24","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","59.7186","46,098","22","202006","29","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","59.7186","45,718","24","202006","29","분","20201022"
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","59.7186","45,227","19","202007","15","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","84","61,919","15","202007","16","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","84.8107","65,824","18","202007","22","분","20201102"
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","59.7186","44,218","21","202008","11","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","75.9378","48,003","4","202008","12","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","84","69,099","8","202008","19","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","84.8107","63,919","14","202008","25","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","75.9378","68,087","24","202009","2","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","84.8107","77,500","18","202009","5","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","59.7186","47,418","25","202009","12","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","59.7186","46,837","15","202009","16","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","59.7186","52,282","12","202009","19","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","84.8107","73,500","23","202010","15","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","59.7186","48,594","5","202010","17","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","59.7186","48,488","10","202010","23","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","84.8107","78,230","24","202010","28","입",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","75.9378","67,409","19","202010","28","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","84.8107","65,824","18","202011","4","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","75.9378","62,027","2","202011","16","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","84.8107","96,609","12","202011","20","입",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","75.9378","63,550","7","202012","11","분",""
"울산광역시 남구 신정동","1178","문수로대공원 에일린의 뜰","59.7186","56,927","18","202012","16","분",""
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","84.366","46,170","25","202005","20","분",""
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","84.366","44,870","18","202005","20","분",""
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","84.366","46,197","16","202005","21","분",""
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","84.366","43,997","10","202005","21","분","20200521"
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","84.366","46,197","16","202005","21","분","20200521"
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","84.366","45,870","23","202005","21","분",""
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","84.366","47,087","26","202005","21","분",""
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","84.9457","44,870","16","202005","21","분",""
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","84.9457","45,636","6","202005","21","분",""
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","84.6731","50,340","27","202005","21","분",""
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","74.7373","41,902","28","202005","21","분",""
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","84.366","44,697","10","202005","21","분",""
"울산광역시 남구 신정동","1165-3","울산 문수로 동문굿모닝힐","84.366","48,997","10","202005","21","분",""
