"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"울산광역시 남구 달동","집합","1**","삼산로156번길","제3종일반주거","제2종근린생활","25m미만","32"," ","15,400","1","202003","12"," ","1994",""
"울산광역시 남구 달동","일반","9**","삼산로","준주거","제2종근린생활","25m이상","2257.52","645.00","456,500","null","202003","18"," ","2008","20200407"
"울산광역시 남구 달동","일반","9**","삼산로","준주거","제2종근린생활","25m이상","2257.52","645.00","455,527","null","202003","18"," ","2008",""
"울산광역시 남구 달동","일반","1***","삼산로253번길","일반상업","제2종근린생활","25m미만","773.4","433.60","330,000","null","202003","31"," ","2003",""
"울산광역시 남구 달동","일반","1***","왕생로40번길","일반상업","제2종근린생활","25m미만","502.48","255.50","183,000","null","202004","2"," ","2000",""
"울산광역시 남구 달동","집합","1***","번영로75번길","제2종일반주거","업무","12m미만","42.93"," ","4,500","1","202004","10"," ","1997",""
"울산광역시 남구 달동","집합","6**","중앙로156번길","준주거","업무","12m미만","36.3"," ","3,800","3","202004","14"," ","2001",""
"울산광역시 남구 달동","일반","1***","달삼로72번길","준주거","제2종근린생활","12m미만","768.32","301.90","124,000","null","202004","16"," ","2003",""
"울산광역시 남구 달동","일반","8**","중앙로176번길","준주거","제1종근린생활","12m미만","144.12","458.50","120,000","null","202004","20"," ","1994",""
"울산광역시 남구 달동","일반","8**","삼산로93번길","준주거","제1종근린생활","12m미만","952.4","241.60","50,000","null","202005","5"," ","1989",""
"울산광역시 남구 달동","일반","5**","번영로153번길","제2종일반주거","제1종근린생활","12m미만","171.28","144.40","67,000","null","202005","16"," ","1990","20201014"
"울산광역시 남구 달동","집합","6**","돋질로102번길","준주거","제2종근린생활","12m미만","44.2"," ","4,500","3","202005","27"," ","1998",""
"울산광역시 남구 달동","집합","1***","돋질로","제3종일반주거","제1종근린생활","25m이상","18"," ","9,000","1","202005","31"," ","1991",""
"울산광역시 남구 달동","일반","6**","삼산로125번길","준주거","제2종근린생활","12m미만","274.68","248.30","75,000","null","202006","3"," ","1995",""
"울산광역시 남구 달동","일반","1***","화합로125번길","준주거","제1종근린생활","12m미만","494.24","264.30","98,000","null","202006","10"," ","1995",""
"울산광역시 남구 달동","일반","9**","삼산로108번길","제2종일반주거","제2종근린생활","12m미만","189.46","426.00","175,000","null","202006","15"," ","2004",""
"울산광역시 남구 달동","일반","1***","돋질로239번길","제2종일반주거","제2종근린생활","12m미만","550.35","276.90","155,000","null","202006","19"," ","2019",""
"울산광역시 남구 달동","일반","1***","왕생로66번길","일반상업","제2종근린생활","25m미만","419.98","213.40","131,000","null","202007","20"," ","2001",""
"울산광역시 남구 달동","집합","1***","돋질로","제3종일반주거","제1종근린생활","25m이상","19.38"," ","3,200","2","202007","24"," ","1991",""
"울산광역시 남구 달동","집합","8**","삼산로77번길","준주거","제1종근린생활","12m미만","81.36"," ","22,000","1","202007","30"," ","1980",""
"울산광역시 남구 달동","집합","6**","삼산로93번길","준주거","제2종근린생활","12m미만","203.93"," ","47,000","3","202007","30"," ","2018",""
"울산광역시 남구 달동","집합","1***","달삼로84번길","준주거","제1종근린생활","12m미만","27.4"," ","53,014","1","202007","30"," ","2020",""
"울산광역시 남구 달동","일반","6**","삼산로93번길","준주거","제1종근린생활","12m미만","853.44","218.50","116,000","null","202008","2"," ","1991",""
"울산광역시 남구 달동","일반","1**","삼산로","일반상업","업무","25m이상","4249.23","632.60","750,000","null","202008","5"," ","2003",""
"울산광역시 남구 달동","일반","1***","달삼로60번길","제2종일반주거","제1종근린생활","12m미만","274.86","161.30","46,000","null","202008","15"," ","1996",""
"울산광역시 남구 달동","일반","1***","번영로124번길","제2종일반주거","제2종근린생활","25m미만","959.34","470.10","285,000","null","202009","8"," ","1996",""
