"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"울산광역시 남구 달동","865-1","0865","0001","강남맨션","전세","81.36","202008","20","6,000","0","5","1980","삼산로77번길 18"
"울산광역시 남구 달동","641-2","0641","0002","내일네스트","월세","114.8551","202003","18","1,000","95","6","2007","돋질로102번길 13"
"울산광역시 남구 달동","641-2","0641","0002","내일네스트","월세","82.6355","202011","9","1,500","75","5","2007","돋질로102번길 13"
"울산광역시 남구 달동","879-1","0879","0001","늘안애","전세","83.4663","202005","19","24,000","0","15","2018","돋질로76번길 12"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","59.76","202003","29","18,500","0","20","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","59.76","202004","2","18,000","0","5","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","월세","59.76","202004","5","2,000","55","10","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","월세","76.02","202004","8","1,000","65","9","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","59.925","202004","16","15,000","0","11","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","59.76","202004","26","16,000","0","14","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","59.76","202005","28","18,000","0","4","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","76.02","202006","16","19,000","0","4","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","월세","59.925","202006","23","3,000","40","7","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","76.02","202008","18","23,000","0","19","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","59.925","202011","8","22,500","0","1","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","59.76","202011","21","21,000","0","6","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","76.02","202012","3","26,000","0","14","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","월세","76.02","202012","6","4,000","55","12","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","59.76","202012","17","25,000","0","7","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","84.99","202101","14","29,700","0","7","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","59.925","202101","16","23,000","0","2","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","59.76","202101","31","26,000","0","4","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","59.925","202102","2","25,500","0","13","1999","중앙로128번길 54"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","전세","59.76","202102","17","25,000","0","4","1999","중앙로128번길 54"
"울산광역시 남구 달동","758-2","0758","0002","달동삼성1","전세","59.88","202005","12","15,000","0","16","1997","신정로17번길 5"
