"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","55.4","29.1","202012","28","21,650","5","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","53.27","28.05","202012","28","20,300","2","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","55.4","29.1","202012","28","21,300","3","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","53.27","28.05","202012","28","20,500","3","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","53.27","28.05","202012","28","20,100","3","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","57.01","29.96","202012","28","21,500","3","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","53.27","28.05","202012","28","19,900","2","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","57.01","29.96","202012","28","21,300","2","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","55.4","29.1","202012","28","21,100","2","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","51.27","26.98","202012","28","19,700","5","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","51.27","26.98","202012","28","20,000","5","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","57.01","29.96","202012","28","21,900","4","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","53.27","28.05","202012","28","20,500","4","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","53.27","28.05","202012","28","20,800","4","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","55.4","29.1","202012","28","21,650","4","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","57.01","29.96","202012","28","21,900","5","2020","중앙로176번길 19",""
"울산광역시 남구 달동","625-8","0625","0008","L-PARK","65.74","28.28","202008","10","20,690","8","2017","신정로 66",""
"울산광역시 남구 달동","625-8","0625","0008","L-PARK","65.74","28.28","202009","18","20,690","6","2017","신정로 66",""
"울산광역시 남구 달동","625-8","0625","0008","L-PARK","65.74","28.28","202009","18","20,690","5","2017","신정로 66",""
"울산광역시 남구 달동","625-8","0625","0008","L-PARK","65.74","28.28","202011","10","20,690","8","2017","신정로 66",""
"울산광역시 남구 달동","596-6","0596","0006","경동빌라","143.531","99.73","202012","15","32,000","2","1992","신정로58번길 13",""
"울산광역시 남구 달동","1274-24","1274","0024","고속유성빌라A동","69.6","58.3","202101","9","11,900","1","1997","번영로94번길 17",""
"울산광역시 남구 달동","1264-14","1264","0014","그랑스원룸","22.23","13.88","202006","19","7,100","4","2001","왕생로36번길 3",""
"울산광역시 남구 달동","1264-14","1264","0014","그랑스원룸","20","12.49","202006","19","6,100","3","2001","왕생로36번길 3",""
"울산광역시 남구 달동","1264-14","1264","0014","그랑스원룸","27.28","17.04","202006","19","7,300","3","2001","왕생로36번길 3",""
"울산광역시 남구 달동","1264-14","1264","0014","그랑스원룸","27.28","17.04","202006","19","7,300","2","2001","왕생로36번길 3",""
"울산광역시 남구 달동","1264-14","1264","0014","그랑스원룸","27.28","17.04","202006","19","7,300","1","2001","왕생로36번길 3",""
"울산광역시 남구 달동","1264-14","1264","0014","그랑스원룸","27.28","17.04","202006","19","7,300","1","2001","왕생로36번길 3",""
