"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"울산광역시 남구 달동","1291-5","1291","0005","(1291-5)","월세","63.27","202008","28","5,000","35","2","2002","왕생로 8"
"울산광역시 남구 달동","1344-15","1344","0015","SOHO Livingtel","월세","30.69","202003","16","200","22","3","1998","왕생로81번길 8"
"울산광역시 남구 달동","1302-4","1302","0004","residence The Habor","월세","15.95","202012","8","5,000","10","3","2014","달삼로76번길 21"
"울산광역시 남구 달동","1302-4","1302","0004","residence The Habor","월세","24.64","202102","20","4,000","20","5","2014","달삼로76번길 21"
"울산광역시 남구 달동","641-7","0641","0007","강남빌리지","월세","74.37","202005","27","500","56","3","2002","중앙로166번길 43-17"
"울산광역시 남구 달동","870-10","0870","0010","강남파크원룸","월세","25.855","202005","1","1,000","20","2","2001","삼산로83번길 36-1"
"울산광역시 남구 달동","596-6","0596","0006","경동빌라","월세","143.531","202004","27","10,000","20","3","1992","신정로58번길 13"
"울산광역시 남구 달동","1329-20","1329","0020","골든파크빌B","월세","29.015","202006","13","200","28","3","2001","왕생로100번길 19"
"울산광역시 남구 달동","1260-11","1260","0011","공원투룸","월세","22.2425","202010","24","100","32","2","2002","왕생로30번길 19"
"울산광역시 남구 달동","1281-5","1281","0005","구룡홈아트","전세","28.68","202003","18","6,000","0","2","1993","달삼로32번길 9-18"
"울산광역시 남구 달동","1311-17","1311","0017","그린(B)","월세","33.3325","202006","2","100","31","1","2001","꽃대나리로95번길 8"
"울산광역시 남구 달동","1309-13","1309","0013","그린아트빌","월세","27.5","202010","19","100","25","3","2002","꽃대나리로95번길 17"
"울산광역시 남구 달동","1302-22","1302","0022","그린하우징","전세","24.18","202012","30","5,000","0","4","2001","달삼로76번길 27"
"울산광역시 남구 달동","611-21","0611","0021","금남빌라","월세","65.01","202012","31","1,000","50","2","1991","번영로163번길 29-1"
"울산광역시 남구 달동","883-3","0883","0003","남양그린빌","전세","39.3163","202006","8","6,500","0","4","2013","돋질로76번길 23"
"울산광역시 남구 달동","883-3","0883","0003","남양그린빌","월세","39.8921","202007","27","7,000","15","3","2013","돋질로76번길 23"
"울산광역시 남구 달동","883-3","0883","0003","남양그린빌","전세","39.8921","202010","19","8,000","0","5","2013","돋질로76번길 23"
"울산광역시 남구 달동","583-1","0583","0001","달동(연립, 가,나)동","월세","44.1","202005","18","1,000","30","1","1980","삼산로181번길 19"
