"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"울산광역시 남구 달동","883-3","0883","0003","	(883-3)	","월세","47.92","202102","3","9,000","5","2","2013","돋질로76번길 23"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","전세","32.48","202003","7","9,500","0","9","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","월세","33.46","202003","11","500","35","4","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","월세","32.48","202003","30","300","38","11","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","월세","32.48","202004","29","8,000","7","5","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","전세","32.48","202005","10","9,000","0","6","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","전세","28.14","202005","11","7,500","0","7","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","전세","28.14","202007","20","7,500","0","6","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","전세","33.46","202008","19","9,000","0","7","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","전세","33.46","202008","25","9,000","0","7","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","전세","33.46","202010","5","9,000","0","11","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","월세","28.14","202010","16","500","32","10","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","전세","33.46","202011","7","9,000","0","9","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","전세","32.48","202011","27","10,000","0","3","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","전세","28.14","202012","7","9,000","0","7","2015","신정로 70"
"울산광역시 남구 달동","619-5","0619","0005","(619-5)","전세","33.46","202012","12","10,000","0","10","2015","신정로 70"
"울산광역시 남구 달동","877-8","0877","0008","(877-8)","전세","82.97","202012","30","22,000","0","4","2020","중앙로176번길 11"
"울산광역시 남구 달동","877-8","0877","0008","(877-8)","전세","82.97","202101","4","22,000","0","2","2020","중앙로176번길 11"
"울산광역시 남구 달동","877-8","0877","0008","(877-8)","전세","82.97","202101","15","22,000","0","4","2020","중앙로176번길 11"
"울산광역시 남구 달동","877-8","0877","0008","(877-8)","전세","82.97","202101","17","22,000","0","3","2020","중앙로176번길 11"
"울산광역시 남구 달동","881-10","0881","0010","(881-10)","월세","46.77","202003","31","1,000","70","11","2020","중앙로 158"
"울산광역시 남구 달동","881-10","0881","0010","(881-10)","전세","46.24","202004","1","14,000","0","7","2020","중앙로 158"
"울산광역시 남구 달동","881-10","0881","0010","(881-10)","전세","46.77","202004","2","14,000","0","7","2020","중앙로 158"
