"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"울산광역시 울주군 언양읍 직동리","4**","답","자연녹지지역","-","202002","29","106","1,900"," ",""
"울산광역시 울주군 상북면 덕현리","7**","답","자연환경보전","8m미만","202002","29","518","15,670"," ",""
"울산광역시 울주군 두서면 복안리","1***","답","농림지역","8m미만","202002","29","2727","17,500"," ",""
"울산광역시 울주군 온양읍 동상리","산2*","임야","제1종일반주거지역","-","202002","29","1322","19,600","지분",""
"울산광역시 울주군 웅촌면 검단리","3**","전","자연녹지지역","-","202002","29","300","3,620"," ",""
"울산광역시 울주군 상북면 소호리","산1**","임야","생산관리지역","-","202002","29","201.65","4,575","지분",""
"울산광역시 남구 신정동","1***","도로","제3종일반주거지역","25m미만","202002","29","3.94","850"," ",""
"울산광역시 울주군 두동면 이전리","산8*","임야","준주거지역","-","202003","1","297","10,000"," ",""
"울산광역시 울주군 온산읍 덕신리","산3**","임야","제1종일반주거지역","12m미만","202003","1","165","3,250","지분",""
"울산광역시 울주군 온양읍 동상리","1**","대","제1종일반주거지역","-","202003","1","232","6,300"," ",""
"울산광역시 울주군 서생면 화산리","산2**","임야","보전녹지지역","-","202003","1","330","7,000","지분",""
"울산광역시 울주군 온양읍 동상리","산2*","임야","제1종일반주거지역","-","202003","2","20","1,053","지분",""
"울산광역시 울주군 삼남읍 가천리","1***","대","자연녹지지역","-","202003","2","34","1,400"," ",""
"울산광역시 울주군 언양읍 평리","6**","답","생산녹지지역","8m미만","202003","2","1689","11,750"," ",""
"울산광역시 남구 야음동","3**","도로","제3종일반주거지역","12m미만","202003","2","183.8","12,000"," ",""
"울산광역시 북구 구유동","3**","전","제1종일반주거지역","-","202003","2","172","12,410","지분",""
"울산광역시 북구 구유동","3**","전","제1종일반주거지역","25m미만","202003","2","142.67","12,761","지분",""
"울산광역시 중구 다운동","4*","답","개발제한구역","8m미만","202003","2","1450","14,000","지분",""
"울산광역시 남구 야음동","7**","대","제2종일반주거지역","25m미만","202003","2","39","14,157"," ",""
"울산광역시 남구 야음동","7**","답","제2종일반주거지역","25m미만","202003","2","542","169,920"," ",""
"울산광역시 울주군 범서읍 두산리","6**","임야","자연녹지지역","8m미만","202003","2","188.5","177","지분",""
"울산광역시 울주군 상북면 궁근정리","산1**","임야","자연녹지지역","-","202003","2","165","2,250","지분",""
"울산광역시 울주군 서생면 신암리","8*","임야","보전녹지지역","8m미만","202003","2","67","2,400"," ",""
"울산광역시 북구 양정동","산3*","임야","개발제한구역","8m미만","202003","2","661.23","260","지분",""
"울산광역시 남구 두왕동","7**","공장용지","일반공업지역","25m미만","202003","2","6891.6","277,976"," ",""
"울산광역시 울주군 서생면 신암리","2**","전","자연녹지지역","-","202003","2","780","28,300"," ",""
"울산광역시 울주군 범서읍 천상리","4**","답","개발제한구역","8m미만","202003","2","1174","29,000"," ",""
"울산광역시 북구 신현동","9**","임야","제1종일반주거지역","8m미만","202003","2","82","3,264"," ",""
"울산광역시 중구 북정동","1**","대","제3종일반주거지역","12m미만","202003","2","116","30,000"," ",""
"울산광역시 남구 야음동","7**","답","제2종일반주거지역","-","202003","2","1","363"," ",""
"울산광역시 북구 양정동","산3*","임야","개발제한구역","8m미만","202003","2","991.85","390","지분",""
"울산광역시 울주군 두서면 내와리","8**","전","보전관리지역","8m미만","202003","2","446","4,900"," ",""
"울산광역시 울주군 두서면 내와리","8**","전","보전관리지역","8m미만","202003","2","446","4,900"," ",""
"울산광역시 북구 양정동","산3*","임야","개발제한구역","8m미만","202003","2","1024.91","403","지분",""
"울산광역시 남구 여천동","2**","철도용지","일반공업지역","25m미만","202003","2","1114","45,897"," ",""
"울산광역시 중구 남외동","4**","대","제2종일반주거지역","8m미만","202003","2","1","500"," ",""
"울산광역시 울주군 온산읍 학남리","산9*","임야","자연녹지지역","-","202003","2","1322","7,084"," ",""
"울산광역시 울주군 온산읍 학남리","산9*","임야","자연녹지지역","8m미만","202003","2","1322","7,084"," ",""
"울산광역시 남구 야음동","7**","잡종지","제2종일반주거지역","-","202003","2","222","80,586"," ",""
"울산광역시 북구 구유동","3**","전","제1종일반주거지역","-","202003","2","11.33","869","지분",""
"울산광역시 울주군 언양읍 반천리","산1**","임야","농림지역","-","202003","2","76","874","지분",""
"울산광역시 울주군 웅촌면 대복리","4**","도로","자연녹지지역","-","202003","3","100","1,000","지분","20200729"
"울산광역시 울주군 청량읍 율리","산1**","임야","자연녹지지역","-","202003","3","73","1,144","지분",""
"울산광역시 울주군 서생면 위양리","1***","답","자연녹지지역","8m미만","202003","3","889","11,380"," ",""
"울산광역시 울주군 범서읍 척과리","7**","답","자연녹지지역","8m미만","202003","3","459","19,000"," ",""
"울산광역시 울주군 웅촌면 대복리","4**","임야","자연녹지지역","-","202003","3","740","2,000"," ","20200729"
"울산광역시 울주군 서생면 신암리","산1**","임야","자연녹지지역","-","202003","3","215","2,600"," ",""
"울산광역시 울주군 온양읍 동상리","8**","답","자연녹지지역","12m미만","202003","3","66.88","2,734","지분",""
"울산광역시 울주군 서생면 신암리","5**","과수원","자연녹지지역","8m미만","202003","3","245","3,690"," ",""
"울산광역시 울주군 웅촌면 곡천리","산2*","임야","제1종일반주거지역","-","202003","3","1","30"," ",""
"울산광역시 울주군 서생면 위양리","1***","답","자연녹지지역","-","202003","3","400","5,120"," ",""
"울산광역시 울주군 서생면 신암리","산1**","임야","자연녹지지역","-","202003","3","495","6,000"," ",""
"울산광역시 울주군 서생면 신암리","5**","도로","자연녹지지역","8m미만","202003","3","4","60"," ",""
"울산광역시 울주군 삼동면 출강리","산2**","임야","농림지역","-","202003","3","4199","700","지분",""
"울산광역시 울주군 언양읍 반천리","산1**","임야","농림지역","-","202003","3","66","720","지분",""
"울산광역시 울주군 청량읍 율리","산2**","임야","개발제한구역","25m미만","202003","3","430","8,000","지분",""
"울산광역시 울주군 웅촌면 대복리","4**","공장용지","자연녹지지역","8m미만","202003","3","3958","87,000"," ","20200729"
"울산광역시 울주군 두서면 인보리","4**","전","제1종일반주거지역","8m미만","202003","4","28","1,008","지분",""
"울산광역시 울주군 언양읍 반천리","산8*","임야","농림지역","-","202003","4","99","1,029","지분",""
"울산광역시 울주군 두서면 인보리","4**","대","제1종일반주거지역","8m미만","202003","4","36.5","1,314","지분",""
"울산광역시 울주군 상북면 궁근정리","1***","제방","자연녹지지역","-","202003","4","94","1,390","지분",""
"울산광역시 북구 대안동","2**","임야","생산관리지역","-","202003","4","545","1,500"," ",""
"울산광역시 울주군 상북면 궁근정리","1***","제방","자연녹지지역","-","202003","4","107","1,547","지분",""
"울산광역시 울주군 서생면 위양리","1***","구거","자연녹지지역","8m미만","202003","4","130","1,851"," ",""
"울산광역시 울주군 두동면 만화리","6**","답","자연녹지지역","-","202003","4","1643","13,000","지분",""
"울산광역시 울주군 상북면 소호리","2**","답","보전관리지역","-","202003","4","1459","16,400"," ",""
"울산광역시 울주군 범서읍 망성리","8*","묘지","개발제한구역","8m미만","202003","4","655","19,800"," ",""
"울산광역시 울주군 상북면 소호리","2**","전","보전관리지역","12m미만","202003","4","190","2,140"," ",""
"울산광역시 울주군 두서면 인보리","4**","전","제1종일반주거지역","8m미만","202003","4","68.5","2,466","지분",""
"울산광역시 울주군 언양읍 반천리","산1**","임야","농림지역","8m미만","202003","4","330","2,500","지분",""
"울산광역시 울주군 서생면 위양리","1***","구거","자연녹지지역","8m미만","202003","4","145","2,519"," ",""
"울산광역시 울주군 언양읍 반곡리","산1*","임야","농림지역","-","202003","4","5300","238"," ",""
"울산광역시 울주군 언양읍 반곡리","산1*","임야","농림지역","-","202003","4","5300","238"," ",""
"울산광역시 울주군 언양읍 반곡리","산1*","임야","농림지역","-","202003","4","6600","296"," ",""
"울산광역시 울주군 서생면 위양리","1***","구거","자연녹지지역","8m미만","202003","4","220","3,131"," ",""
"울산광역시 울주군 상북면 궁근정리","3**","전","자연녹지지역","-","202003","4","263","3,803"," ",""
"울산광역시 중구 북정동","1**","대","제3종일반주거지역","12m미만","202003","4","117","32,000"," ",""
"울산광역시 울주군 상북면 지내리","5**","답","생산녹지지역","8m미만","202003","4","3103","33,000"," ",""
"울산광역시 울주군 언양읍 반곡리","산1*","임야","농림지역","-","202003","4","7484","335"," ",""
"울산광역시 울주군 온산읍 덕신리","산3**","임야","제1종일반주거지역","12m미만","202003","4","6.6","343","지분",""
"울산광역시 울주군 상북면 소호리","2**","임야","보전관리지역","8m미만","202003","4","397","4,460"," ",""
"울산광역시 울주군 청량읍 율리","산1**","임야","자연녹지지역","-","202003","4","331","5,500","지분",""
"울산광역시 울주군 상북면 궁근정리","3**","전","자연녹지지역","-","202003","4","377","5,574"," ",""
"울산광역시 울주군 상북면 궁근정리","1***","잡종지","자연녹지지역","-","202003","4","388","5,737"," ",""
"울산광역시 울주군 온양읍 동상리","산7*","임야","제1종일반주거지역","-","202003","4","10","526","지분",""
"울산광역시 울주군 언양읍 반곡리","산1*","임야","농림지역","-","202003","4","13200","592"," ",""
"울산광역시 울주군 상북면 궁근정리","1***","잡종지","자연녹지지역","-","202003","4","529","7,650"," ",""
"울산광역시 울주군 두서면 전읍리","1***","대","계획관리지역","8m미만","202003","5","82","1,000"," ",""
"울산광역시 울주군 상북면 궁근정리","3**","임야","자연녹지지역","-","202003","5","110","1,470"," ",""
"울산광역시 울주군 두서면 전읍리","1***","전","계획관리지역","8m미만","202003","5","221","1,750"," ",""
"울산광역시 울주군 두서면 전읍리","1***","답","계획관리지역","8m미만","202003","5","124","1,900"," ",""
"울산광역시 울주군 범서읍 두산리","8**","과수원","개발제한구역","8m미만","202003","5","714","12,700"," ",""
"울산광역시 남구 상개동","1**","임야","자연녹지지역","25m이상","202003","5","4127","15,470"," ","20200331"
"울산광역시 남구 상개동","1**","임야","자연녹지지역","25m이상","202003","5","4127","15,470"," ",""
"울산광역시 남구 상개동","1**","임야","자연녹지지역","-","202003","5","1","16"," ",""
"울산광역시 남구 상개동","1**","임야","자연녹지지역","-","202003","5","1","16"," ","20200331"
"울산광역시 울주군 서생면 화산리","8**","과수원","자연녹지지역","-","202003","5","1289","18,998"," ","20200525"
"울산광역시 울주군 두서면 전읍리","1***","대","계획관리지역","8m미만","202003","5","155","2,000"," ",""
"울산광역시 남구 상개동","7*","답","자연녹지지역","-","202003","5","99","2,431"," ","20200331"
"울산광역시 중구 다운동","산1**","임야","자연녹지지역","12m미만","202003","5","297.5","2,481","지분",""
"울산광역시 울주군 청량읍 율리","산1**","임야","자연녹지지역","-","202003","5","165","2,600","지분",""
"울산광역시 울주군 두동면 봉계리","1***","답","생산관리지역","-","202003","5","1018","2,600"," ",""
"울산광역시 남구 상개동","6*","전","자연녹지지역","-","202003","5","360","2,652"," ","20200331"
"울산광역시 남구 상개동","1**","임야","자연녹지지역","-","202003","5","268","2,962"," ",""
"울산광역시 남구 상개동","1**","임야","자연녹지지역","-","202003","5","268","2,962"," ","20200331"
"울산광역시 울주군 온산읍 학남리","4**","공장용지","일반공업지역","25m미만","202003","5","5001.6","240,000"," ",""
"울산광역시 울주군 상북면 궁근정리","3**","제방","자연녹지지역","-","202003","5","18","241"," ",""
"울산광역시 울주군 삼남읍 신화리","1***","답","자연녹지지역","12m미만","202003","5","414","25,000"," ",""
"울산광역시 남구 상개동","산5*","임야","자연녹지지역","25m이상","202003","5","68","259"," ","20200331"
"울산광역시 남구 상개동","산5*","임야","자연녹지지역","25m이상","202003","5","68","259"," ",""
"울산광역시 울주군 청량읍 율리","산1**","임야","자연녹지지역","-","202003","5","199","3,120","지분",""
"울산광역시 울주군 온양읍 동상리","산7*","임야","제1종일반주거지역","-","202003","5","66","3,430","지분",""
"울산광역시 울주군 언양읍 반천리","산8*","임야","농림지역","-","202003","5","331","3,800","지분",""
"울산광역시 울주군 온산읍 강양리","6**","답","자연녹지지역","8m미만","202003","5","1392","30,000"," ",""
"울산광역시 울주군 청량읍 동천리","7**","도로","제1종일반주거지역","8m미만","202003","5","33","300"," ",""
"울산광역시 울주군 삼남읍 방기리","9**","대","제2종일반주거지역","-","202003","5","759.3","35,000"," ",""
"울산광역시 울주군 삼남읍 방기리","9**","대","제2종일반주거지역","12m미만","202003","5","710.7","37,435"," ",""
"울산광역시 울주군 서생면 진하리","4**","대","제2종일반주거지역","12m미만","202003","5","8.9","377","지분",""
"울산광역시 북구 대안동","8**","답","보전관리지역","8m미만","202003","5","1474","4,000"," ",""
"울산광역시 울주군 두서면 전읍리","1***","전","계획관리지역","-","202003","5","947","4,100"," ",""
"울산광역시 울주군 서생면 진하리","4**","대","제2종일반주거지역","8m미만","202003","5","55.1","4,833","지분",""
"울산광역시 동구 방어동","9**","도로","제2종일반주거지역","8m미만","202003","5","24.5","420","지분",""
"울산광역시 울주군 청량읍 율리","산1**","임야","자연녹지지역","-","202003","5","364","5,720","지분",""
"울산광역시 남구 상개동","1**","임야","자연녹지지역","12m미만","202003","5","25","501"," ","20200331"
"울산광역시 남구 상개동","1**","임야","자연녹지지역","12m미만","202003","5","25","501"," ",""
"울산광역시 남구 상개동","6*","임야","자연녹지지역","-","202003","5","210","560"," ","20200331"
"울산광역시 남구 상개동","6*","임야","자연녹지지역","-","202003","5","210","560"," ",""
"울산광역시 울주군 상북면 궁근정리","3**","전","자연녹지지역","8m미만","202003","5","495","6,615"," ",""
"울산광역시 울주군 서생면 화산리","8**","과수원","자연녹지지역","-","202003","5","4139","61,002"," ","20200525"
"울산광역시 중구 다운동","산1**","임야","자연녹지지역","8m미만","202003","5","901.5","7,519","지분",""
"울산광역시 울주군 두동면 구미리","*","대","계획관리지역","-","202003","5","518","8,350"," ",""
"울산광역시 울주군 상북면 궁근정리","1***","잡종지","자연녹지지역","-","202003","5","654","8,739"," ",""
"울산광역시 울주군 서생면 화산리","8**","과수원","자연녹지지역","-","202003","5","4139","80,000"," ",""
"울산광역시 남구 상개동","1**","임야","자연녹지지역","25m이상","202003","5","488","9,871"," ",""
"울산광역시 남구 상개동","1**","임야","자연녹지지역","25m이상","202003","5","488","9,871"," ","20200331"
"울산광역시 울주군 상북면 궁근정리","3**","임야","자연녹지지역","8m미만","202003","5","70","935"," ",""
"울산광역시 울주군 삼남읍 신화리","1***","답","자연녹지지역","12m미만","202003","5","1572","95,000"," ",""
"울산광역시 울주군 온양읍 운화리","산5*","임야","개발제한구역","-","202003","6","1653","1,000","지분",""
"울산광역시 울주군 삼동면 보은리","산1**","임야","농림지역","-","202003","6","2376.4","10,000","지분",""
"울산광역시 울주군 두동면 은편리","2*","임야","자연녹지지역","8m미만","202003","6","746","10,000"," ",""
"울산광역시 중구 복산동","3**","전","제3종일반주거지역","12m미만","202003","6","111","13,500"," ",""
"울산광역시 동구 전하동","3**","대","일반상업지역","8m미만","202003","6","321","130,000"," ",""
"울산광역시 북구 산하동","산2**","임야","자연녹지지역","-","202003","6","684.5","14,490","지분",""
"울산광역시 동구 전하동","3**","대","일반상업지역","8m미만","202003","6","380","150,000"," ",""
"울산광역시 울주군 온양읍 동상리","산2*","임야","제1종일반주거지역","-","202003","6","49.5","2,612","지분",""
"울산광역시 울주군 언양읍 서부리","1**","도로","제2종일반주거지역","25m미만","202003","6","44","2,800"," ",""
"울산광역시 울주군 언양읍 반천리","산1**","임야","보전관리지역","-","202003","6","33","250","지분",""
"울산광역시 중구 옥교동","3**","대","준주거지역","8m미만","202003","6","212.7","26,944"," ",""
"울산광역시 울주군 상북면 궁근정리","1***","잡종지","자연녹지지역","-","202003","6","200","3,022"," ",""
"울산광역시 북구 구유동","6**","답","개발제한구역","-","202003","6","826.67","3,126","지분",""
"울산광역시 중구 성안동","산1**","임야","개발제한구역","8m미만","202003","6","760.33","3,300","지분",""
"울산광역시 울주군 범서읍 사연리","9*","전","개발제한구역","8m미만","202003","6","1051","31,500"," ",""
"울산광역시 중구 약사동","3**","대","제1종전용주거지역","12m미만","202003","6","269.2","33,600"," ",""
"울산광역시 북구 구유동","6**","답","개발제한구역","-","202003","6","103.33","391","지분",""
"울산광역시 울주군 삼남읍 상천리","산6*","임야","자연녹지지역","-","202003","6","331","4,000"," ",""
"울산광역시 울주군 온양읍 운화리","산5*","임야","개발제한구역","-","202003","6","8331","5,000","지분",""
"울산광역시 울주군 두동면 이전리","8**","대","자연녹지지역","8m미만","202003","6","20","600"," ",""
"울산광역시 울주군 언양읍 직동리","산7*","임야","자연녹지지역","-","202003","6","3533","7,000"," ",""
"울산광역시 북구 산하동","산2**","임야","자연녹지지역","-","202003","6","331","7,000","지분",""
"울산광역시 중구 장현동","4**","답","개발제한구역","8m미만","202003","6","1192.14","7,200","지분",""
"울산광역시 울주군 온양읍 운화리","산5*","임야","개발제한구역","-","202003","6","1653","785","지분",""
"울산광역시 울주군 상북면 궁근정리","3**","전","자연녹지지역","-","202003","6","561","8,478"," ",""
"울산광역시 울주군 상북면 소호리","3**","학교용지","계획관리지역","8m미만","202003","6","129","950"," ",""
"울산광역시 울주군 서생면 화산리","산2*","임야","보전녹지지역","-","202003","7","992","15,000"," ",""
"울산광역시 북구 호계동","1***","대","제1종일반주거지역","12m미만","202003","7","293.6","36,500"," ",""
"울산광역시 울주군 두서면 전읍리","4**","전","자연녹지지역","-","202003","8","387","1,538"," ",""
"울산광역시 울주군 두서면 전읍리","4**","답","자연녹지지역","-","202003","8","846","3,362"," ",""
"울산광역시 울주군 범서읍 두산리","6*","도로","자연녹지지역","8m미만","202003","8","136.71","850","지분",""
"울산광역시 동구 일산동","2**","대","제2종일반주거지역","25m미만","202003","9","19","1,000"," ",""
"울산광역시 울주군 언양읍 반천리","산8*","임야","농림지역","-","202003","9","99","1,140","지분",""
"울산광역시 남구 성암동","2**","임야","일반공업지역","-","202003","9","30.34","1,181","지분",""
"울산광역시 울주군 웅촌면 곡천리","산2*","임야","제1종일반주거지역","-","202003","9","233","1,210"," ",""
"울산광역시 울주군 온산읍 덕신리","산3**","임야","제1종일반주거지역","12m미만","202003","9","23","1,228","지분",""
"울산광역시 울주군 서생면 위양리","7**","전","자연녹지지역","8m미만","202003","9","352","10,000"," ",""
"울산광역시 울주군 온산읍 학남리","산9*","임야","자연녹지지역","8m미만","202003","9","635","10,944","지분",""
"울산광역시 울주군 온산읍 학남리","산9*","임야","자연녹지지역","8m미만","202003","9","661","11,400","지분",""
"울산광역시 남구 성암동","2**","임야","자연녹지지역","-","202003","9","429.1","16,763","지분",""
"울산광역시 남구 성암동","2**","임야","일반공업지역","25m이상","202003","9","434.02","16,942","지분",""
"울산광역시 울주군 범서읍 천상리","9**","답","개발제한구역","8m미만","202003","9","1710","18,250"," ",""
"울산광역시 울주군 온산읍 학남리","산9*","임야","자연녹지지역","8m미만","202003","9","165","2,850","지분",""
"울산광역시 울주군 청량읍 덕하리","4**","답","제2종일반주거지역","-","202003","9","377","20,748","지분",""
"울산광역시 남구 성암동","2**","임야","자연녹지지역","-","202003","9","561.98","21,951","지분",""
"울산광역시 울주군 삼남읍 방기리","1**","답","자연녹지지역","12m미만","202003","9","624.6","25,600","지분",""
"울산광역시 남구 성암동","2**","임야","일반공업지역","25m이상","202003","9","6.98","268","지분",""
"울산광역시 남구 성암동","1**","공장용지","일반공업지역","-","202003","9","8249.3","316,846"," ",""
"울산광역시 남구 황성동","7**","임야","일반공업지역","-","202003","9","1068.24","41,755","지분",""
"울산광역시 동구 일산동","2**","대","제2종일반주거지역","25m미만","202003","9","89","5,000"," ",""
"울산광역시 남구 성암동","1**","도로","일반공업지역","25m미만","202003","9","418.2","5,154","지분",""
"울산광역시 울주군 청량읍 문죽리","8**","전","개발제한구역","-","202003","9","344","5,200"," ",""
"울산광역시 울주군 온산읍 학남리","산9*","임야","자연녹지지역","8m미만","202003","9","330","5,600","지분",""
"울산광역시 울주군 온산읍 학남리","산9*","임야","자연녹지지역","8m미만","202003","9","331","5,700","지분",""
"울산광역시 남구 황성동","7**","임야","일반공업지역","25m이상","202003","9","162.4","6,333","지분",""
"울산광역시 울주군 범서읍 사연리","5**","답","개발제한구역","8m미만","202003","9","330","7,600"," ",""
"울산광역시 남구 성암동","2**","임야","일반공업지역","-","202003","9","1885.66","73,707","지분",""
"울산광역시 울주군 상북면 거리","1**","답","자연녹지지역","-","202003","9","476","8,800"," ",""
"울산광역시 울주군 온산읍 학남리","산9*","임야","자연녹지지역","8m미만","202003","9","522","8,848","지분",""
"울산광역시 울주군 상북면 명촌리","1**","답","생산녹지지역","8m미만","202003","9","963","9,600"," ",""
"울산광역시 울주군 온산읍 강양리","6**","전","자연녹지지역","8m미만","202003","10","122","1,000"," ",""
"울산광역시 울주군 상북면 천전리","산3*","임야","자연녹지지역","-","202003","10","496.01","1,295","지분",""
"울산광역시 울주군 웅촌면 대복리","산2**","임야","농림지역","-","202003","10","433.98","1,703","지분",""
"울산광역시 울주군 온산읍 덕신리","산3**","임야","제1종일반주거지역","12m미만","202003","10","33","1,715","지분",""
"울산광역시 울주군 서생면 화산리","4*","답","보전녹지지역","-","202003","10","660","10,000"," ",""
"울산광역시 울주군 청량읍 율리","산1**","임야","자연녹지지역","-","202003","10","661","11,000","지분",""
"울산광역시 동구 화정동","산1*","임야","자연녹지지역","8m미만","202003","10","4377","119,000"," ",""
"울산광역시 울주군 두서면 차리","5**","답","자연녹지지역","8m미만","202003","10","1874","14,000"," ",""
"울산광역시 울주군 웅촌면 은현리","1***","답","자연녹지지역","8m미만","202003","10","1088","16,450"," ",""
"울산광역시 울주군 두서면 서하리","산2*","임야","보전관리지역","-","202003","10","140","2,680"," ",""
"울산광역시 울주군 웅촌면 검단리","8**","답","자연녹지지역","-","202003","10","205","2,820"," ",""
"울산광역시 북구 호계동","9**","잡종지","제2종일반주거지역","12m미만","202003","10","107","4,480"," ",""
"울산광역시 울주군 삼남읍 상천리","3**","답","생산녹지지역","8m미만","202003","10","2952","40,000"," ",""
"울산광역시 울주군 온양읍 운화리","6**","답","개발제한구역","-","202003","10","79","450"," ",""
"울산광역시 울주군 온양읍 삼광리","4*","전","개발제한구역","-","202003","10","833","5,000"," ",""
"울산광역시 울주군 온산읍 강양리","6**","전","자연녹지지역","8m미만","202003","10","575","5,000"," ",""
"울산광역시 울주군 웅촌면 대복리","산2**","임야","농림지역","-","202003","10","1322.32","5,200","지분",""
"울산광역시 울주군 서생면 화산리","4*","답","보전녹지지역","-","202003","10","381","5,400"," ",""
"울산광역시 북구 호계동","9**","잡종지","제2종일반주거지역","8m미만","202003","10","138","5,740"," ",""
"울산광역시 울주군 서생면 화산리","7**","답","보전녹지지역","8m미만","202003","10","3669","53,280"," ",""
"울산광역시 울주군 온산읍 강양리","6**","전","자연녹지지역","8m미만","202003","10","691","6,000"," ",""
"울산광역시 울주군 두서면 서하리","1**","답","보전관리지역","12m미만","202003","10","356","6,820"," ",""
"울산광역시 울주군 서생면 진하리","3**","잡종지","자연녹지지역","12m미만","202003","10","761","66,330"," ",""
"울산광역시 울주군 웅촌면 검단리","8**","답","자연녹지지역","-","202003","10","522","7,180"," ",""
"울산광역시 울주군 서생면 명산리","산3*","임야","보전녹지지역","-","202003","10","311","8,460"," ",""
"울산광역시 울주군 두서면 복안리","3**","대","생산관리지역","8m미만","202003","10","354","800"," ",""
