"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"인천광역시 강화군 강화읍 갑곳리","3**","단독","8m미만","84.58","133","202012","24","11,050","1986","갑룡길56번길",""
"인천광역시 강화군 강화읍 갑곳리","3**","단독","8m미만","85.75","144","202101","14","18,000","1987","갑룡길70번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","138.41","239","202101","17","36,500","2019","강화대로216번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","140.1","240","202007","18","36,500","2019","강화대로216번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","143.04","244","202101","17","36,600","2019","강화대로216번길","20210215"
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","138.01","266","202003","7","36,600","2019","강화대로216번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","148.81","266","202004","2","36,600","2019","강화대로216번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","149.73","266","202005","4","40,000","2018","강화대로216번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","-","143.28","270","202003","11","35,400","2019","강화대로216번길",""
"인천광역시 강화군 강화읍 갑곳리","6*","단독","8m미만","192.92","279","202101","27","53,500","2020","갑룡길73번길",""
"인천광역시 강화군 강화읍 갑곳리","6*","단독","-","173.62","282","202012","10","52,000","2020","갑룡길73번길",""
"인천광역시 강화군 강화읍 갑곳리","6*","단독","-","186.05","282","202012","30","49,000","2020","갑룡길73번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","138.3","284","202004","25","36,600","2019","강화대로216번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","138.3","284","202004","25","36,600","2019","강화대로216번길","20200616"
"인천광역시 강화군 강화읍 갑곳리","6*","단독","8m미만","174.96","285","202012","8","49,000","2020","갑룡길73번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","99.05","388","202005","28","29,280","2007","강화대로248번길",""
"인천광역시 강화군 강화읍 갑곳리","3*","단독","8m미만","129.83","432","202007","11","34,200","2000","갑룡길",""
"인천광역시 강화군 강화읍 갑곳리","1**","단독","8m미만","99.24","452","202005","8","27,000","2016","갑룡길5번길",""
"인천광역시 강화군 강화읍 갑곳리","3*","단독","8m미만","143.89","477","202008","24","34,500","2011","갑룡길",""
"인천광역시 강화군 강화읍 갑곳리","2*","단독","8m미만","273.37","575","202006","11","33,234","2014","갑룡길",""
"인천광역시 강화군 강화읍 갑곳리","5**","단독","8m미만","192.01","595","202010","30","39,846","2015","강화대로215번길",""
"인천광역시 강화군 강화읍 관청리","3*","다가구","8m미만","103.02","281","202004","14","17,000","1988","새말길8번길",""
"인천광역시 강화군 강화읍 관청리","2**","단독","8m미만","29.35","76","202005","28","3,300","1966","관청길23번길",""
"인천광역시 강화군 강화읍 관청리","2**","단독","8m미만","30.75","89","202007","23","5,400","2000","동문안길40번길",""
"인천광역시 강화군 강화읍 관청리","9**","단독","8m미만","39","93","202009","3","2,350","2000","향교길17번길",""
"인천광역시 강화군 강화읍 관청리","8**","단독","8m미만","48.57","116","202012","21","15,400","1980","궁골길5번길",""
"인천광역시 강화군 강화읍 관청리","6**","단독","8m미만","113.27","118","202012","8","8,000","2001","북문4길",""
"인천광역시 강화군 강화읍 관청리","1**","단독","8m미만","82.69","124","202004","4","10,900","1987","강화대로368번길",""
"인천광역시 강화군 강화읍 관청리","9**","단독","8m미만","45.76","139","202102","16","12,500","1976","향교길",""
"인천광역시 강화군 강화읍 관청리","9**","단독","8m미만","49.18","139","202010","5","12,300","1975","향교길",""
"인천광역시 강화군 강화읍 관청리","1**","단독","8m미만","73.98","141","202012","23","17,500","1980","강화대로",""
"인천광역시 강화군 강화읍 관청리","8**","단독","12m미만","84.55","144","202004","30","15,500","1983","관청길",""
"인천광역시 강화군 강화읍 관청리","8**","단독","12m미만","84.55","144","202003","31","15,500","1983","관청길","20200511"
"인천광역시 강화군 강화읍 관청리","4*","단독","25m미만","45.98","149","202006","10","14,000","2000","동문로",""
"인천광역시 강화군 강화읍 관청리","6**","단독","8m미만","87.01","149","202012","8","11,300","2021","관청길",""
"인천광역시 강화군 강화읍 관청리","5**","단독","8m미만","70.84","151","202004","17","12,000","1994","관청길51번길",""
"인천광역시 강화군 강화읍 관청리","9**","단독","12m미만","41.5","154","202012","7","6,500","2000","송악길",""
"인천광역시 강화군 강화읍 관청리","9**","단독","12m미만","41.5","154","202008","14","6,000","2000","송악길","20201114"
"인천광역시 강화군 강화읍 관청리","1**","단독","8m미만","29.75","162","202009","9","6,500","1960","동문안길20번길",""
"인천광역시 강화군 강화읍 관청리","7**","단독","8m미만","100.25","179","202008","21","18,500","1988","궁골길",""
"인천광역시 강화군 강화읍 관청리","1**","단독","8m미만","44.63","185","202007","29","11,500","1967","동문안길20번길",""
"인천광역시 강화군 강화읍 관청리","8**","단독","8m미만","128.06","188","202102","1","22,000","1981","송악길14번길",""
"인천광역시 강화군 강화읍 관청리","2**","단독","8m미만","76.55","196","202007","16","15,800","2000","새말길15번길",""
"인천광역시 강화군 강화읍 관청리","9**","단독","8m미만","50.87","198","202003","9","8,500","1973","향교길17번길",""
"인천광역시 강화군 강화읍 관청리","5**","단독","8m미만","86.34","202","202101","29","23,500","2016","관청길55번길",""
"인천광역시 강화군 강화읍 관청리","2**","단독","8m미만","80.5","208","202007","7","19,000","1984","동문안길40번길",""
"인천광역시 강화군 강화읍 관청리","1**","단독","8m미만","31.23","215","202011","25","7,000","1955","동문로",""
"인천광역시 강화군 강화읍 관청리","2**","단독","8m미만","86.88","229","202007","13","6,200","1940","관청길",""
"인천광역시 강화군 강화읍 관청리","5**","단독","8m미만","143.1","234","202003","16","19,800","2000","관청길51번길",""
"인천광역시 강화군 강화읍 관청리","9**","단독","8m미만","52.02","261","202102","16","16,000","1976","향교길",""
"인천광역시 강화군 강화읍 관청리","2**","단독","8m미만","52.89","311","202009","15","16,500","1968","새말길15번길",""
"인천광역시 강화군 강화읍 관청리","9*","단독","12m미만","152.12","404","202005","15","48,000","1980","대월로",""
"인천광역시 강화군 강화읍 관청리","7*","단독","8m미만","42.48","419","202005","20","10,000","1985","갑룡길5번길",""
"인천광역시 강화군 강화읍 관청리","4*","단독","8m미만","96.15","483","202102","23","33,000","2020","동문로",""
"인천광역시 강화군 강화읍 관청리","4*","단독","8m미만","96.15","484","202010","8","33,679","2020","동문로",""
"인천광역시 강화군 강화읍 관청리","4*","단독","8m미만","96.15","484","202006","15","33,679","2020","동문로","20200721"
"인천광역시 강화군 강화읍 관청리","4*","단독","8m미만","96.15","484","202007","16","33,679","2020","동문로","20200812"
"인천광역시 강화군 강화읍 관청리","4*","단독","8m미만","96.15","484","202006","24","33,679","2020","동문로",""
"인천광역시 강화군 강화읍 관청리","4*","단독","8m미만","96.15","484","202009","28","34,000","2020","동문로",""
"인천광역시 강화군 강화읍 관청리","4*","단독","8m미만","96.36","485","202011","10","33,679","2020","동문로",""
"인천광역시 강화군 강화읍 관청리","6*","단독","8m미만","146.25","610","202009","20","38,000","2009","동문로74번길",""
"인천광역시 강화군 강화읍 관청리","9*","단독","8m미만","321.42","613","202012","6","50,200","1990","대월로",""
"인천광역시 강화군 강화읍 국화리","7**","단독","8m미만","61.08","193","202011","2","16,700","2018","시리미로313번길",""
"인천광역시 강화군 강화읍 국화리","7**","단독","8m미만","61.08","193","202008","8","16,800","2018","시리미로313번길","20201110"
"인천광역시 강화군 강화읍 국화리","1**","단독","8m미만","103.47","238","202012","7","9,500","1935","강화대로516번길",""
"인천광역시 강화군 강화읍 국화리","6**","단독","-","134.26","267","202012","28","24,230","2020","고비고개로282번길",""
"인천광역시 강화군 강화읍 국화리","2**","단독","8m미만","59.48","295","202006","9","12,400","1935","고비고개로95번길",""
"인천광역시 강화군 강화읍 국화리","7**","단독","8m미만","102.78","388","202008","24","28,300","2020","시리미로313번길",""
"인천광역시 강화군 강화읍 국화리","7**","단독","8m미만","106.82","412","202009","17","25,000","2018","시리미로313번길",""
"인천광역시 강화군 강화읍 국화리","7**","단독","8m미만","109.25","413","202005","11","26,606","2020","시리미로313번길",""
"인천광역시 강화군 강화읍 국화리","7**","단독","8m미만","109.25","413","202005","11","27,000","2020","시리미로313번길","20200527"
"인천광역시 강화군 강화읍 국화리","1**","단독","8m미만","97.62","417","202003","3","16,800","2003","강화대로562번길",""
"인천광역시 강화군 강화읍 국화리","8**","단독","8m미만","115.38","479","202102","15","23,000","2018","시리미로313번길",""
"인천광역시 강화군 강화읍 국화리","7**","단독","-","93.8","488","202009","15","13,736","2000","고비고개로",""
"인천광역시 강화군 강화읍 남산리","7*","단독","8m미만","80.91","159","202008","24","11,200","1981","남문로43번길",""
"인천광역시 강화군 강화읍 남산리","6*","단독","8m미만","258.38","212","202007","24","18,700","1981","남문로43번길",""
"인천광역시 강화군 강화읍 남산리","1**","단독","8m미만","93.64","340","202005","23","20,000","1985","부조고개길50번길",""
"인천광역시 강화군 강화읍 남산리","4**","단독","8m미만","169.2","500","202010","27","35,700","2005","충렬사로",""
