"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"인천광역시 강화군 강화읍 갑곳리","7*","-","26.44","전세","202006","4","4,000","0","2017","null"
"인천광역시 강화군 강화읍 갑곳리","7*","8m미만","26.44","전세","202010","5","4,500","0","2017","갑룡길"
"인천광역시 강화군 강화읍 갑곳리","1**","8m미만","30","월세","202005","4","300","30","2010","갑룡길5번길"
"인천광역시 강화군 강화읍 갑곳리","2*","-","30","월세","202009","5","500","40","2012","null"
"인천광역시 강화군 강화읍 갑곳리","1**","12m미만","30","월세","202012","19","500","38","2016","갑룡길"
"인천광역시 강화군 강화읍 갑곳리","1**","-","30","월세","202002","29","500","33","2010","null"
"인천광역시 강화군 강화읍 갑곳리","3*","8m미만","30","전세","202102","20","3,000","0","2013","갑룡길"
"인천광역시 강화군 강화읍 갑곳리","7*","8m미만","33","월세","202102","3","2,500","20","2017","갑룡길"
"인천광역시 강화군 강화읍 갑곳리","3**","-","33","월세","202102","20","800","40","2017","null"
"인천광역시 강화군 강화읍 갑곳리","3*","8m미만","33","전세","202004","23","3,000","0","2013","갑룡길"
"인천광역시 강화군 강화읍 갑곳리","7*","-","38.25","전세","202005","18","2,000","0","1981","null"
"인천광역시 강화군 강화읍 갑곳리","2*","12m미만","46","월세","202004","16","1,000","50","2011","갑룡길"
