"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"인천광역시 계양구 계산동","1110","계양산파크트루엘","59.99","27,000","1","202003","3","입",""
"인천광역시 계양구 계산동","1110","계양산파크트루엘","59.99","29,000","8","202003","7","입",""
"인천광역시 계양구 계산동","1110","계양산파크트루엘","59.99","27,897","4","202004","7","입",""
"인천광역시 계양구 계산동","1110","계양산파크트루엘","59.99","33,300","13","202004","15","입",""
"인천광역시 계양구 계산동","1110","계양산파크트루엘","59.99","36,000","12","202006","11","입",""
"인천광역시 계양구 계산동","1110","계양산파크트루엘","59.99","30,200","1","202007","30","입",""
"인천광역시 계양구 계산동","898-5","인천 계양산 파크 트루엘","59.99","29,470","4","202003","1","입",""
"인천광역시 계양구 계산동","898-5","인천 계양산 파크 트루엘","59.99","31,150","12","202003","14","입",""
"인천광역시 계양구 계산동","898-5","인천 계양산 파크 트루엘","59.99","31,150","5","202003","20","입",""
"인천광역시 계양구 계산동","898-5","인천 계양산 파크 트루엘","59.99","29,965","7","202005","12","입",""
"인천광역시 계양구 계산동","898-5","인천 계양산 파크 트루엘","59.99","34,500","13","202005","18","입",""
"인천광역시 계양구 계산동","898-5","인천 계양산 파크 트루엘","59.99","34,700","11","202006","10","입",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","50,370","5","202003","7","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.998","43,535","25","202003","9","입","20200413"
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","39.882","26,083","19","202003","9","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.998","43,535","25","202003","9","입",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","59.977","36,994","3","202003","10","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.966","45,336","9","202003","13","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","59.977","39,544","8","202003","14","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","43,603","29","202003","20","분","20200420"
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","44,140","29","202003","20","입",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","54,388","25","202003","24","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","54,388","30","202003","27","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","46,587","2","202004","6","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.964","43,153","6","202004","6","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","53,177","13","202004","11","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.964","40,590","12","202004","13","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.964","46,466","26","202004","22","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","59.976","31,880","1","202004","23","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.964","42,166","28","202004","24","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","46,113","4","202004","24","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.964","46,490","15","202004","24","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","59.976","39,498","18","202004","25","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","59.977","43,118","20","202004","25","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","53,388","23","202004","26","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","99.939","48,430","2","202004","28","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.998","47,695","17","202004","28","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.964","45,829","13","202004","30","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","52,850","16","202005","5","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","53,177","12","202005","5","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.998","46,788","19","202005","6","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","55,888","29","202005","6","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","51,170","5","202005","9","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","54,377","15","202005","13","분","20200810"
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","54,377","15","202005","13","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","59.977","37,769","4","202005","15","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.998","46,583","6","202005","16","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","59.976","36,513","4","202005","18","분","20200710"
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.964","43,965","5","202005","21","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","59.977","37,269","2","202005","23","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","50,237","4","202005","23","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","59.977","35,619","4","202005","23","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","59.977","37,124","5","202005","26","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","56,388","29","202005","28","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","59.977","41,194","1","202005","30","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","84.986","55,535","22","202005","30","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.964","40,666","23","202006","1","분",""
"인천광역시 계양구 서운동","9-13","계양 효성해링턴 플레이스","72.964","44,438","3","202006","8","분",""
