"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"인천광역시 강화군 강화읍 갑곳리","일반","2**","중앙로","생산녹지","제1종근린생활","8m미만","75.78","231.00","40,000","null","202008","3"," ","2008",""
"인천광역시 강화군 강화읍 갑곳리","일반","1**","-","계획관리","제1종근린생활","12m미만","252","813.00","76,806","null","202009","1"," ","2007",""
"인천광역시 강화군 강화읍 갑곳리","일반","4**","강화대로248번길","계획관리","제1종근린생활","8m미만","832.56","641.00","139,000","null","202010","22"," ","2017",""
"인천광역시 강화군 강화읍 관청리","일반","9**","송악길","자연녹지","제2종근린생활","12m미만","494.2","2532.00","168,000","null","202004","10"," ","2005",""
"인천광역시 강화군 강화읍 관청리","집합","1**","강화대로404번길","일반상업","제1종근린생활","12m미만","276.09"," ","60,000","1","202005","14"," ","2005",""
"인천광역시 강화군 강화읍 관청리","집합","1**","강화대로404번길","일반상업","제2종근린생활","12m미만","318.14"," ","40,000","5","202005","14"," ","2005",""
"인천광역시 강화군 강화읍 관청리","집합","1**","강화대로404번길","일반상업","제1종근린생활","12m미만","218.04"," ","30,000","3","202005","14"," ","2005",""
"인천광역시 강화군 강화읍 관청리","집합","1**","강화대로404번길","일반상업","제2종근린생활","12m미만","85.9"," ","10,000","3","202005","14"," ","2005",""
"인천광역시 강화군 강화읍 관청리","집합","1**","강화대로404번길","일반상업","제2종근린생활","12m미만","211.81"," ","25,000","7","202005","14"," ","2005",""
"인천광역시 강화군 강화읍 관청리","집합","1**","강화대로404번길","일반상업","제1종근린생활","12m미만","145.12"," ","15,000","9","202005","14"," ","2005",""
