"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"인천광역시 강화군 강화읍 갑곳리","438-1","0438","0001","(438-1)","122.55","221.4","202101","18","36,000","1","2020","강화대로216번길 51-16",""
"인천광역시 강화군 강화읍 갑곳리","438-1","0438","0001","(438-1)","122.55","221.4","202102","13","36,000","1","2020","강화대로216번길 51-16","20210312"
"인천광역시 강화군 강화읍 갑곳리","438-1","0438","0001","(438-1)","125.1","226","202102","20","36,000","1","2020","강화대로216번길 51-16",""
"인천광역시 강화군 강화읍 갑곳리","438-1","0438","0001","(438-1)","125.1","226","202102","22","36,000","1","2020","강화대로216번길 51-16",""
"인천광역시 강화군 강화읍 갑곳리","37-1","0037","0001","갑룡라이너스A동","58.41","64.5","202101","26","10,700","4","2014","갑룡길 105-23",""
"인천광역시 강화군 강화읍 갑곳리","37-11","0037","0011","갑룡라이너스B동C동","58.41","67.36","202012","23","11,000","3","2014","갑룡길 105-25",""
"인천광역시 강화군 강화읍 갑곳리","345","0345","0000","강화","63.7","71.67","202003","27","5,600","2","1985","강화대로312번길 20-3",""
"인천광역시 강화군 강화읍 갑곳리","345","0345","0000","강화","51.16","57.55","202101","12","4,700","1","1985","강화대로312번길 20-3",""
"인천광역시 강화군 강화읍 갑곳리","345","0345","0000","강화","63.7","71.67","202102","4","5,600","2","1985","강화대로312번길 20-3",""
"인천광역시 강화군 강화읍 갑곳리","152-3","0152","0003","강화그린빌라(1동)","49.015","70.63","202010","8","7,000","1","2002","갑룡길5번길 11-1",""
"인천광역시 강화군 강화읍 갑곳리","1076-2","1076","0002","강화씨앤블루빌","183.99","209.74","202007","6","36,000","1","2011","강화대로 96-2",""
"인천광역시 강화군 강화읍 갑곳리","1076-2","1076","0002","강화씨앤블루빌","187.23","213.45","202012","31","33,500","1","2011","강화대로 96-1",""
"인천광역시 강화군 강화읍 갑곳리","137-2","0137","0002","건영빌라2차(나동)","71.09","100.38","202004","18","7,200","2","2004","갑룡길5번길 36",""
"인천광역시 강화군 강화읍 갑곳리","137","0137","0000","건영빌라2차(다동)","71.09","101.63","202007","31","7,600","3","2004","갑룡길5번길 38",""
