"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"인천광역시 강화군 강화읍 갑곳리","152-3","0152","0003","강화그린빌라(1동)","월세","49.015","202011","7","1,000","40","1","2002","갑룡길5번길 11-1"
"인천광역시 강화군 강화읍 갑곳리","1076-2","1076","0002","강화씨앤블루빌","전세","183.99","202004","10","20,000","0","1","2011","강화대로 96-2"
"인천광역시 강화군 강화읍 갑곳리","386-7","0386","0007","마이더스A동","월세","69.79","202003","25","2,000","50","4","2012","갑룡길74번길 9"
"인천광역시 강화군 강화읍 갑곳리","386-7","0386","0007","마이더스A동","월세","69.79","202011","21","2,000","50","4","2012","갑룡길74번길 9"
"인천광역시 강화군 강화읍 갑곳리","386-14","0386","0014","마이더스B동","전세","62.18","202003","26","10,000","0","4","2012","갑룡길74번길 9"
"인천광역시 강화군 강화읍 갑곳리","346-8","0346","0008","명진빌라","전세","71.76","202005","1","7,000","0","2","1999","강화대로312번길 22-8"
"인천광역시 강화군 강화읍 갑곳리","437-12","0437","0012","베스트빌(102동)","월세","49.98","202009","1","1,000","40","3","2013","강화대로248번길 24-6"
"인천광역시 강화군 강화읍 갑곳리","385-2","0385","0002","삼우그린타운(C동)","월세","46.13","202003","9","500","35","3","1997","강화대로248번길 17-26"
"인천광역시 강화군 강화읍 갑곳리","468-1","0468","0001","세미빌","월세","76.41","202010","1","2,000","60","3","2012","강화대로216번길 19-1"
"인천광역시 강화군 강화읍 갑곳리","85-1","0085","0001","아인빌","월세","73.3925","202008","7","1,200","40","4","2012","갑룡길73번길 31"
"인천광역시 강화군 강화읍 갑곳리","85","0085","0000","아인빌(3,4동)","전세","71.61","202004","7","12,300","0","4","2014","갑룡길73번길 31"
"인천광역시 강화군 강화읍 갑곳리","74-3","0074","0003","영림빌라","전세","43.19","202011","16","5,500","0","2","1995","갑룡길73번길 10"
"인천광역시 강화군 강화읍 갑곳리","630-12","0630","0012","용진다세대주택","전세","42.57","202003","11","2,500","0","3","1988","강화대로215번길 3-3"
"인천광역시 강화군 강화읍 갑곳리","630-12","0630","0012","용진다세대주택","월세","42.57","202011","5","500","30","2","1988","강화대로215번길 3-3"
"인천광역시 강화군 강화읍 갑곳리","356","0356","0000","유니크빌","전세","49.29","202003","17","7,000","0","2","2012","갑룡길56번길 14"
"인천광역시 강화군 강화읍 갑곳리","356","0356","0000","유니크빌","월세","38.7","202005","12","1,000","40","4","2012","갑룡길56번길 14"
"인천광역시 강화군 강화읍 갑곳리","356","0356","0000","유니크빌","월세","38.7","202012","28","1,000","45","4","2012","갑룡길56번길 14"
"인천광역시 강화군 강화읍 갑곳리","86-4","0086","0004","정원빌리지","월세","64.39","202005","12","2,000","45","2","2013","갑룡길73번길 31-1"
"인천광역시 강화군 강화읍 갑곳리","15","0015","0000","정흔하이빌","전세","75.105","202102","6","12,000","0","4","2014","갑룡길 105-13"
"인천광역시 강화군 강화읍 갑곳리","171-2","0171","0002","제일","월세","77.06","202005","20","1,000","30","2","1991","강화대로312번길 17"
"인천광역시 강화군 강화읍 갑곳리","661-1","0661","0001","주진빌라","전세","70.38","202005","4","4,500","0","3","1991","강화대로 185-2"
"인천광역시 강화군 강화읍 갑곳리","661-1","0661","0001","주진빌라","월세","44.55","202009","8","1,000","30","3","1991","강화대로 185-1"
"인천광역시 강화군 강화읍 갑곳리","661-1","0661","0001","주진빌라","월세","44.55","202010","30","500","30","1","1991","강화대로 185-1"
"인천광역시 강화군 강화읍 갑곳리","438-3","0438","0003","창대","전세","62.83","202006","10","7,000","0","4","2008","강화대로248번길 24-3"
"인천광역시 강화군 강화읍 갑곳리","456-5","0456","0005","천지#","전세","62.92","202003","10","15,000","0","3","2018","강화대로216번길 51-5"
"인천광역시 강화군 강화읍 갑곳리","456-5","0456","0005","천지#","전세","62.92","202005","14","14,500","0","1","2018","강화대로216번길 51-5"
"인천광역시 강화군 강화읍 갑곳리","456-5","0456","0005","천지#","전세","62.92","202007","2","15,000","0","4","2018","강화대로216번길 51-5"
"인천광역시 강화군 강화읍 갑곳리","456-5","0456","0005","천지#","전세","62.92","202010","30","15,000","0","4","2018","강화대로216번길 51-5"
"인천광역시 강화군 강화읍 갑곳리","911-1","0911","0001","현대마이홈타운(1,2동)","월세","76.98","202004","24","1,000","35","2","1998","강화대로175번길 9"
"인천광역시 강화군 강화읍 갑곳리","911-1","0911","0001","현대마이홈타운(1,2동)","월세","76.98","202005","27","1,000","40","4","1998","강화대로175번길 9"
"인천광역시 강화군 강화읍 갑곳리","80-1","0080","0001","현대빌라6동","전세","80.73","202012","17","7,000","0","1","1991","갑룡길 65-3"
"인천광역시 강화군 강화읍 관청리","60-2","0060","0002","TW트윈빌1차","월세","56.9","202005","25","1,000","35","3","2003","동문로74번길 26-9"
"인천광역시 강화군 강화읍 관청리","20-1","0020","0001","강화그린맨션","전세","62.81","202004","7","4,000","0","1","1999","새말길8번길 5-34"
