"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"인천광역시 강화군 강화읍 남산리","190","190","0","고려팰리스","84.68","202011","13","17,500","4","2019","충렬사로22번길 18",""
"인천광역시 강화군 강화읍 남산리","191-2","191","2","고려팰리스6차","84.97","202004","27","17,000","5","2018","충렬사로22번길 16",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","29.9","202007","22","10,551","5","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","29.9","202010","13","13,258","2","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","28.13","202010","14","12,338","4","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","29.9","202010","15","13,258","2","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","29.9","202010","16","13,258","5","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","29.9","202010","16","13,258","4","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","29.9","202010","16","13,258","3","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","29.9","202011","4","13,258","4","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","28.13","202011","5","12,338","2","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","28.13","202011","10","12,338","3","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","29.9","202011","13","13,258","3","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","29.9","202011","13","13,258","4","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","28.13","202011","16","12,338","3","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","28.13","202011","25","12,338","4","2019","강화산단로 180",""
"인천광역시 강화군 강화읍 월곳리","753-7","753","7","강화 인더스타운 4","28.13","202012","3","12,338","3","2019","강화산단로 180",""
"인천광역시 계양구 계산동","974-16","974","16","	(974-16)	","25.62","202006","9","4,826","8","2000","계산천서로 36",""
"인천광역시 계양구 계산동","974-16","974","16","	(974-16)	","42.14","202010","22","6,500","5","2000","계산천서로 36",""
"인천광역시 계양구 계산동","320-9","320","9","THE SUMMIT(더 써밋)","46.36","202003","26","18,200","7","2020","계산새로5번길 5",""
"인천광역시 계양구 계산동","1082-4","1082","4","계산동오피스텔","28.41","202006","11","4,550","7","2002","도두리로 25-1",""
"인천광역시 계양구 계산동","1082-4","1082","4","계산동오피스텔","28.41","202009","15","4,000","7","2002","도두리로 25-1",""
"인천광역시 계양구 계산동","1082-4","1082","4","계산동오피스텔","25.66","202009","19","3,800","3","2002","도두리로 25-1",""
"인천광역시 계양구 계산동","1082-4","1082","4","계산동오피스텔","28.41","202012","1","3,900","5","2002","도두리로 25-1",""
"인천광역시 계양구 계산동","942-27","942","27","광백오피스텔","70.65","202012","16","18,000","4","2011","계양대로205번길 17",""
"인천광역시 계양구 계산동","956-6","956","6","대덕 노바체","26.91","202003","13","7,900","13","2004","계양대로 188",""
"인천광역시 계양구 계산동","956-6","956","6","대덕 노바체","26.91","202004","17","8,000","9","2004","계양대로 188",""
"인천광역시 계양구 계산동","956-6","956","6","대덕 노바체","35.67","202005","18","10,300","9","2004","계양대로 188",""
"인천광역시 계양구 계산동","956-6","956","6","대덕 노바체","33.54","202008","20","7,500","6","2004","계양대로 188",""
"인천광역시 계양구 계산동","956-6","956","6","대덕 노바체","33.54","202010","9","7,500","12","2004","계양대로 188",""
"인천광역시 계양구 계산동","956-6","956","6","대덕 노바체","26.91","202010","28","8,000","12","2004","계양대로 188",""
"인천광역시 계양구 계산동","956-6","956","6","대덕 노바체","28.29","202011","16","7,000","11","2004","계양대로 188",""
"인천광역시 계양구 계산동","956-6","956","6","대덕 노바체","33.54","202011","28","7,600","13","2004","계양대로 188",""
"인천광역시 계양구 계산동","956-6","956","6","대덕 노바체","33.54","202012","14","6,500","9","2004","계양대로 188","20201224"
"인천광역시 계양구 계산동","956-6","956","6","대덕 노바체","33.54","202012","14","7,500","9","2004","계양대로 188",""
