"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"인천광역시 강화군 강화읍 월곳리","753-7","0753","0007","강화 인더스타운 4","월세","29.9","202003","28","500","43","5","2019","강화산단로 180"
"인천광역시 계양구 계산동","1063-14","1063","0014","	(1063-14)	","월세","31.86","202008","17","300","27","7","2000","장제로 808"
"인천광역시 계양구 계산동","952-30","0952","0030","	(952-30)	","전세","18.75","202005","8","5,000","0","3","2005","어사대로 29"
"인천광역시 계양구 계산동","952-30","0952","0030","	(952-30)	","월세","30.6","202005","20","500","48","1","2005","어사대로 29"
"인천광역시 계양구 계산동","952-30","0952","0030","	(952-30)	","전세","27","202012","30","5,000","0","1","2005","어사대로 29"
"인천광역시 계양구 계산동","952-30","0952","0030","	(952-30)	","월세","28.4","202101","28","3,000","30","4","2005","어사대로 29"
"인천광역시 계양구 계산동","952-30","0952","0030","	(952-30)	","월세","18.75","202102","6","3,000","21","3","2005","어사대로 29"
"인천광역시 계양구 계산동","974-16","0974","0016","	(974-16)	","전세","27.45","202101","15","4,500","0","2","2000","계산천서로 36"
"인천광역시 계양구 계산동","974-16","0974","0016","	(974-16)	","전세","31.36","202102","20","4,500","0","2","2000","계산천서로 36"
"인천광역시 계양구 계산동","967-7","0967","0007","(967-7)","전세","84.9","202011","5","23,500","0","6","2018","계산로111번길 7-1"
