"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"인천광역시 강화군 하점면 망월리","8*","답","계획관리지역","-","202002","29","65","1,000"," ",""
"인천광역시 서구 금곡동","6**","도로","자연녹지지역","8m미만","202002","29","33.25","1,964","지분",""
"인천광역시 서구 금곡동","6**","도로","자연녹지지역","8m미만","202002","29","33.25","1,964","지분","20200623"
"인천광역시 중구 운북동","1***","도로","제1종일반주거지역","12m미만","202002","29","1.06","100","지분",""
"인천광역시 계양구 이화동","2**","답","개발제한구역","8m미만","202002","29","585","13,000"," ",""
"인천광역시 중구 무의동","9*","답","자연녹지지역","8m미만","202002","29","179","13,000"," ","20200402"
"인천광역시 서구 금곡동","6**","도로","자연녹지지역","-","202002","29","2.5","148","지분",""
"인천광역시 서구 금곡동","6**","공장용지","자연녹지지역","-","202002","29","2.5","148","지분","20200623"
"인천광역시 서구 금곡동","6**","공장용지","자연녹지지역","-","202002","29","40.5","2,100"," ",""
"인천광역시 서구 금곡동","6**","전","자연녹지지역","-","202002","29","35.3","2,100","지분","20200623"
"인천광역시 미추홀구 주안동","1***","대","제2종일반주거지역","12m미만","202002","29","26.99","29,040","지분",""
"인천광역시 서구 금곡동","6**","도로","자연녹지지역","-","202002","29","59.6","3,520","지분",""
"인천광역시 서구 금곡동","6**","전","자연녹지지역","-","202002","29","59.6","3,520","지분","20200623"
"인천광역시 미추홀구 주안동","5**","대","제2종일반주거지역","8m미만","202002","29","48.03","30,200","지분",""
"인천광역시 미추홀구 주안동","1***","대","제2종일반주거지역","12m미만","202002","29","50.88","32,630","지분",""
"인천광역시 미추홀구 주안동","1***","대","제2종일반주거지역","12m미만","202002","29","50.88","32,630","지분","20200428"
"인천광역시 강화군 불은면 삼성리","3**","전","계획관리지역","8m미만","202002","29","2499","34,000"," ",""
"인천광역시 서구 금곡동","6**","전","자연녹지지역","-","202002","29","6.25","369","지분","20200623"
"인천광역시 서구 금곡동","6**","도로","자연녹지지역","-","202002","29","6.25","369","지분",""
"인천광역시 강화군 하점면 망월리","8*","대","계획관리지역","-","202002","29","288","4,800"," ",""
"인천광역시 중구 운북동","1***","대","제1종일반주거지역","8m미만","202002","29","337.2","49,350"," ",""
"인천광역시 강화군 길상면 장흥리","4**","전","계획관리지역","-","202002","29","243","5,000"," ",""
"인천광역시 중구 운북동","1***","도로","제1종일반주거지역","12m미만","202002","29","74.33","5,000","지분",""
"인천광역시 중구 운북동","1***","도로","제1종일반주거지역","12m미만","202002","29","14.36","500","지분",""
"인천광역시 남동구 논현동","5**","대","제1종전용주거지역","12m미만","202002","29","306.5","55,000"," ",""
"인천광역시 서구 금곡동","6**","전","자연녹지지역","-","202002","29","929.6","56,900"," ","20200623"
"인천광역시 강화군 교동면 상용리","2*","답","계획관리지역","25m미만","202002","29","1335","6,600"," ",""
"인천광역시 강화군 불은면 신현리","3**","전","계획관리지역","-","202003","1","992","12,700"," ",""
"인천광역시 강화군 선원면 선행리","3**","도로","계획관리지역","-","202003","1","12","210","지분",""
"인천광역시 옹진군 백령면 진촌리","1***","답","계획관리지역","-","202003","1","347","210"," ",""
"인천광역시 강화군 선원면 선행리","3**","도로","계획관리지역","-","202003","1","1.87","27","지분",""
"인천광역시 옹진군 백령면 진촌리","1***","답","계획관리지역","8m미만","202003","1","446","270"," ",""
"인천광역시 옹진군 백령면 진촌리","1***","전","계획관리지역","8m미만","202003","1","3111","3,500"," ",""
"인천광역시 강화군 선원면 선행리","3**","도로","계획관리지역","-","202003","1","2","30","지분",""
"인천광역시 옹진군 영흥면 선재리","4**","도로","계획관리지역","-","202003","1","132.38","4,800","지분",""
"인천광역시 옹진군 영흥면 선재리","4**","임야","계획관리지역","12m미만","202003","1","1522","55,200"," ",""
"인천광역시 옹진군 백령면 진촌리","1***","전","계획관리지역","8m미만","202003","1","651","600"," ",""
"인천광역시 강화군 삼산면 매음리","1**","전","계획관리지역","12m미만","202003","1","1537","74,400"," ",""
"인천광역시 서구 석남동","5**","도로","제2종일반주거지역","8m미만","202003","2","10.68","1,000","지분",""
"인천광역시 계양구 갈현동","산6*","임야","자연녹지지역","-","202003","2","35","1,149","지분",""
"인천광역시 강화군 강화읍 옥림리","4**","도로","계획관리지역","-","202003","2","83","1,500"," ",""
"인천광역시 강화군 송해면 하도리","산1**","임야","보전관리지역","-","202003","2","952.03","1,550","지분",""
