"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"전라남도 강진군 강진읍 교촌리","9*","단독","12m미만","31.8","179","202005","23","2,160","1961","강진신풍길",""
"전라남도 강진군 강진읍 남성리","2*","단독","8m미만","179.1","150","202102","24","17,300","2016","보은로안길",""
"전라남도 강진군 강진읍 남성리","1*","단독","12m미만","218.44","170.3","202006","19","32,000","1990","영랑로3길",""
"전라남도 강진군 강진읍 남성리","2*","단독","12m미만","58.24","178.5","202011","12","17,000","1989","보은로2길",""
"전라남도 강진군 강진읍 남성리","2*","단독","8m미만","142.15","185.2","202011","13","15,500","1988","보은로3길",""
"전라남도 강진군 강진읍 남성리","1**","단독","8m미만","85.54","209","202005","21","5,600","1994","연지길",""
"전라남도 강진군 강진읍 남성리","5*","단독","8m미만","97.4","221","202005","26","22,217","1983","중앙로",""
"전라남도 강진군 강진읍 남성리","2*","단독","12m미만","226.68","248.1","202006","22","45,000","1979","영랑로3길",""
"전라남도 강진군 강진읍 남성리","1**","단독","25m미만","53.3","348","202009","18","18,000","1960","탐진로",""
"전라남도 강진군 강진읍 남성리","2*","단독","12m미만","317.16","796.7","202005","15","35,340","1976","영랑로1길",""
"전라남도 강진군 강진읍 남포리","2**","단독","8m미만","48.6","142","202102","19","2,000","1974","남포길",""
"전라남도 강진군 강진읍 덕남리","4**","단독","8m미만","78.5","319.4","202006","8","1,400","1967","기룡2길",""
"전라남도 강진군 강진읍 덕남리","1**","단독","8m미만","78.2","423","202007","29","7,500","2004","다산로",""
"전라남도 강진군 강진읍 덕남리","2**","단독","8m미만","58.4","645","202010","12","1,800","1970","춘곡길",""
"전라남도 강진군 강진읍 덕남리","3**","단독","8m미만","86.7","748.5","202012","7","10,000","2020","기룡3길",""
"전라남도 강진군 강진읍 동성리","1**","단독","8m미만","116.02","82","202007","28","6,000","1945","시장길",""
"전라남도 강진군 강진읍 동성리","2**","단독","8m미만","56.52","91","202006","5","6,300","1995","중앙로",""
"전라남도 강진군 강진읍 동성리","4**","단독","8m미만","55.8","116","202004","8","5,500","1994","동문길","20200508"
"전라남도 강진군 강진읍 동성리","4**","단독","8m미만","55.8","116","202005","19","5,000","1994","동문길",""
"전라남도 강진군 강진읍 동성리","3**","단독","8m미만","32.4","129","202005","25","5,000","1947","연지길",""
"전라남도 강진군 강진읍 동성리","4**","단독","8m미만","78.36","165","202102","24","4,500","1989","탐진로",""
"전라남도 강진군 강진읍 동성리","4**","단독","8m미만","24.79","185","202007","30","2,800","1957","사의재길",""
"전라남도 강진군 강진읍 동성리","2**","단독","12m미만","151.8","194","202101","9","16,300","1992","향교로",""
"전라남도 강진군 강진읍 동성리","4**","단독","12m미만","98.24","198","202003","1","7,500","1995","동성로",""
"전라남도 강진군 강진읍 동성리","4**","단독","25m미만","82.71","214","202007","2","5,000","1997","탐진로",""
"전라남도 강진군 강진읍 동성리","3**","단독","8m미만","76.68","232","202006","10","8,500","1982","동문길",""
"전라남도 강진군 강진읍 동성리","1**","단독","8m미만","66.1","327","202003","30","9,700","1979","목리길",""
"전라남도 강진군 강진읍 동성리","6**","단독","8m미만","99.5","401","202007","24","8,228","2006","향교로",""
"전라남도 강진군 강진읍 동성리","6**","단독","8m미만","60.06","456","202007","24","9,377","1960","향교로",""
"전라남도 강진군 강진읍 동성리","1**","단독","8m미만","166.47","512","202010","30","13,000","1981","시장길",""
"전라남도 강진군 강진읍 동성리","5**","단독","8m미만","145.44","602","202012","29","8,100","1930","목화길",""
"전라남도 강진군 강진읍 동성리","5**","단독","8m미만","102.47","1427","202003","11","23,000","1959","사의재길",""
"전라남도 강진군 강진읍 목리","2**","단독","8m미만","108.96","122","202009","15","11,700","1996","초지길",""
"전라남도 강진군 강진읍 목리","2**","단독","8m미만","51.93","139","202003","23","5,800","1960","초지길",""
"전라남도 강진군 강진읍 목리","4*","단독","8m미만","81.48","172","202006","5","3,400","1961","새동네길",""
"전라남도 강진군 강진읍 목리","3**","단독","8m미만","59.5","224","202008","3","9,550","1981","새동네길",""
"전라남도 강진군 강진읍 목리","3**","단독","8m미만","122.27","264","202007","24","13,000","1994","새동네길",""
"전라남도 강진군 강진읍 목리","3**","단독","8m미만","59.5","272","202008","3","9,650","1981","새동네길","20200903"
"전라남도 강진군 강진읍 목리","8*","단독","12m미만","74.43","327","202009","10","9,500","1993","목리안1길",""
"전라남도 강진군 강진읍 목리","3**","단독","12m미만","84.22","438","202012","2","10,000","1995","목리길",""
"전라남도 강진군 강진읍 목리","3**","단독","12m미만","84.22","438","202010","15","9,500","1995","목리길",""
"전라남도 강진군 강진읍 목리","3**","단독","12m미만","71.46","523","202006","22","12,000","1978","목리1길",""
"전라남도 강진군 강진읍 서산리","8**","단독","8m미만","60","357","202007","26","2,900","1951","지전월남길",""
"전라남도 강진군 강진읍 서산리","2**","단독","8m미만","55","569","202005","4","3,800","1960","화전발산길",""
"전라남도 강진군 강진읍 서산리","3**","단독","8m미만","99.21","660","202101","11","3,500","1998","발산길",""
"전라남도 강진군 강진읍 서산리","2**","단독","8m미만","34","904","202003","2","3,900","1955","발산길",""
"전라남도 강진군 강진읍 서성리","1**","단독","8m미만","88.3","238","202006","12","16,000","1986","서성안길",""
"전라남도 강진군 강진읍 서성리","1**","단독","12m미만","203.5","269","202004","9","27,200","2011","서성2길",""
"전라남도 강진군 강진읍 서성리","2**","단독","8m미만","66.12","306","202012","29","5,000","1978","탐진로",""
"전라남도 강진군 강진읍 서성리","1*","단독","8m미만","263.5","354","202004","17","30,000","1977","서성안길",""
"전라남도 강진군 강진읍 서성리","4*","단독","12m미만","62.8","462","202003","1","21,128","1978","중앙로",""
"전라남도 강진군 강진읍 송덕리","2**","단독","8m미만","99.54","549","202011","6","18,782","2014","송덕길",""
"전라남도 강진군 강진읍 송덕리","6**","단독","8m미만","186.11","643","202007","3","3,200","2000","송덕안길",""
"전라남도 강진군 강진읍 송전리","9**","단독","8m미만","72.3","180","202007","30","540","1960","화전발산길",""
"전라남도 강진군 강진읍 송전리","6**","단독","8m미만","59","248","202004","8","2,100","1969","지전로안길",""
"전라남도 강진군 강진읍 송전리","6**","단독","8m미만","71.48","278","202011","10","7,000","2010","모래등길",""
"전라남도 강진군 강진읍 송전리","4**","단독","8m미만","75.78","303","202003","9","5,200","2020","지전로안길",""
"전라남도 강진군 강진읍 송전리","1**","단독","8m미만","80.44","361","202009","22","10,000","2017","송정길",""
"전라남도 강진군 강진읍 송전리","4**","단독","8m미만","100.48","849","202007","7","1,500","1961","지전로안길",""
"전라남도 강진군 강진읍 영파리","2**","단독","8m미만","44","364","202007","20","5,000","1959","영파길",""
"전라남도 강진군 강진읍 영파리","1***","단독","8m미만","95.44","658","202010","5","11,100","2017","영파길",""
"전라남도 강진군 강진읍 임천리","4**","단독","8m미만","67.2","334","202011","15","6,000","1955","학림길",""
"전라남도 강진군 강진읍 춘전리","8**","단독","8m미만","79.5","268","202006","2","2,500","1961","지전부춘길",""
"전라남도 강진군 강진읍 춘전리","4**","단독","8m미만","84","436","202009","11","2,300","1961","지전부춘길",""
"전라남도 강진군 강진읍 춘전리","8**","단독","12m미만","57.3","446","202009","9","6,200","1979","지전로",""
"전라남도 강진군 강진읍 춘전리","9*","단독","8m미만","102","585","202007","1","1,200","1958","홍천길",""
"전라남도 강진군 강진읍 평동리","1**","단독","8m미만","60","168","202009","18","9,800","1982","금릉2길",""
"전라남도 강진군 강진읍 평동리","2**","단독","8m미만","49.6","212","202003","2","6,000","1985","중앙로",""
"전라남도 강진군 강진읍 평동리","1**","단독","8m미만","68.1","244","202006","18","9,300","1980","보은로",""
"전라남도 강진군 강진읍 평동리","2**","단독","8m미만","50.3","247","202011","9","7,000","1940","중앙동길",""
"전라남도 강진군 강진읍 평동리","2**","단독","8m미만","83.3","259","202008","18","18,000","1989","평동2길",""
"전라남도 강진군 강진읍 평동리","1**","단독","8m미만","33","276","202008","4","5,000","1984","보은로",""
"전라남도 강진군 강진읍 평동리","1**","단독","8m미만","86.1","483","202101","6","10,000","1960","금릉3길",""
"전라남도 강진군 강진읍 평동리","1*","단독","8m미만","51.54","503","202006","18","5,500","1994","목리안3길",""
"전라남도 강진군 강진읍 평동리","2**","단독","8m미만","89.3","563","202003","23","21,800","1947","평동1길",""
"전라남도 강진군 강진읍 학명리","6**","단독","8m미만","52.6","165","202010","12","2,400","1943","도원길",""
"전라남도 강진군 강진읍 학명리","2**","단독","8m미만","48.96","183","202102","5","2,200","1994","초동길",""
"전라남도 강진군 강진읍 학명리","8**","단독","8m미만","49.6","334","202102","23","500","1943","호산길",""
"전라남도 강진군 강진읍 학명리","8**","단독","8m미만","88.87","453","202005","7","14,000","2013","호산길",""
"전라남도 강진군 강진읍 학명리","8**","단독","8m미만","88.87","453","202005","21","10,000","2013","호산길","20200619"
"전라남도 강진군 강진읍 학명리","5**","단독","8m미만","91.33","637","202007","7","4,400","2003","도원길",""
"전라남도 강진군 군동면 금강리","6**","단독","8m미만","95.8","476","202012","9","1,700","1972","군동금강길",""
"전라남도 강진군 군동면 금강리","8**","단독","8m미만","223.45","658","202010","28","9,000","2010","내동길",""
"전라남도 강진군 군동면 금강리","8**","단독","8m미만","110.16","660","202003","19","11,000","2012","군동금강길",""
"전라남도 강진군 군동면 금강리","8**","단독","8m미만","110.16","660","202003","30","14,500","2012","군동금강길",""
"전라남도 강진군 군동면 금사리","7**","단독","8m미만","69.3","221","202012","12","3,364","1945","덕마길",""
"전라남도 강진군 군동면 금사리","8**","단독","8m미만","102","268","202011","20","3,537","1991","덕마길",""
"전라남도 강진군 군동면 덕천리","8**","단독","8m미만","62.5","298","202101","22","2,000","1931","덕천2길",""
"전라남도 강진군 군동면 덕천리","8*","단독","8m미만","66","413","202009","16","500","1945","군장로",""
"전라남도 강진군 군동면 덕천리","1**","단독","8m미만","142.54","889","202012","1","14,600","1950","군장로",""
"전라남도 강진군 군동면 라천리","9**","단독","8m미만","62.7","231","202006","19","900","1940","시목길",""
"전라남도 강진군 군동면 라천리","7**","단독","8m미만","85.22","301","202009","21","3,000","1950","동동길",""
"전라남도 강진군 군동면 라천리","8**","단독","8m미만","59.49","367","202010","17","3,800","1974","동동길",""
"전라남도 강진군 군동면 라천리","9**","단독","8m미만","66","473","202005","8","1,500","1976","시목길",""
"전라남도 강진군 군동면 삼신리","8**","단독","8m미만","36.3","278","202006","11","2,000","1947","비자동2길",""
"전라남도 강진군 군동면 삼신리","6**","단독","8m미만","69.3","331","202007","13","2,300","1974","비자동1길",""
"전라남도 강진군 군동면 삼신리","6**","단독","8m미만","105.7","389","202004","22","5,800","1952","비자동2길",""
"전라남도 강진군 군동면 석교리","2**","단독","8m미만","95.8","264","202010","2","700","1977","석교로",""
"전라남도 강진군 군동면 석교리","3**","단독","8m미만","112.2","810","202008","31","3,800","1974","석교하촌길",""
"전라남도 강진군 군동면 쌍덕리","8*","단독","8m미만","32","230","202005","21","750","1990","평덕길",""
"전라남도 강진군 군동면 쌍덕리","5**","단독","8m미만","46.2","283","202009","15","3,000","1960","석교로",""
"전라남도 강진군 군동면 용소리","3**","단독","8m미만","102.4","238","202006","30","7,200","1975","안지동길",""
"전라남도 강진군 군동면 용소리","4**","단독","8m미만","59.5","357","202005","4","3,000","1960","금천로",""
"전라남도 강진군 군동면 파산리","4**","단독","8m미만","75.9","350","202005","25","2,900","1976","신리길",""
"전라남도 강진군 군동면 파산리","8**","단독","8m미만","82.5","626","202009","25","6,000","1982","금곡길",""
"전라남도 강진군 군동면 파산리","8**","단독","8m미만","88.83","717","202008","29","14,000","1994","금곡길",""
"전라남도 강진군 군동면 파산리","9**","단독","12m미만","159.32","730","202007","29","28,000","1992","까치내로",""
"전라남도 강진군 군동면 풍동리","1***","단독","8m미만","109","1025","202008","31","2,000","1977","풍동3길",""
"전라남도 강진군 군동면 호계리","8**","단독","8m미만","53","208","202101","3","4,100","1974","영포앞길",""
"전라남도 강진군 군동면 호계리","4**","단독","12m미만","96","305","202009","3","10,000","1998","까치내로",""
"전라남도 강진군 군동면 호계리","4**","단독","8m미만","49.5","314","202006","9","1,750","1904","호동앞길",""
"전라남도 강진군 군동면 호계리","7**","단독","8m미만","82.61","331","202102","25","8,950","1980","영포3길",""
"전라남도 강진군 군동면 호계리","5**","단독","8m미만","97.74","373","202008","13","26,000","2018","종합운동장길","20200820"
"전라남도 강진군 군동면 호계리","5**","단독","8m미만","97.74","373","202008","13","26,000","2018","종합운동장길","20201012"
"전라남도 강진군 군동면 호계리","5**","단독","12m미만","98.82","420","202010","21","23,500","2018","종합운동장길",""
"전라남도 강진군 군동면 호계리","6**","단독","12m미만","143.74","435","202008","24","26,810","2018","문화마을길",""
"전라남도 강진군 군동면 호계리","4**","단독","8m미만","92.4","450","202102","26","7,000","1980","갈전길",""
"전라남도 강진군 군동면 호계리","9**","단독","8m미만","95.2","545","202008","18","4,500","1942","null",""
"전라남도 강진군 군동면 호계리","2**","단독","8m미만","95.8","638","202010","13","8,300","1977","갈전길",""
"전라남도 강진군 군동면 화산리","7**","단독","8m미만","286.27","1008","202012","30","10,000","1994","화방1길",""
"전라남도 강진군 대구면 계율리","4**","단독","8m미만","86.04","714","202003","19","1,200","1990","계율길",""
"전라남도 강진군 대구면 계율리","2**","단독","8m미만","96.65","717","202005","29","13,434","2015","null",""
"전라남도 강진군 대구면 사당리","5**","단독","8m미만","89.65","512","202008","24","1,000","2010","백사1길",""
"전라남도 강진군 대구면 사당리","2**","단독","12m미만","204.1","556","202003","16","8,500","1992","청자로",""
"전라남도 강진군 대구면 수동리","5**","단독","12m미만","22.08","169","202010","8","2,000","1945","수동길",""
"전라남도 강진군 대구면 수동리","5**","단독","8m미만","126.3","321","202005","26","8,500","2005","수동길",""
"전라남도 강진군 대구면 수동리","9**","단독","8m미만","84.09","440","202007","6","5,800","2019","백사1길",""
"전라남도 강진군 대구면 저두리","3**","단독","8m미만","79.8","587","202002","29","15,500","1995","중저길",""
"전라남도 강진군 대구면 저두리","1**","단독","12m미만","82.5","608","202011","25","10,000","1994","청자로",""
"전라남도 강진군 도암면 강정리","4**","단독","8m미만","39.16","337","202008","18","900","1979","강성길",""
