"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"전라남도 강진군 강진읍 남성리","1**","-","23","월세","202007","14","300","35","2017","null"
"전라남도 강진군 강진읍 남성리","1**","12m미만","23","월세","202007","22","300","35","2017","영랑로"
"전라남도 강진군 강진읍 남성리","1**","12m미만","30","월세","202003","1","200","20","1988","남문길"
"전라남도 강진군 강진읍 남성리","2*","12m미만","33","전세","202011","4","6,000","0","2016","보은로1길"
"전라남도 강진군 강진읍 남성리","2*","12m미만","33","전세","202012","6","5,500","0","2016","보은로1길"
"전라남도 강진군 강진읍 남성리","2*","12m미만","33","전세","202003","19","5,500","0","2016","보은로1길"
"전라남도 강진군 강진읍 남성리","2*","12m미만","33","전세","202101","20","6,000","0","2016","보은로1길"
"전라남도 강진군 강진읍 남성리","2*","12m미만","39.6","전세","202007","22","8,200","0","2016","보은로1길"
"전라남도 강진군 강진읍 남성리","2*","12m미만","39.6","전세","202007","31","8,300","0","2016","보은로1길"
"전라남도 강진군 강진읍 남성리","2*","12m미만","39.66","전세","202009","11","8,300","0","2016","보은로1길"
"전라남도 강진군 강진읍 남성리","3*","12m미만","41.16","월세","202102","25","500","50","2021","영랑로4길"
"전라남도 강진군 강진읍 남성리","5*","12m미만","64.35","전세","202011","24","4,500","0","1999","보은로안길"
"전라남도 강진군 강진읍 남성리","2*","25m미만","75","월세","202005","27","1,000","40","1986","영랑로"
"전라남도 강진군 강진읍 덕남리","4**","8m미만","94.76","전세","202012","8","3,000","0","1994","기룡1길"
"전라남도 강진군 강진읍 동성리","3**","25m미만","26.48","전세","202012","24","3,000","0","2011","탐진로"
"전라남도 강진군 강진읍 동성리","4**","8m미만","39.67","전세","202003","4","1,800","0","1977","탐진로"
"전라남도 강진군 강진읍 동성리","3**","12m미만","48.1","월세","202102","28","500","30","1960","중앙로"
"전라남도 강진군 강진읍 동성리","3**","25m미만","49.5","전세","202004","28","4,000","0","2013","탐진로"
"전라남도 강진군 강진읍 동성리","2**","12m미만","52","월세","202006","3","500","20","null","향교로"
"전라남도 강진군 강진읍 동성리","1**","12m미만","52.9","월세","202003","14","1,000","30","1994","보은로4길"
"전라남도 강진군 강진읍 동성리","2**","12m미만","94.5","전세","202003","27","7,000","0","2003","중앙로"
"전라남도 강진군 강진읍 동성리","1**","12m미만","99.17","월세","202006","29","500","35","1999","동성로"
"전라남도 강진군 강진읍 동성리","2**","8m미만","115.7","전세","202006","19","3,000","0","1998","향교로"
"전라남도 강진군 강진읍 목리","4*","12m미만","42.2","월세","202101","28","500","25","1960","이학래길"
"전라남도 강진군 강진읍 목리","1**","8m미만","72.6","월세","202102","23","1,200","21","null","이학래길"
"전라남도 강진군 강진읍 서성리","2**","12m미만","19.55","월세","202102","26","500","33","null","서성안길"
"전라남도 강진군 강진읍 서성리","2**","-","22.05","월세","202012","15","500","35","2020","null"
"전라남도 강진군 강진읍 서성리","1**","8m미만","25","월세","202008","5","120","20","1973","서성3길"
"전라남도 강진군 강진읍 서성리","1**","12m미만","26.42","월세","202102","6","500","45","2021","서성2길"
"전라남도 강진군 강진읍 서성리","1**","-","26.42","월세","202101","29","500","45","2008","null"
"전라남도 강진군 강진읍 서성리","2**","12m미만","27.47","월세","202003","17","500","35","2020","서성안길"
"전라남도 강진군 강진읍 서성리","1**","-","27.52","전세","202007","1","2,000","0","null","null"
"전라남도 강진군 강진읍 서성리","6*","25m미만","29.7","전세","202010","27","5,000","0","2010","삼일로"
"전라남도 강진군 강진읍 서성리","2**","12m미만","30","월세","202009","5","500","33","2016","서성안길"
