"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"전라남도 강진군 강진읍 서성리","597","강진서성남양휴튼아파트2단지","84.9769","27,500","17","202003","11","분",""
"전라남도 강진군 군동면 호계리","898","강진 코아루 블루핀","84.9868","25,900","12","202003","2","분",""
"전라남도 강진군 군동면 호계리","898","강진 코아루 블루핀","84.9868","25,600","11","202003","10","분",""
"전라남도 강진군 군동면 호계리","1295","강진 코아루 블루핀 아파트","84.9868","25,900","19","202004","10","분",""
"전라남도 강진군 군동면 호계리","1295","강진 코아루 블루핀 아파트","109.3764","32,300","4","202004","23","분","20200427"
"전라남도 강진군 군동면 호계리","1295","강진 코아루 블루핀 아파트","84.995","25,900","15","202004","27","분",""
"전라남도 강진군 군동면 호계리","1295","강진 코아루 블루핀 아파트","109.3764","32,300","4","202004","27","분",""
"전라남도 강진군 군동면 호계리","1295","강진 코아루 블루핀 아파트","84.9868","25,900","16","202005","1","분",""
"전라남도 강진군 군동면 호계리","1295","강진 코아루 블루핀 아파트","84.995","25,900","13","202005","7","분",""
"전라남도 광양시 광양읍 덕례리","573-21","광양 세미존서희스타힐스","80.9458","24,110","3","202011","5","분",""
"전라남도 광양시 광양읍 덕례리","573-21","광양 세미존서희스타힐스","74.8999","22,180","2","202011","5","분",""
