"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"전라남도 강진군 강진읍 남성리","일반","2*","영랑로1길","일반상업","제1종근린생활","12m미만","229.88","107.90","26,800","null","202004","6"," ","1989",""
"전라남도 강진군 강진읍 남성리","일반","2*","보은로3길","일반상업","제2종근린생활","12m미만","99.15","119.50","12,000","null","202012","1"," ","1960","20201230"
"전라남도 강진군 강진읍 남성리","일반","5*","보은로3길","일반상업","제1종근린생활","12m미만","2390.76","613.00","84,950","null","202012","3"," ","1991",""
"전라남도 강진군 강진읍 동성리","일반","2**","중앙로","제1종일반주거","제1종근린생활","12m미만","197.1","166.00","22,000","null","202006","30"," ","2002",""
"전라남도 강진군 강진읍 동성리","일반","1**","동명3길","일반상업","제2종근린생활","12m미만","259.28","199.00","50,000","null","202010","7"," ","1983",""
"전라남도 강진군 강진읍 동성리","일반","1**","시장길","일반상업","제1종근린생활","12m미만","38.2","56.00","7,500","null","202011","30"," ","1979",""
"전라남도 강진군 강진읍 서성리","일반","1**","서성2길","제2종일반주거","제2종근린생활","12m미만","176.96","154.00","34,500","null","202102","24"," ","2006",""
"전라남도 강진군 군동면 삼신리","일반","6**","석교로","계획관리","제2종근린생활","12m미만","1389.16","3095.00","66,000","null","202011","27"," ","2015",""
"전라남도 강진군 군동면 호계리","일반","7**","진흥로","제1종일반주거","제1종근린생활","12m미만","478.28","651.00","39,100","null","202007","14"," ","2008",""
"전라남도 강진군 도암면 봉황리","일반","2**","-","계획관리","제2종근린생활","8m미만","211.71","1064.00","15,000","null","202009","1"," ","1999",""
"전라남도 강진군 도암면 봉황리","일반","2**","봉황로","계획관리","제2종근린생활","8m미만","1006.54","1476.00","66,990","null","202009","1"," ","1997",""
"전라남도 강진군 도암면 신기리","일반","1**","월곶로","계획관리","제1종근린생활","12m미만","107.59","808.00","36,400","null","202009","14"," ","2013",""
"전라남도 강진군 도암면 항촌리","일반","5**","도암중앙로","계획관리","제1종근린생활","12m미만","144.82","185.00","3,000","null","202003","25"," ","1964",""
"전라남도 강진군 병영면 박동리","일반","1**","한골목길","제1종일반주거","제2종근린생활","8m미만","60","195.00","350","null","202010","24"," ","1985",""
"전라남도 강진군 병영면 성남리","일반","1**","병영성로","일반상업","제1종근린생활","12m미만","41","33.00","2,400","null","202006","9"," ","1989","20200831"
"전라남도 강진군 병영면 성남리","일반","1**","병영성로","일반상업","제1종근린생활","12m미만","41","33.00","2,400","null","202009","1"," ","1989",""
"전라남도 강진군 병영면 성남리","일반","1**","병영성로","일반상업","제2종근린생활","12m미만","68.54","793.00","14,000","null","202011","12"," ","1989",""
"전라남도 강진군 병영면 성동리","일반","1**","병영성로","제1종일반주거","제1종근린생활","12m미만","169.2","499.00","2,500","null","202011","10"," ","1980",""
"전라남도 강진군 성전면 월평리","집합","3*","-","제2종일반주거","제1종근린생활","8m미만","144"," ","1,000","2","202011","5"," ","2001",""
"전라남도 강진군 성전면 월평리","집합","3*","-","제2종일반주거","제1종근린생활","8m미만","36"," ","400","1","202011","5"," ","2001",""
"전라남도 강진군 성전면 월평리","집합","3*","-","제2종일반주거","제1종근린생활","8m미만","36"," ","400","1","202011","5"," ","2001",""
"전라남도 강진군 성전면 월평리","집합","3*","-","제2종일반주거","제1종근린생활","8m미만","36"," ","400","1","202011","5"," ","2001",""
"전라남도 강진군 성전면 월평리","집합","3*","-","제2종일반주거","제1종근린생활","8m미만","31.5"," ","400","1","202011","5"," ","2001",""
"전라남도 강진군 성전면 월평리","집합","3*","-","제2종일반주거","제1종근린생활","8m미만","36"," ","400","1","202011","5"," ","2001",""
"전라남도 강진군 작천면 갈동리","일반","2**","까치내로","계획관리","제1종근린생활","12m미만","84","618.00","7,000","null","202011","13"," ","2010",""
"전라남도 고흥군 고흥읍 남계리","집합","5**","흥양길","일반상업","교육연구","12m미만","110.67"," ","15,000","2","202003","4"," ","2020","20200320"
"전라남도 고흥군 고흥읍 남계리","집합","8**","터미널길","준주거","제1종근린생활","25m미만","52.29"," ","25,000","1","202003","4"," ","1990",""
"전라남도 고흥군 고흥읍 남계리","집합","5**","흥양길","일반상업","교육연구","12m미만","110.67"," ","16,000","2","202003","12"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","일반","5**","원동남계길","일반상업","제1종근린생활","12m미만","401.3","159.00","25,000","null","202003","20"," ","1997",""
"전라남도 고흥군 고흥읍 남계리","집합","5**","흥양길","일반상업","제2종근린생활","12m미만","110.67"," ","16,000","2","202003","24"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","준주거","제1종근린생활","8m미만","70.22"," ","51,500","1","202004","7"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","제2종일반주거","제1종근린생활","25m미만","75.2"," ","22,300","1","202005","26"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","제2종일반주거","제1종근린생활","25m미만","85.74"," ","25,500","1","202005","26"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","일반","1**","송곡길","계획관리","제2종근린생활","8m미만","491.92","10905.00","85,000","null","202005","28"," ","2005","20200720"
"전라남도 고흥군 고흥읍 남계리","집합","7**","봉남봉동길","일반상업","제2종근린생활","8m미만","127.04"," ","17,300","2","202006","1"," ","2012",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","제2종일반주거","제1종근린생활","25m미만","79.48"," ","30,000","1","202006","9"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","제2종일반주거","제1종근린생활","25m미만","71.2"," ","27,400","1","202006","16"," ","2020",""
"전라남도 고흥군 고흥읍 남계리","집합","1***","고흥군청로","제2종일반주거","제1종근린생활","25m미만","116.07"," ","31,300","4","202006","16"," ","2020",""
