"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"전라남도 강진군 강진읍 남성리","26-4","0026","0004","탑클래스빌","전세","82.5683","202003","20","12,500","0","3","2012","영랑로1길 26"
"전라남도 강진군 강진읍 서성리","595","0595","0000","강진뉴캐슬아파트","전세","84.87","202007","25","15,000","0","4","2018","탐진로 51"
"전라남도 강진군 강진읍 서성리","595","0595","0000","강진뉴캐슬아파트","전세","84.87","202102","25","23,000","0","14","2018","탐진로 51"
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","전세","84.9769","202003","5","18,000","0","7","2019","서문길 15-1"
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","전세","84.9769","202003","11","18,000","0","8","2019","서문길 15-1"
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","전세","84.9769","202003","16","17,000","0","4","2019","서문길 15-1"
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","전세","84.9769","202004","13","17,000","0","3","2019","서문길 15-1"
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","전세","84.9769","202004","17","17,000","0","4","2019","서문길 15-1"
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","전세","84.9769","202004","20","17,000","0","4","2019","서문길 15-1"
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","월세","57.56","202010","3","300","35","10","1995","고성길 3"
"전라남도 강진군 강진읍 서성리","95","0095","0000","건우2차","월세","50.4","202004","20","1,218","10","2","2007","서성1길 21"
"전라남도 강진군 강진읍 서성리","95","0095","0000","건우2차","월세","59.97","202005","27","1,539","13","2","2007","서성1길 21"
