"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라남도 고흥군 고흥읍 남계리","1050","1050","0","대현스카이캐슬","115.33","202005","4","34,000","5","2020","고흥군청로 24",""
"전라남도 고흥군 고흥읍 남계리","1050","1050","0","대현스카이캐슬","116.07","202006","4","31,300","4","2020","고흥군청로 24",""
"전라남도 고흥군 고흥읍 남계리","1050","1050","0","대현스카이캐슬","115.33","202006","4","34,000","5","2020","고흥군청로 24",""
"전라남도 고흥군 고흥읍 남계리","1050","1050","0","대현스카이캐슬","116.07","202006","4","31,300","3","2020","고흥군청로 24",""
"전라남도 고흥군 고흥읍 남계리","1050","1050","0","대현스카이캐슬","116.07","202006","10","34,000","5","2020","고흥군청로 24",""
"전라남도 고흥군 고흥읍 남계리","1050","1050","0","대현스카이캐슬","116.07","202006","11","34,000","5","2020","고흥군청로 24",""
"전라남도 고흥군 고흥읍 남계리","1050","1050","0","대현스카이캐슬","115.33","202006","29","32,300","2","2020","고흥군청로 24",""
"전라남도 고흥군 고흥읍 남계리","1050","1050","0","대현스카이캐슬","115.33","202007","13","31,300","4","2020","고흥군청로 24",""
"전라남도 고흥군 고흥읍 남계리","1050","1050","0","대현스카이캐슬","115.33","202011","6","32,300","2","2020","고흥군청로 24",""
"전라남도 고흥군 고흥읍 남계리","1050","1050","0","대현스카이캐슬","115.33","202012","28","31,300","4","2020","고흥군청로 24",""
"전라남도 고흥군 고흥읍 남계리","1050","1050","0","대현스카이캐슬","116.07","202101","27","32,300","2","2020","고흥군청로 24",""
"전라남도 고흥군 도양읍 봉암리","2240-95","2240","95","블루베네치아아파트","70.51","202010","29","13,100","3","2018","녹동시장길 2",""
"전라남도 곡성군 옥과면 옥과리","220-1","220","1","(220-1)","25.04","202006","28","7,554","3","2019","대학로 128",""
"전라남도 곡성군 옥과면 옥과리","220-1","220","1","(220-1)","26.44","202101","18","7,966","3","2019","대학로 128",""
"전라남도 곡성군 옥과면 옥과리","220-1","220","1","(220-1)","26.44","202101","18","7,966","3","2019","대학로 128",""
"전라남도 구례군 구례읍 봉동리","171-7","171","7","산수유아파트","84.41","202010","9","18,000","2","2018","5일시장큰길 50",""
"전라남도 나주시 금계동","104-1","104","1","성원오피스빌","51.46","202007","3","2,500","6","2004","금남길 7",""
"전라남도 나주시 금계동","104-1","104","1","성원오피스빌","49.6","202012","23","4,000","4","2004","금남길 7",""
"전라남도 나주시 빛가람동","279-4","279","4","광주전남혁신도시 포레루체오피스텔","26.48","202004","29","8,500","5","2015"," ",""
