"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"전라남도 고흥군 고흥읍 남계리","1050","1050","0000","대현스카이캐슬","전세","116.07","202009","16","10,000","0","2","2020","고흥군청로 24"
"전라남도 고흥군 고흥읍 남계리","1050","1050","0000","대현스카이캐슬","전세","115.33","202010","5","10,000","0","3","2020","고흥군청로 24"
"전라남도 고흥군 고흥읍 서문리","215-3","0215","0003","고흥 센트럴파크 1차","월세","25.21","202009","22","3,000","25","2","2018","여산당촌길 53"
"전라남도 고흥군 고흥읍 서문리","215-3","0215","0003","고흥 센트럴파크 1차","월세","25.21","202009","22","500","40","2","2018","여산당촌길 53"
"전라남도 고흥군 도양읍 봉암리","2240-95","2240","0095","블루베네치아아파트","월세","70.51","202101","4","2,000","50","2","2018","녹동시장길 2"
"전라남도 광양시 광양읍 구산리","836-5","0836","0005","자연애3차","전세","29.24","202005","1","3,700","0","1","null","남등1길 136"
"전라남도 나주시 빛가람동","279-4","0279","0004","광주전남혁신도시 포레루체오피스텔","전세","26.48","202003","6","7,500","0","8","2015"," "
"전라남도 나주시 빛가람동","279-4","0279","0004","광주전남혁신도시 포레루체오피스텔","전세","26.48","202003","20","7,500","0","6","2015"," "
"전라남도 나주시 빛가람동","279-4","0279","0004","광주전남혁신도시 포레루체오피스텔","월세","26.48","202003","23","300","35","3","2015"," "
"전라남도 나주시 빛가람동","279-4","0279","0004","광주전남혁신도시 포레루체오피스텔","월세","26.48","202004","1","300","35","11","2015"," "
