"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"전라북도 고창군 고수면 남산리","5**","단독","12m미만","99.65","292","202006","27","2,531","2013","옹기로",""
"전라북도 고창군 고수면 남산리","4**","단독","8m미만","82.03","893","202008","6","14,000","2012","학골길",""
"전라북도 고창군 고수면 봉산리","1**","단독","8m미만","95.1","651","202011","23","900","1997","봉산1길",""
"전라북도 고창군 고수면 상평리","2**","단독","12m미만","100.06","525","202006","12","4,987","1995","고수로",""
"전라북도 고창군 고수면 우평리","3**","단독","8m미만","77.5","370","202005","2","7,500","1911","우평길","20200915"
"전라북도 고창군 고수면 우평리","3**","단독","8m미만","77.5","370","202009","15","7,500","1911","우평길",""
"전라북도 고창군 고수면 인성리","1**","단독","8m미만","98","598","202012","28","4,700","1976","대성길",""
"전라북도 고창군 고수면 장두리","4**","단독","8m미만","98.93","657","202009","10","21,000","2014","오산길",""
"전라북도 고창군 고수면 장두리","4**","단독","8m미만","98.93","1213","202101","31","22,950","2014","오산길",""
"전라북도 고창군 고수면 평지리","산*","단독","8m미만","68.9","595","202011","9","1,200","1955","내창수곡길",""
