"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"전라북도 고창군 고창읍 교촌리","9*","8m미만","20","월세","202009","19","300","35","2012","교촌4길"
"전라북도 고창군 고창읍 교촌리","9*","8m미만","20","월세","202012","21","300","35","2012","교촌4길"
"전라북도 고창군 고창읍 교촌리","4**","12m미만","25","전세","202009","21","7,500","0","2016","월곡4길"
"전라북도 고창군 고창읍 교촌리","9*","8m미만","30","월세","202009","19","300","38","2012","교촌4길"
"전라북도 고창군 고창읍 교촌리","2**","8m미만","32.8","월세","202011","16","500","37","2014","모양성로"
"전라북도 고창군 고창읍 교촌리","2**","8m미만","33","월세","202008","30","500","33","2013","소반2길"
"전라북도 고창군 고창읍 교촌리","2**","8m미만","35","월세","202009","16","500","37","null","모양성로"
"전라북도 고창군 고창읍 교촌리","2**","8m미만","40","월세","202007","3","500","35","2016","모양성로"
"전라북도 고창군 고창읍 교촌리","1**","8m미만","40","월세","202005","25","500","40","2019","교촌4길"
"전라북도 고창군 고창읍 교촌리","2**","8m미만","40","전세","202007","7","5,000","0","2016","모양성로"
"전라북도 고창군 고창읍 교촌리","2**","8m미만","40","전세","202007","9","5,000","0","2016","모양성로"
"전라북도 고창군 고창읍 교촌리","2**","8m미만","43","월세","202005","21","2,000","30","2016","모양성로"
"전라북도 고창군 고창읍 교촌리","5*","12m미만","44.22","월세","202003","20","500","30","2011","교촌3길"
"전라북도 고창군 고창읍 교촌리","2**","8m미만","45","월세","202012","30","300","43","2013","모양성로"
"전라북도 고창군 고창읍 교촌리","2**","8m미만","45","월세","202003","30","2,000","22","2013","모양성로"
"전라북도 고창군 고창읍 교촌리","1**","8m미만","50","월세","202010","26","500","40","2019","교촌4길"
"전라북도 고창군 고창읍 교촌리","3**","12m미만","66","전세","202005","13","2,000","0","2006","월곡9길"
"전라북도 고창군 고창읍 교촌리","3**","12m미만","69.4","전세","202011","19","3,000","0","2020","월곡1길"
"전라북도 고창군 고창읍 교촌리","5*","12m미만","71.78","전세","202004","22","7,000","0","2009","교촌3길"
"전라북도 고창군 고창읍 교촌리","2**","25m이상","74.13","월세","202004","24","5,000","40","null","보릿골로"
"전라북도 고창군 고창읍 교촌리","5*","12m미만","96.06","월세","202003","30","1,000","50","2009","교촌3길"
"전라북도 고창군 고창읍 내동리","3**","-","99.33","전세","202010","13","11,000","0","2016","null"
"전라북도 고창군 고창읍 성두리","6**","8m미만","26.4","월세","202010","24","800","35","null","null"
"전라북도 고창군 고창읍 월곡리","8**","-","26","월세","202010","17","300","32","2014","null"
"전라북도 고창군 고창읍 월곡리","8**","12m미만","26.45","월세","202010","12","300","30","null","월곡6길"
"전라북도 고창군 고창읍 월곡리","6**","25m미만","28","월세","202006","20","300","32","2008","월곡로"
"전라북도 고창군 고창읍 월곡리","7**","12m미만","29.75","월세","202101","20","1,000","10","2007","월곡공원2길"
"전라북도 고창군 고창읍 월곡리","7**","12m미만","30","월세","202009","27","300","30","2006","월곡공원2길"
"전라북도 고창군 고창읍 월곡리","7**","12m미만","33","월세","202009","18","300","25","2007","월곡6길"
"전라북도 고창군 고창읍 월곡리","6**","12m미만","33","월세","202006","26","100","37","2010","월곡공원1길"
"전라북도 고창군 고창읍 월곡리","7**","12m미만","33","월세","202009","30","500","30","2015","월곡공원2길"
"전라북도 고창군 고창읍 월곡리","8**","12m미만","34","전세","202004","11","5,000","0","2008","월곡6길"
"전라북도 고창군 고창읍 월곡리","7**","12m미만","39.67","전세","202004","18","3,500","0","2009","월곡6길"
"전라북도 고창군 고창읍 월곡리","7**","12m미만","40","월세","202003","9","500","40","2015","월곡공원1길"
"전라북도 고창군 고창읍 월곡리","7**","12m미만","45","전세","202007","22","3,000","0","2008","월곡14길"
"전라북도 고창군 고창읍 월곡리","7**","12m미만","46","전세","202010","25","4,500","0","2014","월곡공원2길"
"전라북도 고창군 고창읍 월곡리","7**","12m미만","59","전세","202102","23","8,000","0","2015","월곡10길"
"전라북도 고창군 고창읍 월곡리","6**","25m미만","66","전세","202003","16","7,000","0","2011","월곡14길"
"전라북도 고창군 고창읍 월곡리","6**","-","67.2","전세","202008","13","7,000","0","2011","null"
"전라북도 고창군 고창읍 월곡리","5**","12m미만","76","월세","202007","20","1,000","41","2015","월곡공원2길"
"전라북도 고창군 고창읍 월곡리","7**","12m미만","93.8","전세","202006","11","9,000","0","2019","월곡6길"
"전라북도 고창군 고창읍 월곡리","7**","12m미만","93.8","전세","202006","11","9,000","0","2019","월곡6길"
"전라북도 고창군 고창읍 월곡리","7**","12m미만","93.8","전세","202006","11","9,000","0","2019","월곡6길"
"전라북도 고창군 고창읍 월곡리","6**","25m미만","126.6","전세","202011","3","4,000","0","2004","월곡로"
"전라북도 고창군 고창읍 월곡리","9**","25m미만","131.69","전세","202012","24","18,000","0","2013","월곡뉴타운1길"
"전라북도 고창군 고창읍 월곡리","6**","12m미만","139.84","전세","202010","7","6,000","0","null","월곡14길"
"전라북도 고창군 고창읍 월산리","5**","8m미만","155.66","전세","202011","1","12,000","0","2018","월암수월길"
"전라북도 고창군 고창읍 월암리","1**","8m미만","64.56","전세","202101","10","6,000","0","null","수월길"
"전라북도 고창군 고창읍 월암리","1**","8m미만","85.18","전세","202101","10","10,000","0","null","수월길"
"전라북도 고창군 고창읍 읍내리","6**","8m미만","25","월세","202003","4","500","35","2019","천변남로"
"전라북도 고창군 고창읍 읍내리","6**","8m미만","25","월세","202004","10","500","45","2016","화신1길"
"전라북도 고창군 고창읍 읍내리","6**","8m미만","25","월세","202004","25","500","35","2016","화신1길"
"전라북도 고창군 고창읍 읍내리","6**","8m미만","27","월세","202010","17","300","30","null","성산3길"
"전라북도 고창군 고창읍 읍내리","6**","8m미만","30","월세","202101","2","500","35","2018","천변남로"
"전라북도 고창군 고창읍 읍내리","6**","8m미만","30","월세","202006","22","500","45","2016","화신1길"
"전라북도 고창군 고창읍 읍내리","6**","8m미만","30","월세","202008","23","50","35","2018","천변남로"
"전라북도 고창군 고창읍 읍내리","6**","8m미만","30","전세","202012","7","500","0","2015","성산3길"
"전라북도 고창군 고창읍 읍내리","6**","8m미만","36","월세","202004","6","500","45","null","화신1길"
"전라북도 고창군 고창읍 읍내리","6**","12m미만","40","월세","202003","26","500","45","2017","화신2길"
"전라북도 고창군 고창읍 읍내리","6**","12m미만","40","전세","202102","1","5,500","0","2017","화신2길"
"전라북도 고창군 고창읍 읍내리","6**","12m미만","40","전세","202011","7","4,500","0","2017","화신2길"
"전라북도 고창군 고창읍 읍내리","1*","-","40","전세","202102","7","5,000","0","null","null"
"전라북도 고창군 고창읍 읍내리","4**","12m미만","40","전세","202010","26","3,000","0","2018","남정2길"
"전라북도 고창군 고창읍 읍내리","4**","12m미만","45","전세","202010","12","6,000","0","null","남정2길"
"전라북도 고창군 고창읍 읍내리","4**","12m미만","45","전세","202010","12","6,000","0","null","남정2길"
"전라북도 고창군 고창읍 읍내리","6**","12m미만","46","전세","202010","7","5,000","0","2017","화신2길"
"전라북도 고창군 고창읍 읍내리","5**","12m미만","49.59","전세","202008","26","5,000","0","1980","시장안길"
"전라북도 고창군 고창읍 읍내리","5**","25m미만","69.55","전세","202101","22","18,000","0","null","남구4길"
"전라북도 고창군 고창읍 읍내리","5**","25m미만","69.55","전세","202101","22","18,000","0","null","남구4길"
"전라북도 고창군 고창읍 읍내리","1**","8m미만","74.2","전세","202010","13","3,000","0","null","천변남로"
"전라북도 고창군 고창읍 읍내리","1***","25m이상","79.34","전세","202010","1","3,500","0","1996","남구4길"
"전라북도 고창군 고창읍 읍내리","3**","8m미만","89.26","월세","202005","10","700","30","2003","남정9길"
"전라북도 고창군 고창읍 주곡리","5**","8m미만","66","월세","202009","21","100","25","null","상평길"
"전라북도 고창군 신림면 부송리","1**","8m미만","99","월세","202101","28","1,000","60","2011","고인돌대로"
"전라북도 고창군 아산면 삼인리","4*","8m미만","105.85","월세","202003","6","10,000","35","null","선운사로"
"전라북도 고창군 아산면 상갑리","1**","8m미만","85","전세","202012","30","3,000","0","null","갑평2길"
"전라북도 군산시 개사동","7**","8m미만","27","월세","202102","1","100","10","1935","뒷고지안길"
"전라북도 군산시 개정동","1**","8m미만","99.81","전세","202006","15","16,000","0","2018","달여길"
"전라북도 군산시 개정면 발산리","1**","8m미만","171.51","전세","202007","29","6,000","0","1979","대황4길"
"전라북도 군산시 개정면 운회리","1**","8m미만","239.24","전세","202004","1","7,000","0","null","운회길"
"전라북도 군산시 개정면 통사리","3**","8m미만","214.5","월세","202003","12","1,000","25","1979","신동화1길"
"전라북도 군산시 경암동","5**","8m미만","26","전세","202010","8","2,500","0","2016","경촌안1길"
"전라북도 군산시 경암동","6**","12m미만","26","전세","202010","17","2,800","0","2015","경암2길"
"전라북도 군산시 경암동","5**","8m미만","26","전세","202012","21","2,500","0","2017","경촌안1길"
"전라북도 군산시 경암동","6**","12m미만","26","전세","202011","23","2,500","0","2018","진포로"
"전라북도 군산시 경암동","6**","12m미만","26","전세","202011","28","2,500","0","2017","경암5길"
"전라북도 군산시 경암동","5**","8m미만","26","전세","202009","29","2,500","0","2017","경촌안1길"
"전라북도 군산시 경암동","5**","-","28.1","전세","202101","14","3,500","0","2014","null"
"전라북도 군산시 경암동","6**","12m미만","30","월세","202009","19","100","30","2014","경암5길"
"전라북도 군산시 경암동","5**","8m미만","30","전세","202004","4","2,500","0","null","경촌안1길"
"전라북도 군산시 경암동","6**","8m미만","30","전세","202003","13","3,500","0","2013","경암3길"
"전라북도 군산시 경암동","6**","12m미만","30","전세","202008","14","2,500","0","2017","경암5길"
"전라북도 군산시 경암동","6**","12m미만","30","전세","202006","16","2,500","0","2013","경암3길"
"전라북도 군산시 경암동","5**","8m미만","30","전세","202011","17","2,500","0","2016","경촌안1길"
"전라북도 군산시 경암동","6**","12m미만","30","전세","202005","23","2,200","0","2015","경암2길"
"전라북도 군산시 경암동","6**","8m미만","30","전세","202102","26","3,500","0","2017","경암2길"
"전라북도 군산시 경암동","6**","8m미만","31","전세","202007","16","2,500","0","2017","경암2길"
"전라북도 군산시 경암동","5**","12m미만","33","월세","202101","8","500","30","2017","경촌안2길"
"전라북도 군산시 경암동","5**","12m미만","33","전세","202012","28","2,700","0","2017","경촌안2길"
"전라북도 군산시 경암동","6**","12m미만","33","전세","202012","28","3,500","0","2015","경암2길"
"전라북도 군산시 경암동","5**","8m미만","35","전세","202101","27","3,500","0","2014","경촌안1길"
"전라북도 군산시 경암동","6**","12m미만","36","월세","202008","27","300","34","2020","경암4길"
"전라북도 군산시 경암동","6**","12m미만","37.8","월세","202005","8","200","38","2014","경암5길"
"전라북도 군산시 경암동","5**","-","39.75","전세","202010","22","4,500","0","2014","null"
"전라북도 군산시 경암동","6**","12m미만","40","전세","202004","6","5,000","0","2017","경암5길"
"전라북도 군산시 경암동","5**","12m미만","40","전세","202101","8","3,500","0","2015","경촌안2길"
"전라북도 군산시 경암동","6**","12m미만","40","전세","202102","22","5,000","0","2012","경암3길"
"전라북도 군산시 경암동","6**","-","41.55","전세","202102","4","6,000","0","2018","null"
"전라북도 군산시 경암동","5**","12m미만","42","월세","202007","28","200","37","2011","경촌안2길"
"전라북도 군산시 경암동","5**","-","42.4","전세","202005","4","6,000","0","2017","null"
"전라북도 군산시 경암동","6**","12m미만","43","전세","202003","17","2,500","0","2013","경암3길"
"전라북도 군산시 경암동","6**","-","43.2","전세","202008","19","5,500","0","2018","null"
"전라북도 군산시 경암동","6**","12m미만","45","월세","202009","11","200","38","2019","경암4길"
"전라북도 군산시 경암동","6**","-","45","월세","202005","14","100","37","2018","null"
"전라북도 군산시 경암동","6**","12m미만","45","월세","202012","26","500","35","2019","경포천동길"
"전라북도 군산시 경암동","6**","12m미만","45","월세","202010","27","200","35","2018","진포로"
"전라북도 군산시 경암동","6**","12m미만","45","월세","202009","28","300","38","2018","경암2길"
"전라북도 군산시 경암동","5**","12m미만","45","전세","202012","2","3,000","0","2014","경촌안1길"
"전라북도 군산시 경암동","5**","8m미만","45","전세","202010","7","3,500","0","2016","경촌안1길"
"전라북도 군산시 경암동","6**","12m미만","45","전세","202008","19","3,500","0","2013","경암3길"
