"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","84.9912","26,610","20","202006","8","입",""
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","59.7894","18,770","11","202006","15","입","20200701"
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","84.9912","22,890","23","202006","15","입","20200709"
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","84.9912","26,385","23","202006","15","입","20200802"
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","84.9912","26,280","10","202006","15","입","20200714"
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","84.9912","26,385","23","202006","15","입",""
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","59.7894","18,770","11","202006","15","입",""
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","84.9912","25,200","6","202006","15","입",""
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","84.9912","26,280","10","202006","15","입",""
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","73.428","22,710","21","202006","16","입","20200706"
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","73.428","22,835","13","202006","16","입","20200715"
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","73.428","22,710","21","202006","16","입",""
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","73.428","22,835","13","202006","16","입",""
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","59.9654","19,050","22","202006","20","입",""
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","73.428","22,070","19","202006","20","입",""
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","73.428","23,152","6","202006","22","분","20200729"
"전라북도 군산시 나운동","831","나운 금호어울림 센트럴","59.9654","23,490","17","202006","22","분","20200730"
