"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"전라북도 고창군 고수면 초내리","일반","2**","내창수곡길","계획관리","교육연구","12m미만","6915.64","10668.00","61,006","null","202006","29"," ","1988",""
"전라북도 고창군 고창읍 교촌리","일반","3**","월곡9길","제1종일반주거","제2종근린생활","12m미만","166.4","282.30","15,000","null","202003","13"," ","1999",""
"전라북도 고창군 고창읍 교촌리","일반","3*","월곡로","제2종일반주거","기타","25m미만","896.61","1346.00","185,000","null","202010","22"," ","2002",""
"전라북도 고창군 고창읍 교촌리","일반","3*","월곡로","제2종일반주거","제2종근린생활","25m미만","197.65","177.00","38,000","null","202102","22"," ","2013",""
"전라북도 고창군 고창읍 덕산리","집합","9**","보릿골로","제1종일반주거","제1종근린생활","25m이상","44.65"," ","14,000","1","202009","7"," ","2017",""
"전라북도 고창군 고창읍 덕산리","집합","9**","보릿골로","제1종일반주거","제1종근린생활","25m이상","44.65"," ","14,000","1","202009","7"," ","2017",""
"전라북도 고창군 고창읍 덕산리","집합","9**","보릿골로","제1종일반주거","제1종근린생활","25m이상","44.65"," ","14,000","1","202009","7"," ","2017",""
"전라북도 고창군 고창읍 석정리","집합","8**","석정2로","계획관리","기타","25m미만","46.56"," ","15,200","6","202003","11"," ","2017",""
"전라북도 고창군 고창읍 석정리","집합","8**","석정2로","계획관리","기타","25m미만","64.12"," ","20,500","9","202003","12"," ","2017",""
"전라북도 고창군 고창읍 석정리","집합","7**","석정1로","계획관리","숙박","25m미만","129.82"," ","50,500","1","202003","20"," ","2011",""
