"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"전라북도 고창군 고창읍 교촌리","522","0522","0000","벽산블루밍","전세","84.8448","202003","6","20,000","0","2","2019","월곡로 27"
"전라북도 고창군 고창읍 교촌리","522","0522","0000","벽산블루밍","월세","84.8448","202009","8","10,000","20","3","2019","월곡로 27"
"전라북도 고창군 고창읍 교촌리","214-1","0214","0001","유진청하","전세","84.96","202003","22","6,500","0","5","1991","청룡길 20"
"전라북도 고창군 고창읍 교촌리","214-1","0214","0001","유진청하","월세","84.96","202009","1","1,000","30","5","1991","청룡길 20"
"전라북도 고창군 고창읍 교촌리","224-3","0224","0003","진흥하이츠2차","월세","59.92","202011","4","1,000","45","9","1995","모양성로 108"
"전라북도 고창군 고창읍 석교리","10-3","0010","0003","선운프라자","전세","84.9807","202003","2","10,000","0","8","2009","보릿골로 191"
"전라북도 고창군 고창읍 석교리","10-3","0010","0003","선운프라자","전세","84.9807","202010","5","19,000","0","6","2009","보릿골로 191"
"전라북도 고창군 고창읍 석교리","10-8","0010","0008","성산현대","전세","59.7","202006","2","8,000","0","17","1995","보릿골로 195"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","월세","59.8706","202003","6","1,000","50","2","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","월세","59.9646","202003","17","2,000","40","3","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","월세","59.8706","202003","21","1,000","50","1","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","월세","59.9646","202004","21","1,000","50","2","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","전세","59.8706","202005","1","10,000","0","2","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","월세","59.9646","202005","2","4,000","20","7","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","월세","59.8706","202005","5","1,000","50","3","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","전세","59.9646","202006","1","9,000","0","13","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","월세","59.8706","202006","1","1,000","50","4","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","전세","59.9646","202006","4","10,000","0","12","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","전세","59.9646","202006","22","10,000","0","12","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","월세","59.9646","202006","24","1,000","45","14","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","월세","59.8706","202007","3","1,000","50","6","1999","월곡로 83"
"전라북도 고창군 고창읍 월곡리","586","0586","0000","온천마을제일","월세","59.8706","202008","11","1,000","50","1","1999","월곡로 83"
