"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"전라북도 고창군 고창읍 교촌리","68-1","0068","0001","동백(가,나동)","전세","84.93","202102","17","10,000","0","4","1990","중앙로 280-7"
"전라북도 고창군 고창읍 교촌리","81-4","0081","0004","삼우","전세","59.94","202006","22","6,000","0","2","1985","교촌1길 4-6"
"전라북도 고창군 고창읍 교촌리","294-2","0294","0002","샤인힐","월세","83.94","202003","11","2,000","60","1","2019","보릿골로 156"
"전라북도 고창군 고창읍 교촌리","294-2","0294","0002","샤인힐","전세","74.13","202003","12","20,000","0","4","2019","보릿골로 156"
"전라북도 고창군 고창읍 교촌리","294-2","0294","0002","샤인힐","월세","72.46","202004","25","3,000","50","2","2019","보릿골로 156"
"전라북도 고창군 고창읍 교촌리","262-1","0262","0001","센트럴파크빌","전세","77.52","202009","7","16,000","0","4","2019","향교길 20"
"전라북도 고창군 고창읍 교촌리","262-1","0262","0001","센트럴파크빌","전세","77.52","202012","2","16,500","0","3","2019","향교길 20"
"전라북도 고창군 고창읍 교촌리","262-1","0262","0001","센트럴파크빌","전세","77.52","202012","2","16,500","0","3","2019","향교길 20"
"전라북도 고창군 고창읍 교촌리","262-1","0262","0001","센트럴파크빌","월세","77.52","202102","16","2,000","55","2","2019","향교길 20"
"전라북도 고창군 고창읍 교촌리","106","0106","0000","헤라리움","전세","84.7747","202004","22","15,000","0","3","2013","교촌2길 21"
"전라북도 고창군 고창읍 덕산리","218","0218","0000","남양주택","전세","59.93","202005","30","6,000","0","4","1993","중거리당산로 78-3"
"전라북도 고창군 고창읍 덕산리","3-5","0003","0005","동진굿모닝빌","월세","59.54","202012","27","1,000","45","2","2015","중거리당산로 90"
"전라북도 고창군 고창읍 덕산리","989","0989","0000","리안채","월세","84.8978","202004","23","1,000","70","6","2017","보릿골로 57-15"
"전라북도 고창군 고창읍 석교리","350","0350","0000","고창아르테","전세","84.9816","202004","3","18,000","0","4","2020","소반7길 22"
"전라북도 고창군 고창읍 석교리","350","0350","0000","고창아르테","전세","84.9816","202004","25","15,000","0","4","2020","소반7길 22"
"전라북도 고창군 고창읍 석교리","350","0350","0000","고창아르테","전세","84.9816","202006","5","18,000","0","3","2020","소반7길 22"
"전라북도 고창군 고창읍 석교리","1","0001","0000","두광숲속으로","전세","84.8734","202005","18","16,000","0","4","2019","모양성로 130"
"전라북도 고창군 고창읍 석정리","712-3","0712","0003","석정파크빌2단지","월세","84.7651","202008","24","1,000","70","1","2018","석정2로 127-16"
"전라북도 고창군 고창읍 석정리","712-4","0712","0004","석정파크빌3차","전세","84.9812","202004","5","18,000","0","3","2019","석정2로 127-1"
"전라북도 고창군 고창읍 월곡리","285","0285","0000","리첸시아","전세","84.9592","202007","17","21,000","0","5","2018","상월1길 13"
"전라북도 고창군 고창읍 월곡리","324","0324","0000","포에버빌","전세","78.2","202006","17","13,000","0","2","2016","상월1길 14"
"전라북도 고창군 고창읍 읍내리","372","0372","0000","뉴캐슬301","월세","76.5274","202010","20","7,000","50","5","2014","남정6길 45"
"전라북도 고창군 고창읍 읍내리","681-217","0681","0217","대명","전세","54.36","202003","4","6,000","0","2","1986","성산8길 23"
"전라북도 고창군 고창읍 읍내리","681-217","0681","0217","대명","월세","54.36","202005","15","1,000","40","2","1986","성산8길 23"
"전라북도 고창군 고창읍 읍내리","173-2","0173","0002","모양빌라","전세","79.86","202010","27","1,000","0","3","1999","천변남로 142"
"전라북도 고창군 고창읍 읍내리","529","0529","0000","미소드림","월세","84.67","202007","3","3,000","50","2","2019","보릿골로 46-1"
"전라북도 고창군 고창읍 읍내리","529","0529","0000","미소드림","전세","84.67","202008","18","18,000","0","3","2019","보릿골로 46-1"
"전라북도 고창군 고창읍 읍내리","529","0529","0000","미소드림","전세","84.35","202101","19","18,000","0","3","2019","보릿골로 46-1"
