"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라북도 군산시 나운동","754-8","754","8","대우하늘채2차","59.25","202004","22","5,700","2","2013","나운우회로 75",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","52.95","202003","20","2,500","11","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","25.93","202004","28","1,650","14","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","49.21","202004","28","1,700","11","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","29.75","202007","13","2,000","16","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","29.17","202011","3","1,700","15","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","45.9","202012","5","1,800","13","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","43.19","202012","21","1,800","14","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","27.69","202012","30","1,400","14","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","27.58","202101","22","1,500","15","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","49.21","202101","22","3,600","14","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","25.93","202101","29","1,300","13","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","27.58","202102","16","1,650","14","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","24.96","202102","19","1,500","14","1999","대학로 342",""
"전라북도 군산시 소룡동","831","831","0","해강솔비앙 2단지","84.93","202012","29","17,200","7","2017","풍전4길 28",""
"전라북도 군산시 소룡동","768","768","0","해강솔비앙1단지","74.9","202009","21","14,000","9","2015","풍전4길 33-3",""
"전라북도 군산시 소룡동","768","768","0","해강솔비앙1단지","74.9","202101","5","13,000","7","2015","풍전4길 33-3",""
"전라북도 군산시 소룡동","768","768","0","해강솔비앙1단지","74.9","202101","6","13,000","10","2015","풍전4길 33-3",""
"전라북도 군산시 소룡동","768","768","0","해강솔비앙1단지","74.9","202101","12","13,000","10","2015","풍전4길 33-3",""
"전라북도 군산시 소룡동","768","768","0","해강솔비앙1단지","74.9","202101","12","13,000","8","2015","풍전4길 33-3",""
"전라북도 군산시 소룡동","768","768","0","해강솔비앙1단지","74.9","202102","5","13,000","4","2015","풍전4길 33-3",""
"전라북도 부안군 부안읍 서외리","38-10","38","10","부안 캐슬온리뷰","45.68","202006","24","13,740","2","2020","부풍로 68",""
"전라북도 부안군 부안읍 서외리","38-10","38","10","부안 캐슬온리뷰","47.53","202007","14","13,580","2","2020","부풍로 68",""
"전라북도 완주군 이서면 갈산리","663-3","663","3","엠카운티 오피스텔","55.95","202006","4","21,000","9","2016","오공로 11-19",""
"전라북도 완주군 이서면 갈산리","663-3","663","3","엠카운티 오피스텔","28.31","202008","4","11,000","8","2016","오공로 11-19",""
"전라북도 완주군 이서면 갈산리","663-3","663","3","엠카운티 오피스텔","77.21","202008","25","32,000","15","2016","오공로 11-19",""
"전라북도 완주군 이서면 갈산리","663-3","663","3","엠카운티 오피스텔","28.31","202009","28","9,000","4","2016","오공로 11-19",""
"전라북도 완주군 이서면 갈산리","663-3","663","3","엠카운티 오피스텔","28.31","202009","28","9,000","9","2016","오공로 11-19",""
"전라북도 완주군 이서면 갈산리","663-3","663","3","엠카운티 오피스텔","28.31","202011","25","9,000","14","2016","오공로 11-19",""
"전라북도 완주군 이서면 갈산리","663-3","663","3","엠카운티 오피스텔","77.21","202012","12","33,800","15","2016","오공로 11-19",""
"전라북도 완주군 이서면 갈산리","693-2","693","2","케렌시아 T-Class","25.43","202101","12","13,641","6","2020","오공로 11-3",""
"전라북도 익산시 신동","785-23","785","23","아이스토리","23.32","202003","7","12,800","7","2020","동서로13길 20",""
"전라북도 익산시 신동","785-23","785","23","아이스토리","24.56","202003","10","12,800","6","2020","동서로13길 20",""
"전라북도 익산시 신동","785-23","785","23","아이스토리","24.56","202004","1","15,800","8","2020","동서로13길 20",""
"전라북도 익산시 신동","785-23","785","23","아이스토리","24.56","202012","23","12,800","6","2020","동서로13길 20",""
"전라북도 익산시 신동","785-23","785","23","아이스토리","24.56","202012","30","12,800","5","2020","동서로13길 20",""
"전라북도 익산시 신동","785-23","785","23","아이스토리","24.64","202101","19","12,800","5","2020","동서로13길 20",""
"전라북도 익산시 신동","785-23","785","23","아이스토리","23.32","202101","27","15,800","8","2020","동서로13길 20",""
"전라북도 익산시 신동","785-23","785","23","아이스토리","23.32","202101","27","12,800","5","2020","동서로13길 20",""
"전라북도 익산시 신동","785-23","785","23","아이스토리","24.64","202102","1","12,800","4","2020","동서로13길 20",""
"전라북도 익산시 신동","785-23","785","23","아이스토리","24.56","202102","4","12,800","6","2020","동서로13길 20",""
"전라북도 익산시 신동","765-30","765","30","하나시티","22.94","202010","18","12,500","6","2019","동서로21길 94-5",""
"전라북도 익산시 어양동","748","748","0","어양 센트럴파크","33.63","202012","21","11,500","5","2020","하나로 337",""
"전라북도 익산시 어양동","511-11","511","11","에스파크","27.29","202005","25","10,501","6","2018","동서로 467",""
"전라북도 익산시 어양동","511-11","511","11","에스파크","27.29","202005","25","10,394","5","2018","동서로 467",""
