"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"전라북도 군산시 나운동","754-8","0754","0008","대우하늘채2차","월세","77.07","202102","22","1,000","30","3","2013","나운우회로 75"
"전라북도 군산시 나운동","805-1","0805","0001","동아26빌딩","전세","52.04","202003","1","2,500","0","13","1999","대학로 342"
"전라북도 군산시 나운동","805-1","0805","0001","동아26빌딩","전세","29.75","202007","4","2,500","0","16","1999","대학로 342"
"전라북도 군산시 나운동","805-1","0805","0001","동아26빌딩","월세","23.94","202008","17","200","5","12","1999","대학로 342"
"전라북도 군산시 미룡동","870-1","0870","0001","(870-1)","전세","22.13","202007","25","4,500","0","5","2018","미제2길 30"
"전라북도 군산시 미룡동","870-1","0870","0001","(870-1)","전세","22.13","202008","8","4,500","0","3","2018","미제2길 30"
"전라북도 군산시 미룡동","870-1","0870","0001","(870-1)","전세","22.13","202008","14","4,500","0","3","2018","미제2길 30"
"전라북도 군산시 미룡동","870-1","0870","0001","(870-1)","전세","22.13","202012","22","5,000","0","2","2018","미제2길 30"
"전라북도 군산시 미룡동","870-1","0870","0001","(870-1)","전세","22.13","202102","18","4,500","0","2","2018","미제2길 30"
"전라북도 군산시 미룡동","870-2","0870","0002","(870-2)","월세","22.46","202009","13","1,000","35","3","null"," "
"전라북도 군산시 미룡동","870-2","0870","0002","(870-2)","월세","22.46","202101","12","1,000","30","2","null"," "
"전라북도 군산시 미룡동","874-1","0874","0001","1동","월세","22.3","202003","30","300","39","4","2020","미제2길 8-5"
"전라북도 군산시 미룡동","871-2","0871","0002","군창 아리울 빌딩(871-2)","전세","51.02","202004","14","5,000","0","5","2010","미제2길 8-10"
"전라북도 군산시 미룡동","871-2","0871","0002","군창 아리울 빌딩(871-2)","전세","59.43","202010","28","6,000","0","5","2010","미제2길 8-10"
"전라북도 군산시 미룡동","871-2","0871","0002","군창 아리울 빌딩(871-2)","전세","57.75","202011","16","5,500","0","5","2010","미제2길 8-10"
"전라북도 군산시 미룡동","871-2","0871","0002","군창 아리울 빌딩(871-2)","전세","42.3","202011","16","6,000","0","4","2010","미제2길 8-10"
"전라북도 군산시 미룡동","871-2","0871","0002","군창 아리울 빌딩(871-2)","전세","43.35","202101","28","4,500","0","4","2010","미제2길 8-10"
"전라북도 군산시 미룡동","871-2","0871","0002","군창 아리울 빌딩(871-2)","전세","57.75","202102","7","6,000","0","5","2010","미제2길 8-10"
"전라북도 군산시 미룡동","875-1","0875","0001","군창 아리울 빌딩(875-1)","월세","34.43","202012","23","200","45","4","2011","미제2길 8-4"
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202003","10","6,300","0","11","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202003","12","6,500","0","8","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202003","19","6,500","0","7","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202004","2","6,500","0","6","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202004","3","6,500","0","12","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202004","28","6,500","0","11","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202004","28","6,500","0","9","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202004","28","6,500","0","10","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202005","14","6,500","0","11","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202006","11","6,300","0","8","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202006","25","6,500","0","9","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202007","15","6,500","0","6","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202007","30","6,500","0","13","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202008","3","6,500","0","12","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202102","1","6,500","0","12","2018"," "
"전라북도 군산시 미룡동","860-2","0860","0002","해강솔비앙 미룡시티2차","전세","74.91","202102","1","7,500","0","11","2018"," "
"전라북도 군산시 미룡동","853-2","0853","0002","해강솔비앙미룡시티","전세","71.16","202003","23","6,500","0","5","null","칠성5길 17"
"전라북도 군산시 미룡동","853-2","0853","0002","해강솔비앙미룡시티","전세","71.16","202008","13","6,500","0","6","null","칠성5길 17"
"전라북도 군산시 미룡동","853-2","0853","0002","해강솔비앙미룡시티","전세","71.16","202008","31","6,500","0","7","null","칠성5길 17"
"전라북도 군산시 미룡동","853-2","0853","0002","해강솔비앙미룡시티","전세","71.16","202009","3","6,500","0","3","null","칠성5길 17"
"전라북도 군산시 미룡동","853-2","0853","0002","해강솔비앙미룡시티","전세","71.16","202009","15","6,500","0","6","null","칠성5길 17"
"전라북도 군산시 미룡동","853-2","0853","0002","해강솔비앙미룡시티","월세","71.16","202009","23","3,000","30","5","null","칠성5길 17"
"전라북도 군산시 미룡동","853-2","0853","0002","해강솔비앙미룡시티","전세","71.16","202009","25","6,500","0","6","null","칠성5길 17"
"전라북도 군산시 미룡동","853-2","0853","0002","해강솔비앙미룡시티","월세","71.16","202010","6","4,000","20","3","null","칠성5길 17"
"전라북도 군산시 미룡동","853-2","0853","0002","해강솔비앙미룡시티","전세","71.16","202010","27","6,500","0","2","null","칠성5길 17"
"전라북도 군산시 미룡동","853-2","0853","0002","해강솔비앙미룡시티","전세","71.16","202011","16","6,500","0","3","null","칠성5길 17"
"전라북도 군산시 미룡동","853-2","0853","0002","해강솔비앙미룡시티","전세","71.16","202012","24","6,500","0","2","null","칠성5길 17"
"전라북도 군산시 미룡동","853-2","0853","0002","해강솔비앙미룡시티","전세","71.16","202102","5","6,500","0","3","null","칠성5길 17"
"전라북도 군산시 소룡동","1535-11","1535","0011","	(1535-11)	","전세","62.32","202009","18","4,500","0","7","2013","공단대로 606"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202003","2","7,500","0","1","2017","풍전4길 28"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202003","3","7,500","0","1","2017","풍전4길 28"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202003","10","8,500","0","2","2017","풍전4길 28"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202003","10","7,500","0","1","2017","풍전4길 28"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202003","17","7,500","0","1","2017","풍전4길 28"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202003","19","7,500","0","1","2017","풍전4길 28"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202004","7","8,500","0","6","2017","풍전4길 28"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202004","9","7,500","0","1","2017","풍전4길 28"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202004","26","10,000","0","7","2017","풍전4길 28"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202004","28","8,500","0","6","2017","풍전4길 28"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202005","27","8,500","0","10","2017","풍전4길 28"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202006","5","9,000","0","10","2017","풍전4길 28"
"전라북도 군산시 소룡동","831","0831","0000","해강솔비앙 2단지","전세","84.93","202010","12","9,000","0","7","2017","풍전4길 28"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202003","12","6,000","0","3","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","월세","74.9","202003","13","500","45","7","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202003","20","7,000","0","10","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","월세","74.9","202004","1","4,500","10","10","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","월세","74.9","202004","23","500","40","9","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202004","27","6,000","0","7","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202004","29","5,500","0","8","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202005","4","6,000","0","9","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202005","20","6,000","0","7","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202006","9","7,500","0","8","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202006","9","6,500","0","3","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202006","15","6,000","0","10","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202006","16","6,000","0","2","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202006","23","7,000","0","10","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","월세","74.9","202006","26","500","40","9","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202006","30","5,500","0","3","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202007","1","6,000","0","6","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202007","7","6,000","0","3","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202007","10","6,000","0","9","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202007","15","8,000","0","3","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202007","21","6,000","0","6","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202007","22","7,000","0","9","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","월세","74.9","202008","8","500","40","10","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","월세","74.9","202008","22","3,000","20","2","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202009","4","7,500","0","8","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202009","4","7,500","0","8","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202009","8","6,000","0","9","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202009","17","7,500","0","5","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202009","25","6,000","0","9","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202010","12","7,500","0","5","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202010","28","6,000","0","4","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202011","4","6,000","0","2","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202012","3","6,000","0","3","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202101","25","6,500","0","2","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202101","27","6,000","0","8","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","768","0768","0000","해강솔비앙1단지","전세","74.9","202102","18","6,500","0","2","2015","풍전4길 33-3"
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","32.12","202003","17","4,500","0","7","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","29.39","202003","18","4,000","0","3","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","29.32","202003","20","4,000","0","4","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","32.12","202003","23","4,500","0","8","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","36.83","202004","1","5,000","0","4","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","29.39","202004","6","4,000","0","9","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","36.83","202004","10","5,000","0","3","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","36.83","202004","24","5,000","0","4","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","29.39","202004","24","4,000","0","7","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","29.32","202004","27","4,000","0","4","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","29.39","202006","18","4,000","0","9","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","36.83","202007","6","6,000","0","5","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","29.32","202009","3","5,700","0","2","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","29.39","202010","7","4,000","0","2","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","36.83","202010","12","7,000","0","9","2017"," "
"전라북도 군산시 소룡동","771","0771","0000","해강솔비앙3단지","전세","29.39","202102","20","4,000","0","5","2017"," "
"전라북도 군산시 수송동","810-6","0810","0006","수송프라임","전세","81.91","202004","16","6,000","0","5","null","수송로 171"
"전라북도 군산시 수송동","810-6","0810","0006","수송프라임","전세","81.91","202006","15","6,000","0","5","null","수송로 171"
"전라북도 군산시 수송동","810-6","0810","0006","수송프라임","전세","81.91","202007","15","7,000","0","5","null","수송로 171"
"전라북도 군산시 수송동","810-6","0810","0006","수송프라임","전세","81.91","202007","24","10,000","0","4","null","수송로 171"
"전라북도 군산시 오식도동","1020","1020","0000","대신파크","월세","48.05","202007","13","500","50","5","2019","새만금북로 424"
"전라북도 군산시 오식도동","1020","1020","0000","대신파크","전세","39.05","202011","19","5,800","0","5","2019","새만금북로 424"
"전라북도 남원시 향교동","153","0153","0000","프라임로즈","전세","83.78","202007","20","15,000","0","8","2015","충정로 129"
"전라북도 부안군 부안읍 서외리","38-10","0038","0010","부안 캐슬온리뷰","월세","47.42","202007","1","1,500","35","2","2020","부풍로 68"
"전라북도 부안군 부안읍 서외리","38-10","0038","0010","부안 캐슬온리뷰","월세","47.53","202009","12","500","45","2","2020","부풍로 68"
"전라북도 부안군 부안읍 서외리","38-10","0038","0010","부안 캐슬온리뷰","월세","46.98","202009","20","2,500","30","2","2020","부풍로 68"
"전라북도 부안군 부안읍 서외리","38-10","0038","0010","부안 캐슬온리뷰","월세","48.6","202012","25","1,500","34","2","2020","부풍로 68"
"전라북도 완주군 삼례읍 삼례리","1319-3","1319","0003","제1동","전세","59.5","202005","15","5,000","0","2","2016","삼례로 405"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","55.95","202003","22","17,000","0","14","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","28.31","202004","2","500","50","8","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","28.31","202004","5","500","50","4","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","28.31","202004","8","500","50","5","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","28.31","202004","22","1,000","45","12","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","28.31","202006","1","4,000","25","4","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202006","17","9,000","0","3","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202006","29","8,040","0","3","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","28.31","202007","6","1,500","23","12","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202007","6","8,000","0","13","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","55.95","202007","21","16,500","0","9","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","28.31","202008","29","5,000","20","6","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202009","19","9,000","0","8","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","28.31","202009","25","1,000","45","13","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","55.95","202010","5","2,000","60","12","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","55.95","202010","7","1,000","65","12","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","55.95","202010","12","16,500","0","14","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202010","31","9,000","0","11","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202011","9","9,000","0","6","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202011","9","9,000","0","5","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202011","19","9,000","0","9","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202011","22","8,500","0","4","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","55.95","202012","11","16,000","0","6","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","28.31","202012","18","4,000","25","10","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202012","30","9,000","0","10","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","28.31","202101","3","3,000","30","13","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","28.31","202101","5","5,000","25","5","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202101","12","8,000","0","13","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202101","18","9,000","0","13","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","월세","55.95","202101","23","2,000","60","11","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202102","1","9,000","0","6","2016","오공로 11-19"
"전라북도 완주군 이서면 갈산리","663-3","0663","0003","엠카운티 오피스텔","전세","28.31","202102","18","9,000","0","12","2016","오공로 11-19"
