"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"제주특별자치도 서귀포시 강정동","1**","다가구","25m미만","160.38","260.6","202012","14","57,000","1994","신서로32번길",""
"제주특별자치도 서귀포시 강정동","2**","다가구","12m미만","398.06","265.8","202004","2","125,000","2017","대청로25번길",""
"제주특별자치도 서귀포시 강정동","1**","다가구","8m미만","214.19","292.9","202011","7","46,000","1995","신서로32번길",""
"제주특별자치도 서귀포시 강정동","1***","다가구","8m미만","330.23","507","202007","20","135,000","2019","염돈로",""
"제주특별자치도 서귀포시 강정동","4**","다가구","8m미만","336.39","651","202009","15","97,400","2016","법환로71번길",""
"제주특별자치도 서귀포시 강정동","5***","단독","8m미만","45.9","222","202102","17","13,000","1992","강정하로",""
"제주특별자치도 서귀포시 강정동","1**","단독","25m미만","465.15","261.4","202003","13","109,000","2018","신서로48번길",""
"제주특별자치도 서귀포시 강정동","1**","단독","8m미만","84.9","272.4","202101","14","40,000","1995","신서로88번길",""
"제주특별자치도 서귀포시 강정동","1**","단독","12m미만","89.16","286.9","202012","31","45,000","1996","신중로13번길",""
"제주특별자치도 서귀포시 강정동","4***","단독","8m미만","84.96","288","202012","22","24,600","1981","용흥로33번길",""
"제주특별자치도 서귀포시 강정동","1**","단독","8m미만","99.78","314.4","202012","7","44,500","2014","신서로98번길",""
"제주특별자치도 서귀포시 강정동","1**","단독","12m미만","96.38","365.7","202012","30","52,000","1996","신서로102번길",""
"제주특별자치도 서귀포시 강정동","4***","단독","12m미만","65.79","424","202006","2","28,750","1971","말질로150번길",""
"제주특별자치도 서귀포시 강정동","4***","단독","12m미만","76.8","471","202003","6","44,000","1993","이어도로",""
"제주특별자치도 서귀포시 강정동","4***","단독","8m미만","62.16","522","202101","26","36,000","1986","용흥로65번길",""
"제주특별자치도 서귀포시 강정동","3***","단독","8m미만","151.78","527","202011","25","55,000","2018","용흥로38번길",""
"제주특별자치도 서귀포시 강정동","3***","단독","8m미만","98.76","531","202011","6","39,900","2003","일주서로",""
"제주특별자치도 서귀포시 강정동","3***","단독","8m미만","151.78","579","202004","14","54,292","2018","용흥로38번길",""
"제주특별자치도 서귀포시 강정동","4**","단독","8m미만","92.22","813","202009","28","50,000","2001","월드컵로",""
"제주특별자치도 서귀포시 강정동","1***","단독","8m미만","38.5","964.5","202101","22","22,200","1974","염돈로28번길",""
"제주특별자치도 서귀포시 강정동","3***","단독","8m미만","72","1042","202011","6","54,600","2016","일주서로",""
"제주특별자치도 서귀포시 강정동","1***","단독","25m이상","59.34","7065","202012","7","256,000","1987","중산간서로",""
"제주특별자치도 서귀포시 남원읍 남원리","1**","단독","12m미만","99.46","116","202010","9","25,000","2014","태위로657번길",""
"제주특별자치도 서귀포시 남원읍 남원리","1***","단독","8m미만","52.89","220","202006","20","22,200","1968","남한로21번길",""
"제주특별자치도 서귀포시 남원읍 남원리","2***","단독","8m미만","75.75","413","202010","20","31,000","2007","태위로495번길",""
