"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"제주특별자치도 서귀포시 강정동","5***","25m미만","22.23","전세","202007","7","4,000","0","2020","이어도로"
"제주특별자치도 서귀포시 강정동","4**","8m미만","22.94","월세","202008","13","100","40","2016","법환로71번길"
"제주특별자치도 서귀포시 강정동","1**","8m미만","23","월세","202102","6","200","30","2017","신북로68번길"
"제주특별자치도 서귀포시 강정동","1***","8m미만","25","월세","202006","20","200","25","2015","신서로"
"제주특별자치도 서귀포시 강정동","1***","12m미만","25","월세","202102","21","150","35","2015","신서로"
"제주특별자치도 서귀포시 강정동","1***","8m미만","25","월세","202006","25","100","40","2015","신서로"
"제주특별자치도 서귀포시 강정동","4**","8m미만","25","전세","202005","1","6,000","0","2016","법환로71번길"
"제주특별자치도 서귀포시 강정동","1***","8m미만","26","월세","202003","2","100","29","2015","신서로"
"제주특별자치도 서귀포시 강정동","1**","25m미만","26","전세","202004","27","5,000","0","2014","신북로"
"제주특별자치도 서귀포시 강정동","1**","8m미만","26.4","전세","202012","13","6,000","0","2013","신서로102번길"
"제주특별자치도 서귀포시 강정동","1**","25m미만","27","월세","202010","8","100","37","2015","신북로"
"제주특별자치도 서귀포시 강정동","1**","12m미만","30","월세","202005","6","100","37","2012","김정문화로27번길"
"제주특별자치도 서귀포시 강정동","1***","12m미만","30","월세","202008","7","150","33","2015","신서로"
"제주특별자치도 서귀포시 강정동","1**","8m미만","30","전세","202005","1","5,000","0","2016","신서로108번길"
"제주특별자치도 서귀포시 강정동","1**","8m미만","30","전세","202004","8","4,900","0","2016","신서로108번길"
"제주특별자치도 서귀포시 강정동","1**","8m미만","30","전세","202005","15","5,000","0","2013","신서로102번길"
"제주특별자치도 서귀포시 강정동","1**","8m미만","30","전세","202010","26","6,000","0","2016","신서로108번길"
"제주특별자치도 서귀포시 강정동","1**","8m미만","30","전세","202003","31","5,000","0","2016","신서로108번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","31","월세","202003","17","200","47","2016","신서로122번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","31.59","전세","202012","19","8,000","0","2014","신서로122번길"
"제주특별자치도 서귀포시 강정동","1**","8m미만","32","월세","202003","27","100","30","2014","신서로88번길"
"제주특별자치도 서귀포시 강정동","5***","-","32.2","전세","202010","31","8,000","0","2016","null"
"제주특별자치도 서귀포시 강정동","4**","8m미만","33","월세","202102","3","200","40","2016","법환로71번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","33","월세","202006","5","2,500","20","2012","신서로122번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","33","월세","202003","28","200","42","2011","신서귀로51번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","33","전세","202012","3","6,000","0","2011","신중로13번길"
"제주특별자치도 서귀포시 강정동","4**","8m미만","33","전세","202007","11","6,000","0","2016","법환로71번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","33","전세","202012","11","7,000","0","2014","신서로122번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","33","전세","202003","13","6,500","0","2014","신서로122번길"
"제주특별자치도 서귀포시 강정동","1**","8m미만","36","월세","202101","6","6,500","10","2016","신서로88번길"
"제주특별자치도 서귀포시 강정동","1**","25m미만","36.36","월세","202011","1","100","35","2016","신북로"
"제주특별자치도 서귀포시 강정동","1**","12m미만","37","월세","202005","1","2,400","22","2017","신서로122번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","39","월세","202004","5","100","29","2004","신서로122번길"
"제주특별자치도 서귀포시 강정동","5***","12m미만","39.7","월세","202006","14","200","43","2016","강정하로"
"제주특별자치도 서귀포시 강정동","1**","-","40","월세","202004","1","100","50","2017","null"
"제주특별자치도 서귀포시 강정동","1**","25m미만","40","월세","202005","28","200","55","2017","신서로"
"제주특별자치도 서귀포시 강정동","4**","8m미만","40","전세","202004","6","7,000","0","2016","법환로71번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","40","전세","202007","7","6,800","0","2017","신서로122번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","40","전세","202007","14","6,800","0","2017","신서로122번길"
"제주특별자치도 서귀포시 강정동","1**","25m미만","40","전세","202006","15","7,000","0","2014","신북로"
"제주특별자치도 서귀포시 강정동","1**","12m미만","40","전세","202004","25","6,000","0","2017","신서로108번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","44","전세","202010","24","9,500","0","2017","신서로122번길"
"제주특별자치도 서귀포시 강정동","1**","25m미만","45","월세","202004","17","200","65","2018","신서로48번길"
"제주특별자치도 서귀포시 강정동","1**","8m미만","45","전세","202102","20","8,000","0","2015","신서로32번길"
"제주특별자치도 서귀포시 강정동","1***","12m미만","46.28","월세","202004","20","150","35","2015","신서로"
"제주특별자치도 서귀포시 강정동","1**","8m미만","49.59","전세","202004","3","10,000","0","2014","신서로48번길"
"제주특별자치도 서귀포시 강정동","4**","8m미만","50","월세","202004","1","300","60","2016","법환로71번길"
"제주특별자치도 서귀포시 강정동","4**","8m미만","50","월세","202004","1","300","60","2016","법환로71번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","50","월세","202011","13","300","53","2016","신서로108번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","50","전세","202102","1","6,500","0","2017","신서로122번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","50","전세","202102","17","7,500","0","2017","신서로122번길"
"제주특별자치도 서귀포시 강정동","1**","8m미만","50","전세","202002","29","10,000","0","2013","신서로48번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","55","월세","202010","6","500","60","2016","신서로108번길"
"제주특별자치도 서귀포시 강정동","2**","12m미만","56","월세","202007","1","500","60","2017","대청로25번길"
"제주특별자치도 서귀포시 강정동","2**","12m미만","56","월세","202004","6","500","60","2017","대청로25번길"
"제주특별자치도 서귀포시 강정동","2**","8m미만","56.9","전세","202006","9","7,000","0","1990","일주서로43번길"
"제주특별자치도 서귀포시 강정동","5***","25m미만","57.99","전세","202011","27","6,000","0","2020","이어도로"
"제주특별자치도 서귀포시 강정동","1**","25m미만","58.03","월세","202101","13","5,000","10","1994","신중로13번길"
"제주특별자치도 서귀포시 강정동","1**","25m미만","58.03","월세","202101","15","5,000","10","1994","신중로13번길"
"제주특별자치도 서귀포시 강정동","1**","8m미만","59.34","월세","202102","28","1,000","58","1994","신서로52번길"
"제주특별자치도 서귀포시 강정동","1**","25m미만","59.43","월세","202007","21","200","50","2011","신서로32번길"
"제주특별자치도 서귀포시 강정동","1**","8m미만","59.85","월세","202102","28","500","43","1994","신서로52번길"
"제주특별자치도 서귀포시 강정동","2**","12m미만","60","월세","202006","18","500","67","2018","대청로25번길"
"제주특별자치도 서귀포시 강정동","2**","12m미만","60","월세","202102","22","700","63","2018","대청로25번길"
"제주특별자치도 서귀포시 강정동","1**","12m미만","60","전세","202012","19","10,000","0","2014","신서로122번길"
"제주특별자치도 서귀포시 강정동","4**","8m미만","64","전세","202010","16","11,000","0","2015","법환로71번길"
"제주특별자치도 서귀포시 강정동","4**","8m미만","64","전세","202003","23","10,000","0","2015","법환로71번길"
"제주특별자치도 서귀포시 강정동","4***","25m미만","66.5","월세","202011","25","100","38","null","강정하로"
