"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"제주특별자치도 서귀포시 동홍동","1368","서귀포 동홍동 센트레빌","84.9196","46,461","3","202009","25","분",""
"제주특별자치도 서귀포시 동홍동","1368","서귀포 동홍동 센트레빌","84.9196","51,216","8","202011","11","분",""
"제주특별자치도 서귀포시 동홍동","1368","서귀포 동홍동 센트레빌","59.8882","31,769","1","202012","26","분",""
"제주특별자치도 서귀포시 동홍동","1368","서귀포 동홍동 센트레빌","84.9196","48,100","4","202101","18","분",""
"제주특별자치도 서귀포시 동홍동","1368","서귀포 동홍동 센트레빌","59.8882","33,400","6","202101","26","분",""
"제주특별자치도 서귀포시 동홍동","1368","서귀포 동홍동 센트레빌","59.8882","35,000","7","202101","31","분",""
"제주특별자치도 서귀포시 동홍동","1368","서귀포 동홍동 센트레빌","84.9757","45,279","2","202102","1","분",""
"제주특별자치도 서귀포시 동홍동","1368","서귀포 동홍동 센트레빌","78.9617","41,900","4","202102","1","분",""
"제주특별자치도 서귀포시 동홍동","1368","서귀포 동홍동 센트레빌","84.9196","45,061","1","202102","1","분",""
"제주특별자치도 서귀포시 동홍동","1368","서귀포 동홍동 센트레빌","84.9196","44,396","1","202102","3","분",""
"제주특별자치도 서귀포시 동홍동","1368","서귀포 동홍동 센트레빌","84.9196","45,700","3","202102","9","분",""
"제주특별자치도 서귀포시 서홍동","2598","서강파인힐6차","84.045","36,800","6","202101","13","분",""
