"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"제주특별자치도 서귀포시 강정동","집합","2***","이어도로","자연녹지","숙박","25m미만","5.27"," ","500","null","202004","9"," ","2006",""
"제주특별자치도 서귀포시 강정동","집합","1**","김정문화로27번길","일반상업","숙박","8m미만","17.58"," ","10,850","10","202004","13"," ","2017",""
"제주특별자치도 서귀포시 강정동","집합","1**","김정문화로27번길","일반상업","숙박","8m미만","17.58"," ","10,850","10","202004","13"," ","2017",""
"제주특별자치도 서귀포시 강정동","일반","7**","이어도로","자연녹지","제2종근린생활","8m미만","372.88","2137.00","179,000","null","202007","12"," ","2017",""
"제주특별자치도 서귀포시 강정동","집합","2***","이어도로","자연녹지","숙박","25m미만","5.27"," ","850","null","202007","30"," ","2006",""
"제주특별자치도 서귀포시 강정동","집합","2***","이어도로","자연녹지","숙박","25m미만","5.27"," ","1,100","null","202008","27"," ","2006",""
"제주특별자치도 서귀포시 강정동","집합","2**","대청로","준주거","제1종근린생활","25m미만","163.24"," ","65,000","2","202009","24"," ","2017",""
"제주특별자치도 서귀포시 강정동","일반","2***","-","자연녹지","제1종근린생활","25m미만","499.39","1681.00","254,900","null","202010","29"," ","2012",""
"제주특별자치도 서귀포시 강정동","집합","1**","대청로","제2종일반주거","제2종근린생활","25m미만","35.1"," ","38,200","1","202012","31"," ","2016",""
"제주특별자치도 서귀포시 강정동","집합","2***","이어도로","자연녹지","숙박","25m미만","5.27"," ","600","null","202102","2"," ","1998",""
"제주특별자치도 서귀포시 남원읍 남원리","집합","2***","태위로","자연녹지","숙박","12m미만","22.4"," ","18,375","4","202003","31"," ","2007",""
"제주특별자치도 서귀포시 남원읍 남원리","집합","2***","태위로","자연녹지","숙박","12m미만","22.4"," ","17,905","4","202009","16"," ","2007",""
"제주특별자치도 서귀포시 남원읍 남원리","일반","1***","일주동로","제2종일반주거","제2종근린생활","25m이상","186.28","890.00","110,700","null","202010","30"," ","2002",""
"제주특별자치도 서귀포시 남원읍 남원리","일반","4*","태위로","일반상업","제2종근린생활","25m미만","196.9","207.00","68,000","null","202011","3"," ","2007","20201210"
"제주특별자치도 서귀포시 남원읍 남원리","집합","2***","태위로","자연녹지","숙박","12m미만","44.8"," ","36,750","4","202011","9"," ","2007",""
"제주특별자치도 서귀포시 남원읍 남원리","집합","2***","태위로","자연녹지","숙박","12m미만","22.4"," ","14,700","4","202011","16"," ","2007",""
"제주특별자치도 서귀포시 남원읍 남원리","일반","4*","태위로","일반상업","제2종근린생활","25m미만","196.9","207.00","68,000","null","202011","21"," ","2007",""
