"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","월세","39.76","202003","24","8,257","4","2","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","월세","59.97","202003","30","6,227","21","8","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","전세","84.91","202003","30","17,634","0","2","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","월세","39.76","202004","8","6,275","9","1","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","월세","39.76","202005","6","6,605","9","2","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","월세","39.76","202005","21","4,718","14","2","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","전세","84.91","202010","13","17,634","0","10","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","전세","59.97","202012","1","11,832","0","1","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","월세","59.97","202012","23","8,718","8","9","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","월세","84.91","202012","27","14,812","8","4","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","월세","39.76","202101","4","6,935","4","3","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","월세","84.91","202101","21","14,812","8","4","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","전세","59.97","202101","25","11,832","0","10","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","전세","84.91","202101","28","17,634","0","3","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","189","0189","0000","강정상록아파트","월세","39.76","202102","2","6,068","5","3","2015","신서로 55"
"제주특별자치도 서귀포시 강정동","165-4","0165","0004","다온빌","월세","26.54","202003","17","200","30","2","2016","김정문화로27번길 9-2"
"제주특별자치도 서귀포시 강정동","165-4","0165","0004","다온빌","월세","26.54","202004","20","300","35","4","2016","김정문화로27번길 9-2"
"제주특별자치도 서귀포시 강정동","165-4","0165","0004","다온빌","월세","26.54","202004","27","300","35","4","2016","김정문화로27번길 9-2"
"제주특별자치도 서귀포시 강정동","165-4","0165","0004","다온빌","전세","26.54","202004","29","6,000","0","5","2016","김정문화로27번길 9-2"
"제주특별자치도 서귀포시 강정동","165-4","0165","0004","다온빌","월세","25.92","202005","11","300","35","3","2016","김정문화로27번길 9-2"
"제주특별자치도 서귀포시 강정동","165-4","0165","0004","다온빌","월세","25.92","202006","8","300","35","5","2016","김정문화로27번길 9-2"
"제주특별자치도 서귀포시 강정동","165-4","0165","0004","다온빌","월세","27.09","202010","17","300","42","3","2016","김정문화로27번길 9-2"
"제주특별자치도 서귀포시 강정동","165-4","0165","0004","다온빌","월세","26.54","202101","4","300","35","4","2016","김정문화로27번길 9-2"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","전세","84.9789","202003","9","27,000","0","8","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","월세","84.9789","202003","19","20,000","29","1","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","월세","84.9789","202004","7","1,000","83","3","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","월세","84.9789","202004","16","1,000","83","3","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","월세","84.9789","202005","1","5,000","58","6","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","전세","84.9789","202005","12","27,000","0","10","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","전세","84.9789","202005","25","26,000","0","6","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","월세","84.9789","202006","5","10,000","33","10","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","전세","84.9789","202006","18","27,000","0","10","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","월세","84.9789","202006","23","1,000","92","6","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","전세","84.9789","202007","17","26,000","0","3","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","월세","84.9789","202009","14","1,000","87","11","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","월세","84.9789","202009","17","1,000","92","3","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","월세","84.9789","202010","19","1,000","100","7","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","전세","84.9789","202010","31","24,900","0","9","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","전세","84.9789","202011","19","29,000","0","10","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","전세","84.9789","202012","1","27,300","0","10","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","월세","84.9789","202012","8","1,000","100","4","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","전세","84.9789","202012","19","23,000","0","6","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","전세","84.9789","202012","22","28,000","0","10","2017","대청로 11"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","전세","84.9789","202012","23","30,000","0","7","2017","대청로 11"
