"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"제주특별자치도 서귀포시 강정동","886-1","0886","0001","The space blue","전세","69.57","202003","28","17,000","0","2","2017","이어도로 786"
"제주특별자치도 서귀포시 강정동","886-1","0886","0001","The space blue","전세","69.57","202003","28","17,000","0","2","2017","이어도로 786"
"제주특별자치도 서귀포시 강정동","886-1","0886","0001","The space blue","월세","69.57","202004","13","1,000","67","2","2017","이어도로 786"
"제주특별자치도 서귀포시 강정동","886-1","0886","0001","The space blue","전세","69.57","202009","11","19,000","0","3","2017","이어도로 786"
"제주특별자치도 서귀포시 강정동","886-1","0886","0001","The space blue","전세","69.57","202009","15","21,000","0","3","2017","이어도로 786"
"제주특별자치도 서귀포시 강정동","886-1","0886","0001","The space blue","전세","69.57","202101","21","21,000","0","3","2017","이어도로 786"
"제주특별자치도 서귀포시 강정동","886-1","0886","0001","The space blue","전세","69.57","202102","24","20,000","0","1","2017","이어도로 786"
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","월세","84.3407","202003","9","1,000","60","2","2017","신서로 85"
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","월세","84.3407","202004","10","3,000","67","4","2017","신서로 85"
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","전세","84.3407","202006","26","21,000","0","4","2017","신서로 85"
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","전세","84.3407","202009","14","20,500","0","3","2017","신서로 85"
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","월세","84.3407","202009","15","1,000","71","3","2017","신서로 85"
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","전세","84.3407","202101","19","27,000","0","4","2017","신서로 85"
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","전세","84.3407","202003","2","21,500","0","4","2017","신서로 89"
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","월세","84.3407","202003","9","1,000","73","4","2017","신서로 89"
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","전세","84.3407","202003","26","20,000","0","3","2017","신서로 89"
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","전세","60.4242","202004","25","13,000","0","2","2017","신서로 89"
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","전세","84.3407","202008","24","20,000","0","3","2017","신서로 89"
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","전세","84.3407","202011","29","21,000","0","1","2017","신서로 89"
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","전세","84.3407","202012","1","19,000","0","2","2017","신서로 89"
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","월세","84.3407","202012","18","1,000","90","4","2017","신서로 89"
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","전세","84.3407","202012","19","21,000","0","4","2017","신서로 89"
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","전세","84.3407","202101","12","21,000","0","1","2017","신서로 89"
"제주특별자치도 서귀포시 강정동","3404","3404","0000","강정리버힐스","월세","111.0848","202004","10","1,000","100","1","2018","일주서로176번길 51"
"제주특별자치도 서귀포시 강정동","1544","1544","0000","강정윈저캐슬","전세","57.9","202005","26","13,000","0","2","2016","중산간서로 70"
"제주특별자치도 서귀포시 강정동","1544","1544","0000","강정윈저캐슬","전세","57.9","202011","24","15,000","0","3","2016","중산간서로 70"
"제주특별자치도 서귀포시 강정동","1544","1544","0000","강정윈저캐슬","전세","57.9","202012","13","15,000","0","3","2016","중산간서로 70"
"제주특별자치도 서귀포시 강정동","1544","1544","0000","강정윈저캐슬","전세","57.9","202012","19","15,000","0","3","2016","중산간서로 70"
"제주특별자치도 서귀포시 강정동","1416-3","1416","0003","강정지예타운","전세","68.685","202006","3","17,000","0","2","2016","신서로 69"
"제주특별자치도 서귀포시 강정동","1416-3","1416","0003","강정지예타운","월세","68.685","202011","15","1,000","60","3","2016","신서로 69"
"제주특별자치도 서귀포시 강정동","1416-2","1416","0002","강정지예타운103","월세","68.685","202101","29","1,000","67","1","2016","신서로 73"
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","전세","84.3407","202003","5","17,000","0","1","2017","신서로 87"
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","전세","84.3407","202003","5","17,000","0","1","2017","신서로 87"
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","월세","84.3407","202003","12","4,000","58","4","2017","신서로 87"
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","월세","84.3407","202003","14","500","67","3","2017","신서로 87"
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","월세","84.3407","202006","23","2,000","70","4","2017","신서로 87"
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","전세","84.3407","202008","4","18,000","0","2","2017","신서로 87"
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","전세","84.3407","202009","3","23,000","0","1","2017","신서로 87"
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","전세","84.3407","202009","3","23,000","0","1","2017","신서로 87"
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","전세","84.3407","202011","2","21,000","0","3","2017","신서로 87"
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","전세","84.3407","202011","4","19,000","0","3","2017","신서로 87"
"제주특별자치도 서귀포시 강정동","166-10","0166","0010","갤럭시하우스","월세","145.4","202004","24","300","63","5","2017","신서귀로97번길 55"
"제주특별자치도 서귀포시 강정동","166-10","0166","0010","갤럭시하우스","월세","61.87","202007","6","300","60","4","2017","신서귀로97번길 55"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","95.48","202004","16","18,000","0","2","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","월세","95.64","202005","11","1,000","67","3","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","99.05","202005","27","16,000","0","2","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","월세","99.05","202007","10","1,000","67","3","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","95.64","202007","31","16,000","0","1","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","99.05","202008","6","19,000","0","2","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","95.48","202009","25","21,000","0","3","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","95.48","202010","30","16,000","0","3","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","99.05","202011","9","20,000","0","1","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","월세","99.05","202011","15","1,000","67","3","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","99.05","202011","23","20,000","0","2","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","95.64","202012","1","18,000","0","3","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","95.64","202012","7","18,000","0","1","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","월세","95.64","202012","8","1,000","55","3","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","95.64","202101","15","19,000","0","1","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","95.64","202101","17","17,000","0","3","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","95.48","202102","16","16,800","0","3","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","전세","95.64","202102","26","18,000","0","3","1995","신서귀로97번길 87"
"제주특별자치도 서귀포시 강정동","379-5","0379","0005","루미안1차","전세","70.225","202004","24","16,000","0","2","2017","선반로 27"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","1","14,000","0","3","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","4","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","4","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","10","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","10","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","10","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","11","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","11","14,000","0","3","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","12","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","12","14,000","0","3","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","16","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","18","14,000","0","3","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","18","18,000","0","4","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","19","14,000","0","3","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","19","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","21","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","21","18,000","0","4","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","21","18,000","0","4","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","24","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","24","14,000","0","3","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","25","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","25","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","25","14,000","0","3","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","25","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","25","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","25","14,000","0","3","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","25","14,000","0","3","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","26","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","26","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","26","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","26","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202009","26","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202010","6","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202010","6","14,000","0","3","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202010","7","18,000","0","4","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202010","7","18,000","0","4","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202010","9","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202010","12","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202010","13","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202010","29","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202010","29","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202010","31","14,000","0","2","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202010","31","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202011","1","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202011","10","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202011","10","14,000","0","1","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","전세","84.9198","202101","21","14,000","0","3","2019","일주서로 149"
"제주특별자치도 서귀포시 강정동","178","0178","0000","서호2차현대맨션","전세","59.54","202008","27","12,000","0","1","1994","김정문화로 6"
"제주특별자치도 서귀포시 강정동","178","0178","0000","서호2차현대맨션","전세","73.86","202009","21","14,000","0","2","1994","김정문화로 6"
"제주특별자치도 서귀포시 강정동","178","0178","0000","서호2차현대맨션","전세","73.86","202009","21","15,000","0","2","1994","김정문화로 6"
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","전세","59.95","202003","3","10,000","0","3","1995","신서귀로97번길 84"
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","전세","74.27","202005","21","11,000","0","1","1995","신서귀로97번길 84"
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","전세","74.27","202005","24","13,000","0","2","1995","신서귀로97번길 84"
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","전세","74.27","202011","6","12,000","0","3","1995","신서귀로97번길 84"
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","월세","59.95","202011","24","300","60","1","1995","신서귀로97번길 84"
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","월세","74.27","202012","10","500","63","2","1995","신서귀로97번길 84"
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","전세","59.95","202101","22","11,000","0","2","1995","신서귀로97번길 84"
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","전세","74.27","202101","24","16,000","0","2","1995","신서귀로97번길 84"
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","월세","59.95","202101","28","200","50","1","1995","신서귀로97번길 84"
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","전세","59.95","202102","16","11,500","0","3","1995","신서귀로97번길 84"
"제주특별자치도 서귀포시 강정동","1053-7","1053","0007","아너스빌","전세","78.48","202008","7","15,500","0","2","2015","선반로 32"
"제주특별자치도 서귀포시 강정동","1053","1053","0000","아너스빌C","월세","63.768","202007","2","500","50","3","2016","선반로 38"
"제주특별자치도 서귀포시 강정동","3373","3373","0000","제주펜트하우스","전세","91.38","202003","13","10,000","0","2","2004","일주서로 166-58"
"제주특별자치도 서귀포시 강정동","3373","3373","0000","제주펜트하우스","전세","62.73","202006","10","9,000","0","1","2004","일주서로 166-58"
"제주특별자치도 서귀포시 강정동","3378-2","3378","0002","제주펜트하우스(3378-2)","월세","84.93","202011","6","500","83","1","2003","일주서로 166-61"
"제주특별자치도 서귀포시 강정동","5425-1","5425","0001","푸른빌","전세","70.205","202004","8","15,000","0","4","2017","강정통물로83번길 17"
"제주특별자치도 서귀포시 강정동","5425-1","5425","0001","푸른빌","전세","70.205","202012","7","13,000","0","2","2017","강정통물로83번길 17"
"제주특별자치도 서귀포시 강정동","2919-1","2919","0001","호가","전세","69.24","202003","16","13,000","0","2","2017","말질로161번길 10-1"
"제주특별자치도 서귀포시 강정동","2919-1","2919","0001","호가","전세","57.24","202004","9","14,000","0","3","2017","말질로161번길 10-1"
"제주특별자치도 서귀포시 강정동","2919-1","2919","0001","호가","전세","63.54","202005","15","13,000","0","2","2017","말질로161번길 10-1"
"제주특별자치도 서귀포시 남원읍 남원리","1147","1147","0000","남원반석타운","전세","49.986","202003","5","500","0","4","2001","남위남성로 10-8"
"제주특별자치도 서귀포시 남원읍 남원리","1147","1147","0000","남원반석타운","전세","59.5454","202008","3","10,000","0","3","2001","남위남성로 10-8"
"제주특별자치도 서귀포시 남원읍 남원리","1147","1147","0000","남원반석타운","월세","59.5454","202101","22","500","42","2","2001","남위남성로 10-8"
"제주특별자치도 서귀포시 남원읍 남원리","1147","1147","0000","남원반석타운","전세","49.986","202102","16","4,000","0","3","2001","남위남성로 10-8"
"제주특별자치도 서귀포시 남원읍 남원리","217-5","0217","0005","숲으로빌(숲으로풀룸)","월세","60.8098","202008","21","1,000","67","2","2014","남조로 27"
