"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"제주특별자치도 서귀포시 남원읍 남원리","1434-3","1434","3","남원 아이진","84.99","202101","27","27,850","2","null"," ",""
"제주특별자치도 서귀포시 남원읍 위미리","4171-3","4171","3","위미 캐슬 휘닉스","84.9","202010","14","18,000","3","2018"," ",""
"제주특별자치도 서귀포시 남원읍 위미리","4171-3","4171","3","위미 캐슬 휘닉스","84.89","202011","18","22,500","3","2018"," ",""
"제주특별자치도 서귀포시 남원읍 위미리","4171-3","4171","3","위미 캐슬 휘닉스","84.97","202012","24","20,000","2","2018"," ",""
"제주특별자치도 서귀포시 대정읍 보성리","2476-10","2476","10","남영에듀클래스","24.89","202006","30","11,000","3","2017"," ","20200718"
"제주특별자치도 서귀포시 대정읍 보성리","2476-10","2476","10","남영에듀클래스","24.89","202006","30","11,000","3","2017"," ",""
"제주특별자치도 서귀포시 대정읍 보성리","2477","2477","0","이노에듀파크","27.97","202008","26","14,000","2","2018","글로벌에듀로 370",""
"제주특별자치도 서귀포시 대정읍 보성리","2477","2477","0","이노에듀파크","27.97","202010","14","10,000","2","2018","글로벌에듀로 370","20201207"
"제주특별자치도 서귀포시 대정읍 보성리","2477","2477","0","이노에듀파크","27.97","202012","7","10,000","2","2018","글로벌에듀로 370",""
"제주특별자치도 서귀포시 대정읍 보성리","2476-13","2476","13","제주 이노에듀타운","25.74","202012","2","10,000","3","2016","글로벌에듀로 382",""
