"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202003","15","11,000","0","3","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202003","23","13,200","0","6","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","27.84","202003","31","11,000","0","4","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","48.19","202004","1","17,000","0","8","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202005","28","13,000","0","7","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","22.08","202006","3","7,500","0","4","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202006","5","11,000","0","5","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202006","8","13,000","0","9","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","48.19","202006","8","15,000","0","2","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202006","19","11,000","0","7","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","22.08","202006","22","7,500","0","8","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202007","1","11,500","0","9","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","48.19","202007","10","15,000","0","6","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","48.19","202008","31","16,000","0","7","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202009","1","11,500","0","5","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202009","3","11,400","0","4","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","22.08","202009","8","7,500","0","5","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202009","14","10,000","0","2","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202009","21","11,500","0","6","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202009","21","11,500","0","8","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","22.08","202010","19","7,500","0","4","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","월세","48.19","202011","25","500","67","9","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202011","28","11,000","0","3","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","22.08","202101","14","7,000","0","2","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","27.84","202101","23","10,000","0","5","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","월세","61.24","202101","30","10,000","25","9","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","155-4","0155","0004","(155-4)","전세","32.18","202102","19","10,000","0","4","2018","신서귀로51번길 32"
"제주특별자치도 서귀포시 강정동","157","0157","0000","더원","월세","26.93","202004","17","300","50","8","null","신서귀로51번길 27"
"제주특별자치도 서귀포시 강정동","157","0157","0000","더원","월세","26.93","202006","10","5,000","17","9","null","신서귀로51번길 27"
"제주특별자치도 서귀포시 강정동","157","0157","0000","더원","월세","26.93","202008","12","300","40","6","null","신서귀로51번길 27"
"제주특별자치도 서귀포시 강정동","157","0157","0000","더원","월세","26.93","202008","17","300","37","5","null","신서귀로51번길 27"
"제주특별자치도 서귀포시 강정동","208-5","0208","0005","세종안채오피스텔","월세","23.34","202003","7","100","38","6","2017"," "
"제주특별자치도 서귀포시 강정동","208-5","0208","0005","세종안채오피스텔","전세","23.34","202003","12","6,500","0","3","2017"," "
"제주특별자치도 서귀포시 강정동","208-5","0208","0005","세종안채오피스텔","전세","23.34","202003","30","7,500","0","4","2017"," "
"제주특별자치도 서귀포시 강정동","208-5","0208","0005","세종안채오피스텔","월세","23.34","202004","27","300","28","3","2017"," "
"제주특별자치도 서귀포시 강정동","208-5","0208","0005","세종안채오피스텔","전세","23.34","202004","29","6,500","0","7","2017"," "
"제주특별자치도 서귀포시 강정동","208-5","0208","0005","세종안채오피스텔","전세","44.49","202005","13","10,000","0","4","2017"," "
"제주특별자치도 서귀포시 강정동","208-5","0208","0005","세종안채오피스텔","전세","23.34","202005","28","6,000","0","3","2017"," "
"제주특별자치도 서귀포시 강정동","208-5","0208","0005","세종안채오피스텔","월세","23.34","202006","2","300","38","6","2017"," "
"제주특별자치도 서귀포시 강정동","208-5","0208","0005","세종안채오피스텔","월세","23.34","202006","8","200","37","4","2017"," "
