"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"제주특별자치도 서귀포시 성산읍 신풍리","1***","임야","계획관리지역","-","202002","29","66","180","지분",""
"제주특별자치도 서귀포시 성산읍 신풍리","1***","임야","계획관리지역","12m미만","202002","29","6","20","지분",""
"제주특별자치도 제주시 한림읍 옹포리","9**","전","자연녹지지역","-","202002","29","876","3,300"," ",""
"제주특별자치도 제주시 애월읍 유수암리","6**","전","계획관리지역","8m미만","202002","29","3154","35,000"," ",""
"제주특별자치도 제주시 한경면 두모리","1***","임야","생산관리지역","8m미만","202003","2","49","1,035","지분",""
"제주특별자치도 제주시 한림읍 상명리","1***","임야","생산녹지지역","-","202003","2","99","1,290","지분",""
"제주특별자치도 제주시 회천동","2***","과수원","자연녹지지역","8m미만","202003","2","347","1,336"," ",""
"제주특별자치도 제주시 한경면 두모리","1***","임야","생산관리지역","8m미만","202003","2","66","1,380","지분",""
"제주특별자치도 제주시 회천동","산*","임야","보전관리지역","-","202003","2","331","1,990","지분",""
"제주특별자치도 제주시 조천읍 북촌리","1***","전","생산관리지역","-","202003","2","1821","10,700"," ","20200506"
"제주특별자치도 서귀포시 하예동","3**","전","제2종일반주거지역","25m미만","202003","2","1945","115,000"," ",""
"제주특별자치도 서귀포시 대정읍 안성리","1***","도로","계획관리지역","8m미만","202003","2","37.58","137","지분",""
"제주특별자치도 서귀포시 성산읍 시흥리","8**","과수원","제1종일반주거지역","8m미만","202003","2","798.7","15,000"," ",""
"제주특별자치도 서귀포시 도순동","1***","도로","자연녹지지역","-","202003","2","23","177"," ",""
"제주특별자치도 서귀포시 안덕면 화순리","1***","과수원","자연녹지지역","-","202003","2","785","18,000"," ",""
"제주특별자치도 제주시 한경면 두모리","1***","임야","생산관리지역","8m미만","202003","2","99","2,070","지분",""
"제주특별자치도 제주시 한림읍 상명리","1***","임야","생산녹지지역","-","202003","2","199","2,580","지분",""
"제주특별자치도 제주시 오등동","산1**","임야","생산관리지역","-","202003","2","28612","22,000"," ",""
"제주특별자치도 서귀포시 남원읍 태흥리","1**","과수원","계획관리지역","25m이상","202003","2","552","23,377"," ",""
"제주특별자치도 제주시 도평동","2**","과수원","자연녹지지역","-","202003","2","401","23,500"," ",""
"제주특별자치도 서귀포시 대정읍 안성리","1***","도로","계획관리지역","8m미만","202003","2","8.09","29","지분",""
"제주특별자치도 제주시 한경면 두모리","1***","임야","생산관리지역","8m미만","202003","2","165","3,450","지분",""
"제주특별자치도 제주시 한경면 조수리","3***","전","생산관리지역","-","202003","2","1296","3,600"," ",""
"제주특별자치도 제주시 조천읍 대흘리","1***","임야","생산관리지역","8m미만","202003","2","187.33","300","지분",""
"제주특별자치도 서귀포시 대정읍 안성리","1***","도로","계획관리지역","-","202003","2","9.33","34","지분",""
"제주특별자치도 제주시 조천읍 대흘리","1***","임야","생산관리지역","-","202003","2","218.67","350","지분",""
"제주특별자치도 서귀포시 대정읍 일과리","1***","전","자연녹지지역","-","202003","2","1990","36,120"," ",""
"제주특별자치도 제주시 한경면 두모리","1***","임야","생산관리지역","8m미만","202003","2","198","4,140","지분",""
"제주특별자치도 서귀포시 안덕면 동광리","7*","임야","계획관리지역","8m미만","202003","2","539","4,914"," ",""
"제주특별자치도 서귀포시 표선면 세화리","9**","과수원","계획관리지역","-","202003","2","2930","40,000"," ",""
"제주특별자치도 서귀포시 안덕면 화순리","1***","과수원","자연녹지지역","-","202003","2","1785","40,800"," ",""
"제주특별자치도 서귀포시 남원읍 태흥리","1**","과수원","계획관리지역","25m이상","202003","2","10","424"," ",""
"제주특별자치도 서귀포시 도순동","1***","도로","자연녹지지역","-","202003","2","6","46"," ",""
"제주특별자치도 서귀포시 안덕면 화순리","1***","전","자연녹지지역","8m미만","202003","2","17","500","지분",""
"제주특별자치도 서귀포시 안덕면 화순리","1***","과수원","자연녹지지역","25m미만","202003","2","754","51,600"," ",""
"제주특별자치도 서귀포시 표선면 가시리","2***","임야","계획관리지역","8m미만","202003","2","3306","6,500","지분",""
"제주특별자치도 제주시 한림읍 월림리","1**","전","생산관리지역","8m미만","202003","2","659","6,500"," ",""
"제주특별자치도 제주시 회천동","산*","임야","보전관리지역","-","202003","2","331","615","지분",""
"제주특별자치도 제주시 한경면 두모리","1***","임야","생산관리지역","8m미만","202003","2","336","7,038","지분",""
"제주특별자치도 서귀포시 안덕면 동광리","7*","임야","계획관리지역","8m미만","202003","2","887","8,086"," ",""
"제주특별자치도 서귀포시 안덕면 화순리","1***","과수원","자연녹지지역","-","202003","2","197","9,600"," ",""
"제주특별자치도 제주시 한경면 두모리","1***","도로","계획관리지역","-","202003","3","2","1","지분",""
"제주특별자치도 서귀포시 성산읍 삼달리","1***","임야","계획관리지역","8m미만","202003","3","838","1,260"," ",""
"제주특별자치도 제주시 한경면 고산리","2***","대","자연녹지지역","8m미만","202003","3","16.5","1,490","지분",""
"제주특별자치도 서귀포시 남원읍 신흥리","1***","임야","계획관리지역","-","202003","3","391","1,600"," ",""
"제주특별자치도 제주시 한경면 두모리","1***","전","계획관리지역","8m미만","202003","3","387","1,899","지분",""
"제주특별자치도 서귀포시 상예동","4***","목장용지","자연녹지지역","-","202003","3","3174","10,560"," ",""
"제주특별자치도 서귀포시 대정읍 영락리","1***","전","계획관리지역","-","202003","3","2607","11,900"," ",""
