"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"충청남도 계룡시 금암동","1**","단독","12m미만","162.14","232.3","202011","18","30,000","2014","장안4길",""
"충청남도 계룡시 금암동","1**","단독","12m미만","124.92","253.7","202008","8","34,700","2018","장안4길",""
"충청남도 계룡시 두마면 농소리","3**","단독","8m미만","47.6","228","202009","28","5,500","1975","대실길",""
"충청남도 계룡시 두마면 농소리","6**","단독","8m미만","99.36","536","202007","16","18,780","2014","대실길",""
"충청남도 계룡시 두마면 두계리","4*","단독","8m미만","132.82","159","202011","3","11,000","1995","팥거리1길",""
"충청남도 계룡시 두마면 두계리","3*","단독","8m미만","76","332.5","202007","17","13,900","1945","팥거리1길",""
"충청남도 계룡시 두마면 왕대리","2**","단독","8m미만","57.12","243.5","202011","20","10,290","1940","왕대로",""
"충청남도 계룡시 엄사면 광석리","2**","단독","8m미만","59","491.7","202003","25","10,000","1979","광석향한1길",""
"충청남도 계룡시 엄사면 광석리","1**","단독","8m미만","313.2","1167","202006","1","45,000","2000","광석향한길",""
"충청남도 계룡시 엄사면 도곡리","1**","단독","8m미만","67.77","190","202005","4","7,300","1990","도곡2길",""
"충청남도 계룡시 엄사면 도곡리","2**","단독","8m미만","53.6","246","202101","8","9,200","2015","장자동길",""
"충청남도 계룡시 엄사면 엄사리","1**","다가구","8m미만","213.97","231.3","202007","21","28,500","2002","전원2길",""
"충청남도 계룡시 엄사면 엄사리","3**","다가구","8m미만","245.48","232","202102","27","37,000","2017","번영10길",""
"충청남도 계룡시 엄사면 엄사리","1**","다가구","12m미만","395.94","239.3","202012","23","59,000","2010","전원1길","20210111"
"충청남도 계룡시 엄사면 엄사리","3**","다가구","25m이상","451.34","289.2","202010","16","61,000","2000","번영로",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","12m미만","130.1","232.7","202004","15","28,000","2012","번영2길",""
"충청남도 계룡시 엄사면 엄사리","3**","단독","25m미만","397.39","233.2","202006","1","55,000","2018","번영10길",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","12m미만","260.04","236.4","202007","15","35,500","1994","번영2길",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","25m미만","93.72","244","202012","16","27,000","2015","전원로",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","8m미만","417.6","245.7","202003","3","70,000","2011","전원로",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","12m미만","84.35","247.3","202012","19","36,000","2018","번영8길",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","25m미만","365.24","248.7","202008","18","39,250","1996","번영3길",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","25m미만","165.72","250.8","202010","19","52,000","2018","전원로","20210113"
"충청남도 계룡시 엄사면 엄사리","2**","단독","25m미만","250.6","250.8","202010","19","52,000","2018","전원로",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","12m미만","92.79","253.2","202008","31","14,000","1992","번영5길",""
"충청남도 계룡시 엄사면 엄사리","3**","단독","25m이상","391.2","253.7","202102","20","83,000","2017","번영로",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","8m미만","182.71","255.4","202007","9","17,100","2011","전원2길",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","8m미만","97.83","255.6","202007","4","34,000","2019","전원2길",""
"충청남도 계룡시 엄사면 엄사리","3**","단독","12m미만","181.87","256.9","202003","25","38,000","2006","번영11길",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","25m미만","274.48","259","202101","29","47,000","2002","전원로",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","8m미만","379.59","260.8","202005","7","37,000","1998","번영4길",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","8m미만","148.48","271.5","202010","31","45,500","2013","전원2길",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","8m미만","149.91","273.7","202006","30","30,700","2013","번영2길",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","8m미만","145.71","275.5","202008","19","30,000","2005","번영2길",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","25m미만","462.98","278.7","202006","13","70,000","2013","전원로",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","8m미만","114.72","317","202012","1","35,000","2014","번영8길",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","8m미만","114.72","317","202012","1","34,500","2014","번영8길","20201219"
"충청남도 계룡시 엄사면 향한리","5**","단독","8m미만","63.73","264","202011","30","4,000","1945","향적산1길",""
"충청남도 공주시 검상동","5*","단독","8m미만","123.57","529","202003","21","23,000","2013","백제큰길",""
"충청남도 공주시 검상동","5*","단독","8m미만","153.19","597","202003","10","28,000","2015","백제큰길",""
"충청남도 공주시 계룡면 경천리","3**","단독","12m미만","98.52","90","202009","22","3,500","1986","신원사로",""
"충청남도 공주시 계룡면 경천리","6*","단독","12m미만","239.5","324","202010","21","14,700","1998","신원사로",""
"충청남도 공주시 계룡면 경천리","2**","단독","8m미만","98.4","444.5","202006","2","3,140","1992","용머리길",""
"충청남도 공주시 계룡면 경천리","5*","단독","8m미만","70","469","202012","28","10,411","1989","돌정길","20201228"
"충청남도 공주시 계룡면 경천리","5*","단독","8m미만","70","469","202012","28","10,400","1989","돌정길",""
"충청남도 공주시 계룡면 경천리","1**","단독","8m미만","102.93","618","202007","6","3,700","1970","성밑길",""
"충청남도 공주시 계룡면 경천리","1**","단독","8m미만","45","670","202006","22","6,000","2013","성밑길",""
"충청남도 공주시 계룡면 금대리","*","단독","8m미만","94.17","620","202009","22","17,500","1999","삽작골1길",""
"충청남도 공주시 계룡면 내흥리","6**","단독","12m미만","94.37","351","202005","1","11,244","1999","왕흥장악로",""
"충청남도 공주시 계룡면 내흥리","6*","단독","8m미만","98","470","202010","15","24,000","2008","윗난댕이길",""
"충청남도 공주시 계룡면 내흥리","6**","단독","8m미만","79.17","684","202010","21","14,000","2016","시화산2길",""
"충청남도 공주시 계룡면 봉명리","1**","단독","8m미만","92.4","357","202009","18","11,000","1977","신봉길","20201020"
"충청남도 공주시 계룡면 봉명리","1**","단독","8m미만","92.4","357","202010","20","11,000","1977","신봉길",""
"충청남도 공주시 계룡면 봉명리","1**","단독","8m미만","85.8","378","202101","25","9,500","1977","신봉길",""
"충청남도 공주시 계룡면 상성리","8*","단독","12m미만","186.49","861","202102","15","13,094","1988","구부내로",""
"충청남도 공주시 계룡면 양화리","5**","단독","8m미만","74.12","594","202003","24","7,050","2006","밖쇠실길",""
"충청남도 공주시 계룡면 양화리","5**","단독","12m미만","113.19","800","202011","5","13,350","2015","신원사로",""
"충청남도 공주시 계룡면 월암리","3**","단독","8m미만","84.69","215.3","202007","30","8,000","1994","문화2길",""
"충청남도 공주시 계룡면 월암리","2*","단독","8m미만","46.2","321","202005","20","5,000","1970","마방길",""
"충청남도 공주시 계룡면 월암리","3**","단독","8m미만","84.6","330.2","202011","4","12,000","1994","문화1길",""
"충청남도 공주시 계룡면 월암리","3**","단독","8m미만","84.6","330.2","202003","24","9,800","1994","문화1길",""
"충청남도 공주시 계룡면 월암리","3**","단독","8m미만","116.79","370.1","202012","25","25,000","1999","문화1길",""
"충청남도 공주시 계룡면 월암리","9*","단독","8m미만","269.19","777","202101","15","42,500","2001","월암송정길",""
"충청남도 공주시 계룡면 유평리","5*","단독","8m미만","1008","2275","202011","20","30,000","2009","null",""
"충청남도 공주시 계룡면 중장리","7**","단독","12m미만","160.26","129","202005","13","4,000","1978","갑사로",""
"충청남도 공주시 계룡면 중장리","1**","단독","8m미만","142.57","401","202009","21","13,700","1979","소라티길",""
"충청남도 공주시 계룡면 중장리","6**","단독","8m미만","70.43","495","202005","4","7,600","2005","갑골길",""
"충청남도 공주시 계룡면 중장리","4**","단독","8m미만","91.55","500","202003","9","16,300","2009","오미2길",""
"충청남도 공주시 계룡면 중장리","4**","단독","8m미만","179.65","633","202006","13","21,000","1989","갑사로",""
"충청남도 공주시 계룡면 중장리","1*","단독","8m미만","97.84","674","202101","3","18,260","2001","선바위길",""
"충청남도 공주시 계룡면 중장리","3**","단독","8m미만","43.47","681","202003","24","17,200","1974","왕흥장악로",""
"충청남도 공주시 계룡면 하대리","2**","단독","12m미만","63","360","202009","16","7,000","2008","보목고개로",""
"충청남도 공주시 계룡면 하대리","3**","단독","8m미만","224.46","660","202008","17","12,000","1996","신대장길","20200828"
"충청남도 공주시 계룡면 하대리","3**","단독","8m미만","224.46","660","202008","17","11,000","1996","신대장길",""
"충청남도 공주시 계룡면 하대리","3**","단독","8m미만","67.3","674","202102","28","15,000","1945","대장길",""
"충청남도 공주시 계룡면 하대리","3**","단독","8m미만","147.02","1467","202003","5","17,730","1950","대장길",""
"충청남도 공주시 계룡면 하대리","1***","단독","8m미만","97.38","1924","202006","16","12,000","1996","동뒤길",""
"충청남도 공주시 계룡면 향지리","3**","단독","12m미만","118.88","383","202010","26","2,800","1996","구부내로",""
"충청남도 공주시 계룡면 화은리","1**","단독","8m미만","62.7","258","202007","16","5,000","1960","여사울2길",""
"충청남도 공주시 계룡면 화은리","1**","단독","8m미만","39.6","554","202004","27","7,900","1960","여사울2길",""
"충청남도 공주시 계룡면 화헌리","8*","단독","8m미만","82","251","202011","18","14,000","1985","구부내로",""
"충청남도 공주시 계룡면 화헌리","8*","단독","8m미만","82","251","202009","30","14,000","1985","구부내로","20201124"
"충청남도 공주시 계룡면 화헌리","2**","단독","8m미만","46.27","893","202012","7","7,660","1968","화마루길",""
"충청남도 공주시 교동","2**","다가구","8m미만","646.11","711.4","202007","13","36,000","2001","무령로",""
"충청남도 공주시 교동","9*","단독","8m미만","71.28","66.1","202004","16","3,200","1984","옛군청옆길",""
"충청남도 공주시 교동","1**","단독","8m미만","101.38","93","202005","7","6,900","1984","옛군청옆길",""
"충청남도 공주시 교동","1**","단독","8m미만","101.38","93","202006","16","7,850","1984","옛군청옆길","20200622"
"충청남도 공주시 교동","1**","단독","8m미만","101.38","93","202006","19","7,100","1984","옛군청옆길",""
"충청남도 공주시 교동","1**","단독","8m미만","55.64","128.6","202008","14","7,000","1973","옛군청옆길",""
"충청남도 공주시 교동","2**","단독","8m미만","65.05","137.2","202101","19","6,300","1984","향교1길",""
"충청남도 공주시 교동","4*","단독","25m미만","84.84","189.5","202008","21","15,000","2020","용당길",""
"충청남도 공주시 교동","*","단독","12m미만","165.69","190.5","202003","19","22,000","1985","교동2길",""
"충청남도 공주시 교동","1**","단독","8m미만","84.28","276.3","202004","14","22,589","1965","옛군청뒷길",""
"충청남도 공주시 교동","*","단독","12m미만","440.73","398.6","202004","14","20,000","1961","교동1길",""
"충청남도 공주시 금성동","8*","단독","8m미만","28","102","202007","2","5,000","1976","정자방2길",""
"충청남도 공주시 금성동","1**","단독","8m미만","63.24","150","202006","5","13,200","2016","송산리길",""
"충청남도 공주시 금성동","1**","단독","8m미만","82.5","168.7","202011","2","30,000","2019","미나리2길",""
"충청남도 공주시 금성동","1**","단독","8m미만","68.83","179","202006","12","2,850","1985","정자방2길",""
"충청남도 공주시 금성동","1**","단독","12m미만","157.18","229","202003","7","23,000","1985","봉황로",""
"충청남도 공주시 금성동","7*","단독","8m미만","164.44","241","202004","5","15,000","1990","정자방1길",""
"충청남도 공주시 금성동","7*","단독","8m미만","129.11","270","202101","13","41,400","1982","정자방1길",""
"충청남도 공주시 금학동","2**","단독","8m미만","153.81","148","202011","5","8,600","1988","공주여고길",""
"충청남도 공주시 금학동","2**","단독","8m미만","83.13","163","202102","9","15,000","1990","양지마을2길",""
"충청남도 공주시 금학동","1**","단독","8m미만","52.2","169","202012","8","6,200","1978","뱁새울길",""
"충청남도 공주시 금학동","2**","단독","8m미만","36.36","192","202005","28","5,000","1935","null",""
"충청남도 공주시 금학동","2**","단독","25m미만","49.7","194","202012","8","12,000","1994","양지마을2길",""
"충청남도 공주시 금학동","1**","단독","8m미만","56.62","255","202008","27","6,700","1978","수원지공원길",""
"충청남도 공주시 금학동","2**","단독","8m미만","89.53","255","202008","15","13,000","2012","금학동길",""
"충청남도 공주시 금학동","2**","단독","8m미만","91.65","261","202009","26","14,500","1986","금학동길",""
"충청남도 공주시 금학동","6*","단독","8m미만","85.92","383","202005","13","19,500","1977","우금티로",""
"충청남도 공주시 금학동","2**","단독","8m미만","134.01","544","202101","25","26,500","1989","양지마을1길",""
"충청남도 공주시 금학동","3**","단독","8m미만","97.65","585","202010","8","17,200","1997","뱁새울길",""
"충청남도 공주시 금흥동","6**","다가구","12m미만","370.65","246.2","202101","23","70,000","2014","한적2길",""
"충청남도 공주시 금흥동","6**","다가구","12m미만","401.52","248","202012","10","83,000","2018","한적2길",""
"충청남도 공주시 금흥동","6**","다가구","12m미만","283.86","266","202007","20","54,000","2011","한적2길",""
"충청남도 공주시 금흥동","1**","단독","8m미만","93.84","415","202011","26","23,000","1948","금흥안터길",""
"충청남도 공주시 금흥동","1**","단독","8m미만","81.54","445","202007","1","23,000","1995","연수원길",""
"충청남도 공주시 금흥동","1*","단독","8m미만","215.82","630","202101","22","45,000","2008","중뫼2길",""
"충청남도 공주시 금흥동","8*","단독","8m미만","246.14","1140","202101","20","53,000","2005","윗말길",""
"충청남도 공주시 금흥동","8*","단독","8m미만","246.14","1140","202101","20","53,000","2005","윗말길","20210324"
"충청남도 공주시 동현동","2**","단독","8m미만","43.12","168","202101","2","2,500","1950","동현길",""
"충청남도 공주시 동현동","9*","단독","8m미만","49.57","324","202006","13","18,000","1986","지랭이길",""
"충청남도 공주시 반죽동","2**","다가구","8m미만","266.06","352.9","202102","22","35,000","1995","제민1길",""
"충청남도 공주시 반죽동","3**","단독","8m미만","29.76","56.5","202007","13","3,300","2020","봉황산1길",""
"충청남도 공주시 반죽동","1**","단독","8m미만","53.71","128.9","202009","1","6,000","1984","봉황로",""
"충청남도 공주시 반죽동","2**","단독","8m미만","129.24","135.5","202008","18","18,500","1983","제민2길",""
"충청남도 공주시 반죽동","2**","단독","25m미만","251.91","141.4","202012","9","39,000","1996","봉황로",""
"충청남도 공주시 반죽동","3*","단독","8m미만","64.26","167.3","202003","27","15,500","1974","포교당길",""
"충청남도 공주시 반죽동","2**","단독","8m미만","120.26","188.4","202007","1","15,700","1984","제민2길",""
"충청남도 공주시 반죽동","2**","단독","8m미만","120.26","188.4","202005","27","15,700","1984","제민2길","20200701"
"충청남도 공주시 반죽동","1**","단독","8m미만","58.06","191.7","202010","7","9,500","1971","반죽하봉1길",""
"충청남도 공주시 반죽동","9*","단독","8m미만","59.67","199.2","202007","7","7,200","1981","수청골길",""
