"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"충청남도 계룡시 금암동","1**","25m미만","20.12","전세","202006","22","3,500","0","2011","장안로"
"충청남도 계룡시 금암동","2*","25m미만","23","월세","202012","9","1,000","25","2012","금암로"
"충청남도 계룡시 금암동","2*","25m미만","23.1","월세","202101","25","1,000","25","2012","금암로"
"충청남도 계룡시 금암동","2*","25m미만","23.1","전세","202010","31","3,500","0","2012","금암로"
"충청남도 계룡시 금암동","1*","25m미만","26","월세","202006","11","300","27","2011","팥거리로"
"충청남도 계룡시 금암동","1*","25m미만","30","월세","202101","25","300","32","2012","금암로"
"충청남도 계룡시 금암동","2**","12m미만","41.8","월세","202012","25","200","15","null","새터산길"
"충청남도 계룡시 금암동","1*","25m미만","43.3","전세","202004","9","7,000","0","2012","금암로"
"충청남도 계룡시 금암동","1**","25m미만","47","전세","202102","16","3,500","0","2011","장안로"
"충청남도 계룡시 금암동","2*","25m미만","52.8","전세","202009","14","6,000","0","2012","금암로"
"충청남도 계룡시 금암동","1*","25m미만","55","월세","202011","18","3,000","30","2012","금암로"
"충청남도 계룡시 금암동","1**","25m이상","55.12","전세","202009","23","6,000","0","2006","장안로"
"충청남도 계룡시 금암동","1**","12m미만","59","월세","202011","11","2,000","40","2014","장안2길"
"충청남도 계룡시 금암동","1**","25m미만","59.28","전세","202101","28","7,000","0","2008","장안1길"
"충청남도 계룡시 금암동","1*","-","59.4","전세","202102","6","7,000","0","2011","null"
"충청남도 계룡시 금암동","1**","25m미만","59.5","전세","202005","14","6,500","0","2011","장안로"
"충청남도 계룡시 금암동","1**","25m미만","60","전세","202011","3","6,000","0","2011","장안로"
"충청남도 계룡시 금암동","6*","-","65","전세","202102","19","4,600","0","2001","null"
"충청남도 계룡시 금암동","2*","25m미만","66","월세","202102","6","5,000","10","2012","금암로"
"충청남도 계룡시 금암동","1**","25m미만","66","월세","202102","10","2,000","35","2011","장안로"
"충청남도 계룡시 금암동","1*","25m미만","67.7","전세","202010","10","7,000","0","2011","팥거리로"
"충청남도 계룡시 금암동","1*","-","67.7","전세","202005","28","7,000","0","2011","null"
"충청남도 계룡시 금암동","7*","25m이상","69","월세","202102","24","500","40","2011","서금암로"
"충청남도 계룡시 금암동","1*","25m미만","69","전세","202101","19","7,000","0","2011","팥거리로"
"충청남도 계룡시 금암동","2*","25m미만","69.3","월세","202005","19","200","25","1999","금암로"
"충청남도 계룡시 금암동","1**","12m미만","73.65","월세","202010","21","500","30","2011","장안2길"
"충청남도 계룡시 금암동","1**","25m미만","82","전세","202008","18","7,200","0","2012","장안1길"
"충청남도 계룡시 금암동","1**","8m미만","103.36","전세","202102","25","20,000","0","2007","장안4길"
"충청남도 계룡시 금암동","1**","25m이상","104.72","월세","202010","15","1,500","40","2005","장안로"
"충청남도 계룡시 금암동","1**","25m이상","111.28","전세","202008","1","10,000","0","2006","장안로"
"충청남도 계룡시 금암동","1**","12m미만","116.31","월세","202004","18","1,000","40","1999","장안2길"
"충청남도 계룡시 금암동","1**","12m미만","134.6","전세","202006","6","25,000","0","2018","천마로"
"충청남도 계룡시 두마면 두계리","4*","8m미만","37.44","월세","202004","19","500","20","1993","팥거리1길"
"충청남도 계룡시 두마면 두계리","7*","12m미만","56","월세","202012","18","1,200","20","2013","팥거리로"
"충청남도 계룡시 두마면 두계리","7*","-","68.04","전세","202102","8","6,500","0","2013","null"
"충청남도 계룡시 두마면 두계리","7*","12m미만","68.22","전세","202009","13","7,000","0","2013","팥거리로"
"충청남도 계룡시 신도안면 용동리","1**","-","55","전세","202012","19","7,000","0","null","null"
"충청남도 계룡시 엄사면 광석리","1**","8m미만","74.58","월세","202005","30","2,500","30","2013","나분들길"
"충청남도 계룡시 엄사면 엄사리","2**","12m미만","18.3","월세","202011","18","500","25","2013","번영3길"
"충청남도 계룡시 엄사면 엄사리","2**","12m미만","18.3","월세","202010","27","1,500","17","2013","번영3길"
"충청남도 계룡시 엄사면 엄사리","3**","12m미만","23","월세","202008","26","200","15","2001","번영11길"
"충청남도 계룡시 엄사면 엄사리","1**","8m미만","33","월세","202012","11","300","33","2013","전원로"
"충청남도 계룡시 엄사면 엄사리","1**","8m미만","50","월세","202102","8","1,000","35","2013","전원로"
"충청남도 계룡시 엄사면 엄사리","3**","25m이상","50","월세","202011","9","1,000","40","2016","번영로"
"충청남도 계룡시 엄사면 엄사리","1**","8m미만","59.4","월세","202005","4","200","25","2001","전원1길"
"충청남도 계룡시 엄사면 엄사리","3**","25m미만","60","월세","202005","19","500","40","2019","번영10길"
"충청남도 계룡시 엄사면 엄사리","2**","8m미만","61.65","월세","202006","6","500","25","1995","번영6길"
"충청남도 계룡시 엄사면 엄사리","1**","8m미만","64.33","전세","202101","7","4,500","0","1997","전원2길"
"충청남도 계룡시 엄사면 엄사리","1**","25m미만","66","월세","202004","29","1,000","35","2013","전원로"
"충청남도 계룡시 엄사면 엄사리","2**","8m미만","67.5","월세","202007","30","500","30","2007","번영8길"
"충청남도 계룡시 엄사면 엄사리","2**","8m미만","71.22","전세","202101","27","5,000","0","1996","번영4길"
"충청남도 계룡시 엄사면 엄사리","3**","25m미만","80","전세","202010","9","8,000","0","2018","번영10길"
"충청남도 계룡시 엄사면 엄사리","3**","25m미만","80","전세","202009","21","7,000","0","2018","번영10길"
"충청남도 계룡시 엄사면 엄사리","2**","25m미만","81.98","전세","202003","30","5,000","0","1994","번영4길"
