"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"충청남도 공주시 금흥동","628","공주월송 흥화 하브","84.9249","28,444","8","202007","31","분",""
"충청남도 금산군 금산읍 양지리","18","e편한세상 금산 프라임포레","84.4746","31,090","13","202101","28","분",""
"충청남도 금산군 금산읍 양지리","18","e편한세상 금산 프라임포레","84.4746","31,090","9","202101","28","분",""
"충청남도 금산군 금산읍 양지리","18","e편한세상 금산 프라임포레","84.4746","31,140","13","202102","10","분",""
"충청남도 금산군 금산읍 양지리","18","e편한세상 금산 프라임포레","84.4746","31,090","11","202102","15","분",""
"충청남도 금산군 금산읍 양지리","18","e편한세상 금산 프라임포레","74.624","27,170","15","202102","15","분",""
"충청남도 금산군 금산읍 양지리","18","e편한세상 금산 프라임포레","74.624","27,220","8","202102","24","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.8668","29,560","3","202003","16","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","75.9665","26,295","15","202003","16","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.8668","30,100","6","202003","16","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","75.9665","25,865","8","202003","16","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","75.9943","26,295","11","202003","16","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","75.9943","26,295","8","202003","16","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.9416","29,300","4","202003","17","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.8668","31,170","9","202003","17","분","20200416"
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.9416","29,890","18","202003","17","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","75.9665","26,295","10","202003","18","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.8668","29,100","2","202003","18","분","20200422"
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.9416","29,330","11","202003","18","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","75.9943","26,295","7","202003","18","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.8668","30,670","19","202003","23","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","75.9943","25,240","14","202003","25","분","20200408"
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.8668","28,440","4","202003","25","분","20200403"
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.9416","28,120","18","202003","27","분","20200402"
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.9416","28,570","19","202003","27","분","20200402"
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","75.9943","26,045","4","202003","27","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.9416","29,440","20","202003","27","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.9416","29,440","18","202003","27","분","20200413"
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.8668","29,760","4","202003","27","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","75.9943","26,895","17","202003","27","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","75.9943","26,395","14","202003","27","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.9416","29,890","19","202003","27","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.9416","29,440","18","202003","27","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","75.9943","27,035","20","202003","30","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.8668","30,150","12","202003","30","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.8668","29,000","2","202003","30","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.9416","29,580","6","202004","1","분",""
"충청남도 금산군 금산읍 중도리","188-48","e편한세상 금산 센터하임","84.8668","30,050","11","202004","1","분",""
