"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"충청남도 계룡시 금암동","일반","1**","장안2길","제1종일반주거","제1종근린생활","25m미만","357.65","247.70","60,000","null","202003","16"," ","2014","20200814"
"충청남도 계룡시 금암동","집합","1**","장안로","준주거","제2종근린생활","25m이상","65.35"," ","8,970","null","202008","11"," ","2006",""
"충청남도 계룡시 금암동","집합","1**","장안로","준주거","제2종근린생활","25m이상","102.2"," ","14,030","5","202008","11"," ","2006",""
"충청남도 계룡시 금암동","일반","2*","금암로","준주거","제2종근린생활","25m미만","492.48","267.10","48,000","null","202008","17"," ","2010",""
"충청남도 계룡시 금암동","일반","1**","장안2길","제1종일반주거","제2종근린생활","12m미만","423.15","263.70","59,000","null","202012","28"," ","1999","20210208"
"충청남도 계룡시 금암동","집합","1**","서금암3길","중심상업","제1종근린생활","25m이상","116.63"," ","18,657","1","202101","27"," ","2005",""
"충청남도 계룡시 금암동","일반","1**","장안2길","제1종일반주거","제1종근린생활","12m미만","423.15","263.70","60,000","null","202102","8"," ","1999",""
"충청남도 계룡시 금암동","일반","1*","금암로","중심상업","숙박","12m미만","1350.99","480.40","160,000","null","202102","25"," ","2003",""
"충청남도 계룡시 두마면 두계리","집합","1**","사계로","제2종일반주거","제2종근린생활","25m이상","44.52"," ","15,500","1","202006","2"," ","2007",""
"충청남도 계룡시 두마면 두계리","일반","1**","팥거리로","준주거","제1종근린생활","25m미만","50.85","283.00","26,700","null","202009","9"," ","1984",""
"충청남도 계룡시 엄사면 광석리","일반","1**","도곡로","자연녹지","기타","8m미만","194.03","950.00","20,753","null","202008","25"," ","1999",""
"충청남도 계룡시 엄사면 엄사리","집합","2**","엄사중앙로","제2종일반주거","제2종근린생활","25m미만","42"," ","13,600","1","202005","22"," ","2001",""
"충청남도 계룡시 엄사면 엄사리","집합","1**","번영로","일반상업","교육연구","25m이상","141.24"," ","11,500","3","202006","10"," ","2002",""
"충청남도 계룡시 엄사면 엄사리","일반","1*","연화동길","제1종일반주거","제1종근린생활","8m미만","993.73","2191.00","99,000","null","202007","16"," ","1991",""
"충청남도 계룡시 엄사면 엄사리","일반","2**","번영로","제2종일반주거","제1종근린생활","25m이상","461.53","298.60","70,000","null","202012","12"," ","1997",""
"충청남도 계룡시 엄사면 엄사리","집합","1**","엄사중앙로","일반상업","판매","25m이상","14.06"," ","12,500","1","202101","27"," ","2003",""
"충청남도 계룡시 엄사면 엄사리","집합","1**","엄사중앙로","일반상업","판매","25m이상","15.73"," ","3,150","2","202102","15"," ","2003",""
"충청남도 계룡시 엄사면 엄사리","일반","3**","번영11길","제1종일반주거","제2종근린생활","8m미만","180.38","1232.00","71,500","null","202102","23"," ","1997",""
"충청남도 계룡시 엄사면 유동리","일반","5*","사랑재길","자연녹지","제1종근린생활","8m미만","422.5","2129.00","57,800","null","202005","28"," ","2005",""
"충청남도 공주시 검상동","일반","7**","공단길","준공업","제1종근린생활","12m미만","579.6","3281.15","75,083","null","202004","24"," ","1993",""
"충청남도 공주시 계룡면 기산리","일반","5**","봉곡길","생산관리","제2종근린생활","8m미만","143","971.00","14,545","null","202011","27"," ","2014",""
"충청남도 공주시 계룡면 월암리","일반","3**","영규대사로","계획관리","제1종근린생활","12m미만","418.14","297.40","28,000","null","202004","15"," ","1995",""
"충청남도 공주시 계룡면 중장리","일반","8**","갑골길","보전관리","제2종근린생활","8m미만","48","892.00","12,800","null","202011","29"," ","2014",""
"충청남도 공주시 계룡면 화은리","일반","7**","가마울길","보전관리","제2종근린생활","8m미만","65.66","660.00","14,400","null","202012","16"," ","2014",""
"충청남도 공주시 계룡면 화은리","일반","7**","전진배길","농림","제2종근린생활","12m미만","69.12","904.00","9,000","null","202101","5"," ","1997",""
"충청남도 공주시 교동","일반","*","봉황로","일반상업","제2종근린생활","25m미만","332.29","154.90","31,000","null","202004","1"," ","2000",""
"충청남도 공주시 교동","일반","6*","용당길","제2종일반주거","제1종근린생활","25m미만","117.41","103.00","24,000","null","202005","26"," ","2004",""
