"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","전세","84.99","202006","19","13,200","0","14","2002","서금암로 51-9"
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","전세","84.99","202007","27","13,000","0","1","2002","서금암로 51-9"
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","전세","84.99","202008","11","15,000","0","2","2002","서금암4길 6-9"
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","월세","75.95","202009","16","2,000","50","9","2002","서금암로 51-9"
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","월세","84.99","202010","23","4,000","16","4","2002","서금암로 51-9"
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","월세","57.77","202011","2","1,000","33","1","2002","서금암4길 6-9"
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","전세","84.99","202011","19","14,500","0","10","2002","서금암4길 6-9"
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","전세","84.99","202102","8","18,500","0","6","2002","서금암4길 6-9"
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","전세","75.95","202102","19","13,000","0","12","2002","서금암로 51-9"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202003","2","2,000","20","7","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202003","21","500","35","5","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202003","25","2,000","20","2","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","32.58","202003","28","500","37","3","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","32.58","202003","31","500","35","2","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202004","3","1,000","31","4","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","25.49","202004","16","300","30","4","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","33.19","202004","25","300","33","2","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","32.58","202004","25","1,500","25","3","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202005","16","500","35","7","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202006","8","3,000","11","6","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202006","10","3,000","11","6","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","전세","34.68","202006","26","3,500","0","3","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","37.91","202007","20","2,000","21","7","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202007","22","1,000","23","4","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","23.47","202007","27","300","32","6","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202007","31","500","32","4","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","32.58","202008","10","2,500","15","4","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202008","13","2,000","20","3","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202008","13","2,000","20","3","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202008","13","500","35","2","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202008","14","500","32","4","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","전세","33.19","202009","2","3,500","0","5","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202009","26","500","35","7","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","전세","34.68","202010","6","3,150","0","7","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","32.58","202010","8","500","33","3","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","전세","32.58","202010","23","4,000","0","6","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202010","31","500","35","5","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202011","10","5,000","35","3","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","23.47","202011","22","300","32","6","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202012","8","500","36","5","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202012","18","2,000","21","3","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","37.91","202012","21","2,000","21","7","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202012","31","2,500","16","3","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","25.49","202101","5","1,000","20","6","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","32.58","202101","14","2,500","15","4","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","39.05","202101","26","2,000","20","2","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","25.49","202102","5","1,000","21","2","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202102","10","500","35","7","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","34.68","202102","20","1,000","30","6","2015","서금암로 10"
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","전세","32.58","202102","21","1,000","0","5","2015","서금암로 10"
"충청남도 계룡시 금암동","4-2","0004","0002","더플러스","월세","16.428","202003","19","300","26","4","2011","계룡대로 363"
"충청남도 계룡시 금암동","4-2","0004","0002","더플러스","월세","15.3573","202007","16","300","26","3","2011","계룡대로 363"
"충청남도 계룡시 금암동","4-2","0004","0002","더플러스","월세","16.9605","202008","23","300","27","1","2011","계룡대로 363"
"충청남도 계룡시 금암동","4-2","0004","0002","더플러스","월세","16.428","202012","12","300","28","2","2011","계룡대로 363"
"충청남도 계룡시 금암동","4-2","0004","0002","더플러스","월세","15.3573","202102","16","300","28","3","2011","계룡대로 363"
"충청남도 계룡시 금암동","4-2","0004","0002","더플러스","월세","16.759","202102","20","300","28","5","2011","계룡대로 363"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","59.97","202003","11","12,000","0","5","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","59.97","202003","12","12,000","0","19","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202003","14","17,000","0","9","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202003","25","15,000","0","9","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202003","30","15,000","0","8","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","59.97","202004","3","12,000","0","4","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","월세","84.96","202004","18","2,000","55","15","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","59.97","202005","19","12,000","0","9","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","59.97","202005","27","12,000","0","13","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","월세","59.97","202006","9","2,000","45","16","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202006","15","17,000","0","8","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202006","27","18,000","0","7","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","118.12","202006","29","20,000","0","15","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","59.97","202006","30","11,000","0","11","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","월세","118.12","202007","1","2,000","80","10","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","월세","84.96","202007","7","2,000","60","14","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","59.97","202007","13","12,000","0","2","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","118.12","202007","15","21,000","0","4","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","59.97","202007","19","12,000","0","10","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","59.97","202007","19","12,500","0","2","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202007","27","18,000","0","6","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202007","29","17,500","0","5","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","월세","59.97","202007","31","2,000","40","14","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202008","7","15,000","0","14","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202008","14","19,000","0","8","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202008","25","19,000","0","11","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202009","3","14,000","0","11","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202009","5","20,000","0","6","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202009","18","19,000","0","4","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","월세","84.96","202009","19","500","60","12","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202009","25","20,500","0","6","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","84.96","202010","9","20,000","0","7","2005","장안1길 9"
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","월세","84.96","202010","10","2,000","60","2","2005","장안1길 9"
