"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"충청남도 계룡시 금암동","151-5","0151","0005","(151-5)","월세","18.85","202007","4","500","39","2","2020","서금암2길 17"
"충청남도 계룡시 금암동","154-1","0154","0001","(154-1)","월세","19.19","202010","26","2,000","25","4","2015","서금암2길 7-18"
"충청남도 계룡시 금암동","154-1","0154","0001","(154-1)","전세","23.75","202101","1","4,200","0","3","2015","서금암2길 7-18"
"충청남도 계룡시 금암동","164-4","0164","0004","(164-4)","전세","22.895","202005","11","4,000","0","2","2014","장안로 59-11"
"충청남도 계룡시 금암동","164-4","0164","0004","(164-4)","전세","22.8375","202005","18","4,000","0","4","2014","장안로 59-11"
"충청남도 계룡시 금암동","164-4","0164","0004","(164-4)","전세","22.1725","202007","13","4,000","0","4","2014","장안로 59-11"
"충청남도 계룡시 금암동","164-4","0164","0004","(164-4)","전세","22.8375","202008","6","4,000","0","3","2014","장안로 59-11"
"충청남도 계룡시 금암동","164-4","0164","0004","(164-4)","월세","22.8375","202008","19","500","30","3","2014","장안로 59-11"
"충청남도 계룡시 금암동","164-4","0164","0004","(164-4)","전세","22.1725","202008","25","4,000","0","2","2014","장안로 59-11"
"충청남도 계룡시 금암동","164-4","0164","0004","(164-4)","전세","22.1725","202009","26","4,000","0","5","2014","장안로 59-11"
"충청남도 계룡시 금암동","164-4","0164","0004","(164-4)","월세","22.8375","202012","20","500","30","2","2014","장안로 59-11"
"충청남도 계룡시 금암동","20-6","0020","0006","그레이스빌","월세","21.68","202004","24","300","28","2","2013","금암로 155-3"
"충청남도 계룡시 금암동","20-6","0020","0006","그레이스빌","월세","22.2","202005","23","200","30","3","2013","금암로 155-3"
"충청남도 계룡시 금암동","20-6","0020","0006","그레이스빌","월세","22.2","202005","23","200","30","3","2013","금암로 155-3"
"충청남도 계룡시 금암동","237-18","0237","0018","금암동 237-18 공동주택","전세","60.92","202102","26","14,000","0","3","2020","동금암2길 19-1"
"충청남도 계룡시 금암동","17-9","0017","0009","밤부그린타워","월세","13.78","202009","21","50","30","5","2012","금암로 137-6"
"충청남도 계룡시 금암동","17-9","0017","0009","밤부그린타워","월세","13.78","202101","15","100","35","2","2012","금암로 137-6"
"충청남도 계룡시 금암동","237-143","0237","0143","주건축물1동","월세","107.88","202007","22","4,000","60","1","2020","동금암2길 19"
"충청남도 계룡시 금암동","223-6","0223","0006","천마타운","월세","84.84","202003","20","3,000","60","1","2016","계백로 3218-64"
"충청남도 계룡시 금암동","223-6","0223","0006","천마타운","월세","84.84","202003","26","5,000","45","1","2016","계백로 3218-64"
"충청남도 계룡시 금암동","76-1","0076","0001","타운하우스이지","전세","55.9436","202003","3","2,500","0","4","2017","서금암5길 24"
"충청남도 계룡시 금암동","76-1","0076","0001","타운하우스이지","전세","55.9436","202006","29","13,000","0","3","2017","서금암5길 24"
