"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"충청북도 괴산군 감물면 광전리","8*","단독","8m미만","107.76","450","202004","7","6,500","1966","충민로신대길",""
"충청북도 괴산군 감물면 광전리","8*","단독","12m미만","73.05","563","202010","5","5,000","1985","충민로",""
"충청북도 괴산군 감물면 구월리","7*","단독","12m미만","59.44","177","202011","18","3,700","2016","주월로2길",""
"충청북도 괴산군 감물면 구월리","4**","단독","8m미만","107.09","641","202005","10","2,700","1947","감물로곤동길",""
"충청북도 괴산군 감물면 매전리","1**","단독","8m미만","37.58","751","202101","31","11,000","2016","도전로1길",""
"충청북도 괴산군 감물면 백양리","2**","단독","12m미만","84.24","342","202011","5","17,500","2019","충민로",""
"충청북도 괴산군 감물면 백양리","3**","단독","8m미만","82.48","941","202102","1","17,000","2007","감물로백양2길",""
"충청북도 괴산군 감물면 오성리","4*","단독","8m미만","62.68","125","202003","4","3,800","1902","감물로",""
"충청북도 괴산군 감물면 오성리","1**","단독","8m미만","219.9","759","202010","31","21,000","2002","오창로",""
"충청북도 괴산군 감물면 오성리","3**","단독","8m미만","116.92","772","202009","25","14,990","2018","충민로성골길",""
"충청북도 괴산군 감물면 오창리","5**","단독","8m미만","103.32","810","202101","21","23,000","2015","오창로",""
"충청북도 괴산군 감물면 오창리","5**","단독","8m미만","103.32","810","202101","21","23,500","2015","오창로","20210205"
"충청북도 괴산군 감물면 오창리","5**","단독","8m미만","111.25","815","202004","2","22,000","2016","오창로",""
"충청북도 괴산군 감물면 이담리","7**","단독","8m미만","105.12","248","202008","1","3,300","1980","잉어수1길",""
"충청북도 괴산군 감물면 이담리","4**","단독","8m미만","134.4","545","202012","8","9,500","1927","감물로이담3길",""
"충청북도 괴산군 감물면 이담리","1***","단독","8m미만","108.84","660","202102","1","15,100","2018","null",""
"충청북도 괴산군 괴산읍 능촌리","7**","단독","8m미만","110.27","1072","202010","18","19,400","2014","문무로길골길",""
"충청북도 괴산군 괴산읍 대덕리","3**","단독","8m미만","176.62","357","202010","26","12,000","1998","대덕길",""
"충청북도 괴산군 괴산읍 대덕리","5*","단독","12m미만","99.54","432","202102","24","15,000","1999","괴강로",""
"충청북도 괴산군 괴산읍 대사리","1**","단독","8m미만","73","98","202012","31","9,600","1993","대사7길",""
"충청북도 괴산군 괴산읍 대사리","1**","단독","25m이상","75.5","156","202005","28","8,000","1995","읍내로",""
"충청북도 괴산군 괴산읍 대사리","1**","단독","8m미만","36.66","185","202012","29","11,000","2008","대사7길",""
"충청북도 괴산군 괴산읍 대사리","1**","단독","8m미만","134.04","513","202101","22","21,500","2012","대사7길",""
"충청북도 괴산군 괴산읍 대사리","1**","단독","8m미만","121.68","650","202009","4","17,000","2011","대사5길",""
"충청북도 괴산군 괴산읍 동부리","6**","단독","12m미만","44.58","56","202008","8","7,900","null","읍내로8길",""
"충청북도 괴산군 괴산읍 동부리","2**","단독","8m미만","33.3","86","202011","2","2,000","2011","읍내로",""
