"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"충청북도 괴산군 감물면 광전리","1**","8m미만","85.58","전세","202102","14","8,000","0","2018","광전1길"
"충청북도 괴산군 감물면 광전리","1**","8m미만","86.73","전세","202005","16","8,000","0","2018","광전1길"
"충청북도 괴산군 감물면 오창리","5**","8m미만","83.58","전세","202006","20","12,000","0","2014","오창로"
"충청북도 괴산군 감물면 이담리","7**","8m미만","20","전세","202012","10","1,500","0","2016","잉어수길"
"충청북도 괴산군 괴산읍 대사리","1**","8m미만","32.4","월세","202006","11","300","30","2012","대사7길"
"충청북도 괴산군 괴산읍 동부리","6**","12m미만","23.14","전세","202003","6","4,000","0","1981","읍내로2길"
"충청북도 괴산군 괴산읍 동부리","6**","12m미만","23.14","전세","202102","25","4,000","0","1981","읍내로2길"
"충청북도 괴산군 괴산읍 동부리","1**","12m미만","24.66","월세","202007","17","500","35","2019","남산길"
"충청북도 괴산군 괴산읍 동부리","5**","12m미만","64.92","전세","202006","23","5,000","0","null","읍내로16길"
"충청북도 괴산군 괴산읍 동부리","5**","12m미만","64.92","전세","202006","23","5,000","0","null","읍내로16길"
"충청북도 괴산군 괴산읍 동부리","5**","12m미만","68.59","월세","202009","5","1,000","30","1980","읍내로17길"
"충청북도 괴산군 괴산읍 동부리","2**","12m미만","76.97","전세","202007","18","4,000","0","null","괴강로"
"충청북도 괴산군 괴산읍 동부리","1**","-","175.39","월세","202011","29","500","30","2004","null"
"충청북도 괴산군 괴산읍 서부리","2**","12m미만","24","월세","202011","16","500","35","2014","읍내로4길"
"충청북도 괴산군 괴산읍 서부리","1**","8m미만","25","월세","202007","1","500","35","2016","읍내로13길"
"충청북도 괴산군 괴산읍 서부리","1**","8m미만","25","월세","202012","21","500","35","2016","읍내로13길"
"충청북도 괴산군 괴산읍 서부리","2**","12m미만","26","월세","202102","19","500","38","2013","읍내로5길"
"충청북도 괴산군 괴산읍 서부리","2**","12m미만","27","월세","202102","24","500","38","2013","읍내로5길"
"충청북도 괴산군 괴산읍 서부리","3**","8m미만","30","월세","202101","23","300","37","2017","읍내로12길"
"충청북도 괴산군 괴산읍 서부리","1**","8m미만","33.3","전세","202007","30","1,000","0","1982","읍내로15길"
"충청북도 괴산군 괴산읍 서부리","2**","-","56","월세","202101","26","7,500","5","2013","null"
"충청북도 괴산군 괴산읍 서부리","3**","8m미만","59.4","전세","202003","16","8,000","0","1975","새동네길"
"충청북도 괴산군 괴산읍 서부리","3*","12m미만","72.16","월세","202008","8","1,500","35","2013","신기로"
"충청북도 괴산군 괴산읍 서부리","2**","8m미만","79.73","전세","202011","16","8,000","0","2012","읍내로15길"
"충청북도 괴산군 괴산읍 서부리","3**","8m미만","89.52","전세","202005","4","5,600","0","2014","읍내로11길"
"충청북도 괴산군 괴산읍 서부리","2**","8m미만","93.12","월세","202008","17","500","33","1986","읍내로13길"
"충청북도 괴산군 괴산읍 서부리","2**","12m미만","110.24","월세","202010","15","1,000","30","null","읍내로18길"
"충청북도 괴산군 괴산읍 서부리","9*","8m미만","130.01","월세","202102","24","500","40","2012","수진2길"
"충청북도 괴산군 괴산읍 서부리","1**","8m미만","131.34","월세","202102","15","3,000","50","1994","읍내로13길"
"충청북도 괴산군 괴산읍 신기리","1**","8m미만","93.11","전세","202005","6","14,500","0","2018","관동로"
"충청북도 괴산군 문광면 송평리","1**","8m미만","107.75","전세","202005","15","5,000","0","null","괴산로송평길"
"충청북도 괴산군 문광면 양곡리","3*","8m미만","142.14","전세","202012","4","10,000","0","2020","괴산로양곡5길"
"충청북도 괴산군 문광면 양곡리","3*","8m미만","142.14","전세","202012","4","10,000","0","2020","괴산로양곡5길"
"충청북도 괴산군 불정면 삼방리","1*","8m미만","180.6","전세","202010","13","5,000","0","2013","삼방연지1길"
"충청북도 괴산군 소수면 아성리","1**","8m미만","140","전세","202009","4","8,000","0","2011","민들레마을길"
"충청북도 괴산군 소수면 아성리","6**","8m미만","161.87","전세","202004","16","14,500","0","2016","임꺽정로"
"충청북도 괴산군 소수면 옥현리","1**","8m미만","99.27","월세","202010","10","1,000","60","2017","원소로"
"충청북도 괴산군 청안면 백봉리","4**","8m미만","86.73","전세","202005","28","10,000","0","null","백봉길"
"충청북도 괴산군 청안면 읍내리","5**","12m미만","41.52","월세","202008","25","100","25","null","청안읍내로"
"충청북도 괴산군 청천면 강평리","2*","12m미만","89.86","월세","202005","19","500","30","2020","괴산로"
"충청북도 괴산군 청천면 덕평리","2**","8m미만","121.5","전세","202009","8","5,000","0","2008","송문로덕평3길"
"충청북도 괴산군 청천면 삼송리","2**","8m미만","41.04","월세","202005","28","500","20","2013","왕송길"
"충청북도 괴산군 청천면 상신리","*","8m미만","115.91","월세","202005","30","1,000","50","null","괴산로상신1길"
"충청북도 괴산군 청천면 송면리","1**","12m미만","184.04","전세","202004","20","2,500","0","2014","화양로"
"충청북도 괴산군 칠성면 갈읍리","1**","-","84.24","월세","202009","5","1,000","35","2010","null"
"충청북도 괴산군 칠성면 도정리","2**","8m미만","66","월세","202009","29","500","40","null","도정로1길"
"충청북도 괴산군 칠성면 도정리","2**","8m미만","98","전세","202011","3","3,500","0","2006","도정로1길"
"충청북도 괴산군 칠성면 송동리","1**","8m미만","219.38","전세","202004","19","3,000","0","1999","명태재로"
"충청북도 단양군 가곡면 사평리","4**","8m미만","82.38","월세","202006","30","2,000","30","1992","남한강로"
"충청북도 단양군 가곡면 사평리","6*","12m미만","89.28","월세","202008","16","500","20","2013","남한강로"
"충청북도 단양군 단양읍 도전리","2**","8m미만","33","전세","202002","29","2,500","0","1985","도전9나길"
"충청북도 단양군 단양읍 별곡리","6**","8m미만","20","월세","202101","26","300","30","2014","별곡11길"
"충청북도 단양군 단양읍 별곡리","4**","8m미만","23","월세","202010","16","500","40","1991","별곡4길"
"충청북도 단양군 단양읍 별곡리","4**","8m미만","23.86","전세","202008","27","7,000","0","1986","별곡4길"
