"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","29,484","3","202101","11","분","20210222"
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","29,624","7","202101","25","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","29,624","7","202101","25","분","20210226"
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.915","29,993","11","202101","25","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,834","18","202101","27","분","20210226"
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,834","18","202101","27","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","29,424","8","202102","1","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","29,824","10","202102","3","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","29,784","6","202102","3","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,324","18","202102","3","분","20210226"
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,324","18","202102","3","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,494","16","202102","8","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","29,784","9","202102","8","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,184","15","202102","8","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,034","8","202102","8","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,184","13","202102","9","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","29,584","4","202102","9","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,384","12","202102","10","분","20210226"
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","31,084","19","202102","10","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,384","12","202102","10","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,484","15","202102","11","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,034","9","202102","11","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,034","9","202102","11","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,834","17","202102","11","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","30,784","17","202102","11","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","29,484","4","202102","11","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","29,484","2","202102","11","분",""
"충청북도 단양군 단양읍 도전리","659-2","e편한세상 단양 리버비스타","84.8608","29,784","8","202102","11","분",""
