"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"충청북도 괴산군 감물면 광전리","일반","9*","충민로신대길","계획관리","제1종근린생활","12m미만","320","514.00","9,000","null","202010","29"," ","1984",""
"충청북도 괴산군 괴산읍 동부리","일반","6**","읍내로8길","일반상업","제2종근린생활","12m미만","127.96","76.00","29,500","null","202006","24"," ","2000",""
"충청북도 괴산군 괴산읍 동부리","일반","6**","읍내로8길","일반상업","제2종근린생활","12m미만","293.37","112.00","49,000","null","202007","23"," ","2019",""
"충청북도 괴산군 괴산읍 동부리","일반","6**","괴강로","일반상업","제1종근린생활","25m이상","152.59","254.00","47,000","null","202008","27"," ","1974",""
"충청북도 괴산군 괴산읍 동부리","일반","6**","읍내로11길","제2종일반주거","제1종근린생활","12m미만","10.5","33.00","7,700","null","202009","17"," ","1975",""
"충청북도 괴산군 괴산읍 서부리","일반","2**","읍내로15길","제2종일반주거","제2종근린생활","8m미만","283.51","177.00","44,000","null","202003","20"," ","2012",""
"충청북도 괴산군 괴산읍 서부리","일반","3**","읍내로4길","제2종일반주거","제2종근린생활","8m미만","34.56","41.00","9,000","null","202009","5"," ","2017",""
"충청북도 괴산군 괴산읍 제월리","일반","3**","제월5길","계획관리","제2종근린생활","8m미만","167.46","854.00","22,000","null","202009","7"," ","2008",""
"충청북도 괴산군 문광면 송평리","일반","1**","괴산로","계획관리","제2종근린생활","12m미만","225.5","1185.00","29,780","null","202008","3"," ","2015",""
"충청북도 괴산군 사리면 수암리","일반","5**","모래재로","계획관리","제1종근린생활","12m미만","175.17","1367.14","14,000","null","202011","18"," ","2014",""
"충청북도 괴산군 소수면 수리","일반","4**","소수로7길","계획관리","제1종근린생활","8m미만","339.14","492.00","8,500","null","202006","24"," ","1978",""
"충청북도 괴산군 소수면 수리","일반","5**","소수로","계획관리","제1종근린생활","12m미만","89.12","196.00","5,640","null","202007","9"," ","1940",""
"충청북도 괴산군 소수면 수리","일반","5**","소수로","계획관리","제2종근린생활","12m미만","240.88","112.00","11,000","null","202010","15"," ","1983",""
"충청북도 괴산군 연풍면 갈금리","일반","7*","연풍로갈금3길","계획관리","제2종근린생활","8m미만","76.2","328.00","2,500","null","202011","20"," ","null",""
"충청북도 괴산군 연풍면 원풍리","일반","4**","원풍로절골길","계획관리","제2종근린생활","8m미만","165.42","575.00","11,900","null","202101","19"," ","1994",""
"충청북도 괴산군 연풍면 원풍리","일반","7*","수옥정길","계획관리","기타","8m미만","296.75","350.00","41,000","null","202101","22"," ","2001",""
"충청북도 괴산군 연풍면 행촌리","일반","6**","중앙로","일반상업","제1종근린생활","8m미만","554.25","360.00","42,000","null","202011","1"," ","1994",""
"충청북도 괴산군 청안면 읍내리","일반","5**","청안읍내로","계획관리","제2종근린생활","12m미만","154.82","225.00","12,000","null","202004","27"," ","1993",""
"충청북도 괴산군 청안면 읍내리","일반","5**","청안읍내로4길","계획관리","제1종근린생활","8m미만","54.87","575.00","4,350","null","202009","11"," ","null",""
"충청북도 괴산군 청안면 읍내리","일반","4**","청안읍내로7길","계획관리","제1종근린생활","12m미만","96","520.00","30,000","null","202102","28"," ","null",""
"충청북도 괴산군 청천면 강평리","일반","3**","괴산로","계획관리","제2종근린생활","12m미만","217.5","1000.00","30,000","null","202008","18"," ","1992",""
"충청북도 괴산군 청천면 거봉리","일반","4*","거봉1길","계획관리","제1종근린생활","8m미만","62.8","298.00","5,020","null","202101","29"," ","1972",""
"충청북도 괴산군 청천면 사담리","일반","4*","괴산로","계획관리","제2종근린생활","12m미만","377.68","1137.00","41,380","null","202007","21"," ","2008",""
"충청북도 괴산군 청천면 청천리","일반","6*","괴산로","일반상업","제2종근린생활","12m미만","98.52","301.00","24,750","null","202005","20"," ","2008",""
"충청북도 괴산군 청천면 청천리","일반","6*","괴산로","일반상업","제1종근린생활","12m미만","158.4","458.00","55,000","null","202008","4"," ","1995",""
"충청북도 괴산군 청천면 후영리","일반","8*","도경로","계획관리","제1종근린생활","8m미만","91","635.00","17,650","null","202010","3"," ","2008",""
"충청북도 괴산군 칠성면 비도리","일반","5*","연풍로쌍곡길","생산관리","기타","8m미만","61","321.00","7,788","null","202004","29"," ","2017","20200531"
"충청북도 괴산군 칠성면 사은리","일반","5**","산막이옛길","자연환경보전","제2종근린생활","8m미만","87.85","308.00","26,000","null","202009","15"," ","2018",""
"충청북도 괴산군 칠성면 쌍곡리","일반","1**","쌍곡로","계획관리","제2종근린생활","12m미만","362","790.00","42,000","null","202005","12"," ","null",""
"충청북도 단양군 단양읍 도전리","일반","6**","도전4길","일반상업","제1종근린생활","8m미만","299.59","161.30","44,200","null","202006","4"," ","1986",""
"충청북도 단양군 단양읍 도전리","일반","4**","도전6길","제2종일반주거","제1종근린생활","8m미만","492.56","318.20","38,500","null","202010","6"," ","1985",""
"충청북도 단양군 단양읍 별곡리","일반","4**","삼봉로","일반상업","제2종근린생활","25m이상","366.44","218.60","63,000","null","202003","5"," ","1985",""
"충청북도 단양군 단양읍 별곡리","일반","5**","도전2로","일반상업","제2종근린생활","25m미만","589.29","231.70","91,000","null","202008","31"," ","1985",""
"충청북도 단양군 단양읍 별곡리","집합","5**","별곡7길","일반상업","판매","12m미만","27.72"," ","3,500","2","202009","9"," ","1992",""
"충청북도 단양군 단양읍 별곡리","일반","6**","삼봉로","자연녹지","기타","25m이상","2629.34","3058.60","196,558","null","202009","22"," ","1988",""
"충청북도 단양군 단양읍 별곡리","집합","5**","별곡7길","일반상업","제1종근린생활","8m미만","40.05"," ","2,200","1","202012","4"," ","1993",""
