"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"충청북도 괴산군 괴산읍 동부리","150-3","0150","0003","(150-3)","56.346","73.51","202010","12","9,600","3","2015","남산길 44",""
"충청북도 괴산군 괴산읍 동부리","129-4","0129","0004","동진레져빌 2동","76.105","87.75","202006","30","9,000","3","2010","남산길 64-1",""
"충청북도 괴산군 괴산읍 동부리","124-15","0124","0015","두성빌라","75.58","94.38","202007","30","10,000","2","2010","남산길 56",""
"충청북도 괴산군 괴산읍 동부리","124-15","0124","0015","두성빌라","75.58","94.38","202010","17","12,000","3","2010","남산길 56",""
"충청북도 괴산군 괴산읍 동부리","124-15","0124","0015","두성빌라","75.58","94.38","202011","10","9,500","3","2010","남산길 56",""
"충청북도 괴산군 괴산읍 동부리","248-1","0248","0001","수정","44.1","63.96","202009","25","2,550","3","1992","문무로 35-1",""
"충청북도 괴산군 괴산읍 동부리","248-1","0248","0001","수정","42.6","59.83","202102","1","5,100","3","1992","문무로 35-1",""
"충청북도 괴산군 괴산읍 동부리","248-5","0248","0005","수정2차","35.55","41.18","202009","3","3,200","2","1996","문무로 35-1",""
"충청북도 괴산군 괴산읍 동부리","248-5","0248","0005","수정2차","49.68","57.55","202012","9","5,000","4","1996","문무로 35-1",""
"충청북도 괴산군 괴산읍 동부리","656-4","0656","0004","우신아트빌라","75.57","64.38","202101","5","11,000","3","1996","읍내로5길 10-1",""
"충청북도 괴산군 괴산읍 서부리","299-5","0299","0005","괴산명가","69.4736","101.71","202006","21","17,500","2","2013","읍내로6길 34-5",""
"충청북도 괴산군 괴산읍 서부리","299-12","0299","0012","괴산명가","67.6701","79.74","202011","4","15,800","2","2013","읍내로11길 47",""
"충청북도 괴산군 괴산읍 서부리","299-5","0299","0005","괴산명가","66.2884","97.04","202012","21","16,500","3","2013","읍내로6길 34-5",""
"충청북도 괴산군 괴산읍 서부리","501-1","0501","0001","남산","42.9","68.17","202004","6","4,400","2","1987","금산길 32",""
"충청북도 괴산군 괴산읍 서부리","501-1","0501","0001","남산","42.9","68.17","202004","24","5,500","2","1987","금산길 32",""
"충청북도 괴산군 괴산읍 서부리","501-1","0501","0001","남산","42.9","68.17","202101","20","4,000","1","1987","금산길 32",""
