"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"충청북도 괴산군 괴산읍 동부리","150-3","0150","0003","(150-3)","전세","56.586","202003","23","10,000","0","3","2015","남산길 44"
"충청북도 괴산군 괴산읍 동부리","150-3","0150","0003","(150-3)","전세","56.346","202003","25","10,000","0","4","2015","남산길 44"
"충청북도 괴산군 괴산읍 동부리","124","0124","0000","동산레져빌","전세","75.54","202004","1","8,000","0","4","2010","남산길 48"
"충청북도 괴산군 괴산읍 동부리","129-3","0129","0003","동진레져빌 1동","전세","84.18","202009","1","8,000","0","2","2009","남산길 64"
"충청북도 괴산군 괴산읍 서부리","506-4","0506","0004","동인빌라","월세","36.6","202009","27","500","30","1","1993","금산길 28"
"충청북도 괴산군 괴산읍 서부리","361","0361","0000","라온채(시동)","월세","72.3375","202011","10","3,000","40","4","2020","읍내로4길 20"
"충청북도 괴산군 괴산읍 서부리","123","0123","0000","서린빌","월세","42.97","202004","7","500","23","2","1997","수진3길 43"
"충청북도 괴산군 괴산읍 서부리","123","0123","0000","서린빌","월세","34.39","202005","6","500","20","1","1997","수진3길 43"
"충청북도 괴산군 괴산읍 서부리","123","0123","0000","서린빌","월세","34.39","202008","17","500","21","2","1997","수진3길 43"
"충청북도 괴산군 괴산읍 서부리","123","0123","0000","서린빌","월세","42.97","202010","24","500","26","3","1997","수진3길 43"
"충청북도 괴산군 괴산읍 서부리","123","0123","0000","서린빌","월세","34.39","202012","30","500","20","2","1997","수진3길 43"
"충청북도 괴산군 괴산읍 서부리","123","0123","0000","서린빌","월세","34.22","202102","3","500","21","4","1997","수진3길 43"
"충청북도 괴산군 괴산읍 서부리","324-17","0324","0017","폴라리스(101,102동)","월세","70.275","202007","4","1,000","50","3","2017","새동네길 12"
"충청북도 괴산군 괴산읍 서부리","324-27","0324","0027","폴라리스103동","전세","69.92","202011","25","5,000","0","3","2018","새동네길 16-4"
"충청북도 괴산군 괴산읍 서부리","398-2","0398","0002","해동다동","월세","45","202006","29","500","35","1","1987","읍내로2길 11"
"충청북도 괴산군 문광면 광덕리","224-9","0224","0009","224-9","월세","59.92","202004","1","1,000","40","4","2019","광덕1길 10-4"
"충청북도 괴산군 문광면 광덕리","224-9","0224","0009","224-9","월세","34.65","202004","1","1,000","30","1","2019","광덕1길 10-4"
"충청북도 괴산군 문광면 광덕리","224-9","0224","0009","224-9","월세","34.65","202004","20","2,000","30","4","2019","광덕1길 10-4"
"충청북도 괴산군 문광면 광덕리","224-9","0224","0009","224-9","월세","34.65","202008","5","1,000","35","3","2019","광덕1길 10-4"
"충청북도 괴산군 문광면 광덕리","224-9","0224","0009","224-9","월세","59.92","202008","14","2,000","40","3","2019","광덕1길 10-4"
"충청북도 괴산군 문광면 광덕리","224-9","0224","0009","224-9","월세","56.55","202008","14","1,000","40","2","2019","광덕1길 10-4"
"충청북도 괴산군 문광면 광덕리","224-9","0224","0009","224-9","전세","61.18","202008","30","9,500","0","2","2019","광덕1길 10-4"
"충청북도 괴산군 청천면 선평리","171","0171","0000","아진빌","월세","51.42","202004","18","650","20","1","2013","금관로 448-3"
"충청북도 괴산군 청천면 선평리","171","0171","0000","아진빌","월세","51.42","202008","17","1,000","25","3","2013","금관로 448-3"
"충청북도 단양군 가곡면 사평리","413-2","0413","0002","(413-2)","전세","55.71","202006","19","5,000","0","4","2018","남한강로 564-19"
"충청북도 단양군 단양읍 별곡리","106-34","0106","0034","도담에코빌","전세","71.084","202005","6","13,000","0","2","2014","별곡3로 39-17"
"충청북도 단양군 단양읍 상진리","979","0979","0000","대덕연립","월세","40.5","202007","18","300","30","2","1985","상진1로 25"
"충청북도 단양군 단양읍 상진리","990","0990","0000","범호빌라","전세","74.365","202102","10","7,000","0","1","1992","상진18길 7"
"충청북도 단양군 단양읍 상진리","454","0454","0000","유진연립","전세","38.82","202004","3","2,000","0","1","1984","상진4길 21"
"충청북도 단양군 단양읍 상진리","454","0454","0000","유진연립","월세","37.68","202006","24","500","25","3","1984","상진4길 21"
"충청북도 단양군 매포읍 평동리","657-5","0657","0005","리치타운","월세","46.64","202012","17","500","50","2","2019","평동21길 16-5"
