"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"충청북도 괴산군 괴산읍 동부리","523-1","0523","0001","더팰리스","전세","25.92","202010","6","4,000","0","2","2018","읍내로15길 18"
"충청북도 보은군 삼승면 원남리","145-12","0145","0012","주건축물제1동(145-12)","월세","23.18","202005","8","300","25","4","2012","삼승탄부로 3"
"충청북도 보은군 삼승면 원남리","145-12","0145","0012","주건축물제1동(145-12)","월세","22.82","202012","9","300","25","3","2012","삼승탄부로 3"
"충청북도 영동군 영동읍 동정리","97","0097","0000","골든렉시움","월세","47.41","202003","6","1,000","48","9","2018","동정로 30"
"충청북도 음성군 감곡면 오향리","823-2","0823","0002","(823-2)","월세","66.06","202005","11","6,000","30","6","2018","장감로218번길 24"
"충청북도 음성군 맹동면 두성리","1477","1477","0000","(1477)","월세","24.39","202003","5","1,000","40","6","2015","산학로 20"
"충청북도 음성군 맹동면 두성리","1477","1477","0000","(1477)","전세","24.39","202003","9","7,000","0","7","2015","산학로 20"
"충청북도 음성군 맹동면 두성리","1477","1477","0000","(1477)","전세","24.39","202003","10","7,500","0","6","2015","산학로 20"
"충청북도 음성군 맹동면 두성리","1477","1477","0000","(1477)","월세","24.39","202003","10","300","40","6","2015","산학로 20"
"충청북도 음성군 맹동면 두성리","1477","1477","0000","(1477)","월세","23.7","202003","18","2,000","30","8","2015","산학로 20"
"충청북도 음성군 맹동면 두성리","1477","1477","0000","(1477)","월세","23.7","202003","21","500","45","10","2015","산학로 20"
